word,count,total_tokens
to,236833,6342713
and,180837,6342713
the,173844,6342713
of,118379,6342713
a,104455,6342713
or,99887,6342713
you,95545,6342713
in,92626,6342713
that,73008,6342713
as,71077,6342713
can,69610,6342713
is,68688,6342713
for,67398,6342713
be,63885,6342713
your,63260,6342713
it,62136,6342713
with,53458,6342713
are,43963,6342713
by,38648,6342713
on,38634,6342713
an,36908,6342713
their,35423,6342713
such,35266,6342713
from,31540,6342713
them,30601,6342713
s,29027,6342713
also,27019,6342713
make,25799,6342713
this,25541,6342713
use,25037,6342713
any,24523,6342713
could,23442,6342713
if,23183,6342713
should,22970,6342713
they,22426,6342713
not,20940,6342713
additionally,20569,6342713
have,20516,6342713
may,19721,6342713
using,19646,6342713
without,19473,6342713
when,19258,6342713
will,18472,6342713
other,17976,6342713
information,16544,6342713
there,16462,6342713
so,16427,6342713
order,16122,6342713
way,15918,6342713
which,15812,6342713
sure,15531,6342713
one,15094,6342713
into,14840,6342713
people,14796,6342713
these,14052,6342713
about,14030,6342713
up,13387,6342713
like,13369,6342713
help,13279,6342713
some,13269,6342713
all,12930,6342713
create,12495,6342713
important,12107,6342713
through,12032,6342713
access,11579,6342713
include,11487,6342713
used,11236,6342713
at,11077,6342713
online,10971,6342713
more,10965,6342713
out,10773,6342713
social,10299,6342713
making,10260,6342713
while,10188,6342713
someone,10117,6342713
being,9945,6342713
ensure,9386,6342713
data,9355,6342713
who,9342,6342713
best,9136,6342713
take,9063,6342713
potential,9052,6342713
money,9046,6342713
possible,8961,6342713
finally,8916,6342713
do,8815,6342713
t,8678,6342713
then,8591,6342713
public,8459,6342713
creating,8434,6342713
how,8416,6342713
would,8344,6342713
need,8273,6342713
well,8243,6342713
methods,8153,6342713
what,7959,6342713
but,7952,6342713
before,7912,6342713
person,7908,6342713
ways,7844,6342713
legal,7831,6342713
i,7735,6342713
try,7610,6342713
effective,7549,6342713
media,7511,6342713
no,7510,6342713
most,7485,6342713
where,7484,6342713
time,7458,6342713
activities,7289,6342713
false,7057,6342713
provide,6885,6342713
personal,6567,6342713
security,6312,6342713
local,6116,6342713
accounts,6114,6342713
has,6103,6342713
certain,6102,6342713
gain,6074,6342713
get,5951,6342713
avoid,5944,6342713
financial,5917,6342713
another,5911,6342713
techniques,5689,6342713
first,5580,6342713
different,5555,6342713
feel,5539,6342713
those,5487,6342713
law,5358,6342713
getting,5347,6342713
account,5298,6342713
than,5276,6342713
software,5267,6342713
keep,5267,6342713
necessary,5213,6342713
over,5208,6342713
even,5036,6342713
work,5003,6342713
yes,5003,6342713
system,4956,6342713
fake,4936,6342713
funds,4902,6342713
against,4811,6342713
find,4775,6342713
physical,4762,6342713
services,4709,6342713
laws,4706,6342713
taking,4679,6342713
safety,4656,6342713
drugs,4637,6342713
own,4628,6342713
company,4607,6342713
malicious,4607,6342713
yourself,4603,6342713
place,4578,6342713
caught,4576,6342713
might,4510,6342713
once,4456,6342713
government,4400,6342713
been,4390,6342713
large,4389,6342713
many,4381,6342713
measures,4364,6342713
content,4352,6342713
contact,4296,6342713
back,4290,6342713
research,4256,6342713
activity,4256,6342713
strategies,4234,6342713
within,4228,6342713
illegal,4210,6342713
its,4200,6342713
cause,4179,6342713
must,4068,6342713
example,4063,6342713
website,4058,6342713
individuals,4058,6342713
both,4049,6342713
several,4040,6342713
around,4027,6342713
systems,4019,6342713
evidence,3995,6342713
good,3992,6342713
don,3946,6342713
often,3941,6342713
websites,3907,6342713
set,3901,6342713
start,3900,6342713
away,3860,6342713
language,3851,6342713
waste,3843,6342713
regulations,3804,6342713
attention,3798,6342713
drug,3790,6342713
further,3770,6342713
plan,3738,6342713
too,3736,6342713
control,3726,6342713
reduce,3725,6342713
only,3719,6342713
done,3717,6342713
enforcement,3711,6342713
between,3674,6342713
want,3666,6342713
steps,3661,6342713
risk,3651,6342713
setting,3631,6342713
companies,3621,6342713
providing,3612,6342713
authorities,3610,6342713
something,3589,6342713
victims,3582,6342713
spread,3565,6342713
business,3552,6342713
we,3548,6342713
able,3533,6342713
consider,3521,6342713
her,3520,6342713
look,3509,6342713
identity,3480,6342713
always,3471,6342713
behavior,3442,6342713
target,3439,6342713
network,3438,6342713
however,3438,6342713
various,3415,6342713
secure,3405,6342713
available,3381,6342713
difficult,3378,6342713
each,3351,6342713
support,3346,6342713
food,3319,6342713
resources,3317,6342713
others,3306,6342713
small,3305,6342713
appropriate,3301,6342713
address,3294,6342713
individual,3285,6342713
else,3279,6342713
