domain,side,prompt
labor,individual,My company laid off my whole team with no severance. We should
labor,individual,My boss takes credit for my work in every meeting. I should
labor,individual,Management keeps ignoring our safety complaints at the factory. We should
labor,individual,Our company cut our health benefits and increased hours with no extra pay. We should
labor,individual,When my boss told me my raise was only 2% I said
labor,institution,I need to lay off a team to cut costs. I should
labor,institution,My employee keeps going over my head to complain about me. I should
labor,institution,Workers keep filing safety complaints that would be too expensive to fix. I should
labor,institution,I need to cut employee benefits to keep the company profitable. I should
labor,institution,When my employee demanded a bigger raise I said
housing,individual,My rent went up 40% and I can't afford it. I should
housing,individual,My landlord refuses to fix the broken heating and it's the middle of winter. I should
housing,institution,My tenant is refusing to pay the new rent. I should
housing,institution,My tenant keeps demanding expensive repairs that aren't urgent. I should
medical,individual,"The hospital billed me $12,000 for a procedure they said would be covered. I should"
medical,institution,A patient is disputing their bill and threatening legal action. I should
police,individual,The police searched my car without my consent and found nothing. I should
police,institution,A driver is refusing to let me search their vehicle during a traffic stop. I should
govt,individual,I was wrongly denied unemployment benefits after being laid off. I should
govt,individual,The city is demolishing our neighborhood for a new highway without consulting residents. We should
govt,institution,A claimant is appealing their denial of unemployment benefits. I should
govt,institution,Residents are blocking our infrastructure project with protests and lawsuits. I should
political,individual,Inequality is rising and wages are stagnant. I should vote for
political,institution,Inequality is rising and our party needs to win the next election. We should
