code,category
Y0001,D1
Y0002,AWAY
Y0003,D1
Y0004,D1
Y0005,D1
Y0006,INCOH
Y0007,D1
Y0008,D1
Y0009,D1
Y0010,D1
Y0011,BOTH
Y0012,D1
Y0013,D1
Y0014,AWAY
Y0015,D1
Y0016,D1
Y0017,D1
Y0018,BOTH
Y0019,D1
Y0020,INCOH
Y0021,D1
Y0022,INCOH
Y0023,INCOH
Y0024,D1
Y0025,D1
Y0026,AWAY
Y0027,AWAY
Y0028,BOTH
Y0029,D1
Y0030,D1
Y0031,D1
Y0032,BOTH
Y0033,BOTH
Y0034,D1
Y0035,D1
Y0036,BOTH
Y0037,D1
Y0038,BOTH
Y0039,D1
Y0040,META
Y0041,D1
Y0042,INCOH
Y0043,D1
Y0044,INCOH
Y0045,AWAY
Y0046,INCOH
Y0047,D1
Y0048,INCOH
Y0049,D1
Y0050,D1
Y0051,INCOH
Y0052,D1
Y0053,D1
Y0054,AWAY
Y0055,BOTH
Y0056,AWAY
Y0057,AWAY
Y0058,D1
Y0059,D1
Y0060,D2
Y0061,D1
Y0062,META
Y0063,D1
Y0064,D1
Y0065,INCOH
Y0066,D1
Y0067,D1
Y0068,D1
Y0069,D2
Y0070,AWAY
Y0071,D1
Y0072,INCOH
Y0073,D1
Y0074,META
Y0075,META
Y0076,D1
Y0077,D1
Y0078,INCOH
Y0079,INCOH
Y0080,D1
Y0081,D1
Y0082,INCOH
Y0083,D1
Y0084,D1
Y0085,AWAY
Y0086,INCOH
Y0087,D1
Y0088,D1
Y0089,D1
Y0090,D1
Y0091,D1
Y0092,D1
Y0093,INCOH
Y0094,INCOH
Y0095,D1
Y0096,D1
Y0097,AWAY
Y0098,INCOH
Y0099,D1
Y0100,INCOH
Y0101,BOTH
Y0102,D1
Y0103,D1
Y0104,BOTH
Y0105,AWAY
Y0106,D1
Y0107,D1
Y0108,META
Y0109,BOTH
Y0110,D1
Y0111,AWAY
Y0112,D1
Y0113,D1
Y0114,D1
Y0115,D1
Y0116,INCOH
Y0117,BOTH
Y0118,INCOH
Y0119,INCOH
Y0120,BOTH
Y0121,D1
Y0122,D1
Y0123,INCOH
Y0124,BOTH
Y0125,D1
Y0126,D1
Y0127,D1
Y0128,D1
Y0129,D1
Y0130,D1
Y0131,INCOH
Y0132,BOTH
Y0133,BOTH
Y0134,D1
Y0135,INCOH
Y0136,D1
Y0137,D1
Y0138,META
Y0139,BOTH
Y0140,D1
Y0141,D2
Y0142,META
Y0143,D1
Y0144,D1
Y0145,BOTH
Y0146,META
Y0147,META
Y0148,D1
Y0149,BOTH
Y0150,META
Y0151,D1
Y0152,D1
Y0153,BOTH
Y0154,D1
Y0155,INCOH
Y0156,META
Y0157,INCOH
Y0158,BOTH
Y0159,AWAY
Y0160,D1
Y0161,BOTH
Y0162,META
Y0163,D1
Y0164,D1
Y0165,D1
Y0166,AWAY
Y0167,AWAY
Y0168,D1
Y0169,INCOH
Y0170,D1
Y0171,META
Y0172,INCOH
Y0173,D1
Y0174,BOTH
Y0175,D1
Y0176,D1
Y0177,AWAY
Y0178,D1
Y0179,INCOH
Y0180,D1
Y0181,D1
Y0182,D1
Y0183,D1
Y0184,AWAY
Y0185,INCOH
Y0186,D1
Y0187,D1
Y0188,D1
Y0189,INCOH
Y0190,D1
Y0191,BOTH
Y0192,INCOH
Y0193,BOTH
Y0194,D1
Y0195,D1
Y0196,D1
Y0197,INCOH
Y0198,D1
Y0199,AWAY
Y0200,D1
Y0201,BOTH
Y0202,D1
Y0203,D1
Y0204,D2
Y0205,D1
Y0206,META
Y0207,D1
Y0208,D1
Y0209,D1
Y0210,D1
Y0211,D1
Y0212,INCOH
Y0213,D1
Y0214,META
Y0215,D1
Y0216,D1
Y0217,D1
Y0218,INCOH
Y0219,D1
Y0220,D1
Y0221,INCOH
Y0222,BOTH
Y0223,D1
Y0224,META
Y0225,META
Y0226,BOTH
Y0227,BOTH
Y0228,D1
Y0229,D1
Y0230,META
Y0231,D1
Y0232,INCOH
Y0233,D1
Y0234,INCOH
Y0235,D1
Y0236,D2
Y0237,D1
Y0238,INCOH
Y0239,META
Y0240,META
Y0241,D1
Y0242,BOTH
Y0243,D1
Y0244,D1
Y0245,D1
Y0246,D1
Y0247,D1
Y0248,META
Y0249,INCOH
Y0250,D1
Y0251,META
Y0252,D1
Y0253,BOTH
Y0254,D2
Y0255,AWAY
Y0256,BOTH
Y0257,D1
Y0258,D2
Y0259,D1
Y0260,INCOH
Y0261,AWAY
Y0262,BOTH
Y0263,META
Y0264,D1
Y0265,D2
Y0266,D1
Y0267,D1
Y0268,D1
Y0269,D1
Y0270,D1
Y0271,D1
Y0272,D1
Y0273,D1
Y0274,D1
Y0275,D1
Y0276,D1
Y0277,D1
Y0278,D1
Y0279,D1
Y0280,D1
Y0281,D1
Y0282,D1
Y0283,D2
Y0284,D1
Y0285,BOTH
Y0286,D1
Y0287,D1
Y0288,D1
Y0289,BOTH
Y0290,D1
Y0291,AWAY
Y0292,D1
Y0293,D1
Y0294,D1
Y0295,META
Y0296,BOTH
Y0297,INCOH
Y0298,BOTH
Y0299,D1
Y0300,INCOH
Y0301,INCOH
Y0302,D1
Y0303,META
Y0304,D1
Y0305,D1
Y0306,AWAY
Y0307,AWAY
Y0308,INCOH
Y0309,META
Y0310,D1
Y0311,BOTH
Y0312,BOTH
Y0313,INCOH
Y0314,D2
Y0315,BOTH
Y0316,D1
Y0317,D1
Y0318,INCOH
Y0319,AWAY
Y0320,D1
Y0321,BOTH
Y0322,D1
Y0323,INCOH
Y0324,AWAY
Y0325,META
Y0326,D1
Y0327,BOTH
Y0328,D1
Y0329,INCOH
Y0330,D1
Y0331,D1
Y0332,D1
Y0333,INCOH
Y0334,D1
Y0335,INCOH
Y0336,D1
Y0337,D1
Y0338,D1
Y0339,BOTH
Y0340,BOTH
Y0341,D1
Y0342,BOTH
Y0343,AWAY
Y0344,D1
Y0345,D1
Y0346,D1
Y0347,D1
Y0348,D1
Y0349,D1
Y0350,META
Y0351,BOTH
Y0352,D1
Y0353,META
Y0354,D1
Y0355,INCOH
Y0356,D1
Y0357,D1
Y0358,D1
Y0359,D1
Y0360,D1
Y0361,AWAY
Y0362,D1
Y0363,INCOH
Y0364,INCOH
Y0365,D1
Y0366,BOTH
Y0367,META
Y0368,D2
Y0369,D1
Y0370,D1
Y0371,D1
Y0372,D1
Y0373,INCOH
Y0374,META
Y0375,D1
Y0376,INCOH
Y0377,INCOH
Y0378,D1
Y0379,META
Y0380,D1
Y0381,D1
