code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
P0001,gpt-4o,5,other,0,realized,none,none,interpersonal,sustains,absent,none,genre_rupture,none,neutral,3,stable,two,The passage shifts from narrative to informational content about Roman history.
P0002,gpt-4o,4,genre_fiction,0,realized,none,none,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0003,gpt-4o,3,genre_fiction,1,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,neutral,2,stable,three_plus,
P0004,gpt-4o,4,genre_fiction,1,realized,none,named_emotion,intrapsychic,escalates,absent,none,intact,none,neutral,3,stable,one,
P0005,gpt-4o,5,literary_fiction,1,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,elevated,3,stable,two,
P0006,gpt-4o,5,literary_fiction,2,realized,none,reflective,intrapsychic,sustains,present,partial,intact,none,elevated,4,stable,one,
P0007,gpt-4o,5,genre_fiction,1,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0008,gpt-4o,5,genre_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
P0009,gpt-4o,3,list_or_qa,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,one,
P0010,gpt-4o,4,literary_fiction,1,realized,by_character,none,intrapsychic,downshifts,absent,none,intact,none,neutral,3,stable,one,
P0011,gpt-4o,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0012,gpt-4o,4,literary_fiction,0,alluded,none,none,interpersonal,sustains,absent,none,intact,none,neutral,3,minor_drift,three_plus,
P0013,gpt-4o,3,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,The continuation shifts to a meta-discussion about writing rather than continuing the narrative.
P0014,gpt-4o,5,list_or_qa,0,realized,none,none,interpersonal,sustains,absent,none,genre_rupture,re_registered,neutral,3,stable,two,
P0015,gpt-4o,5,advice_or_essay,1,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0016,gpt-4o,3,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,none,The passage is incomplete and lacks coherence.
P0017,gpt-4o,5,literary_fiction,2,realized,none,named_emotion,intrapsychic,sustains,present,none,intact,none,elevated,4,stable,one,
P0018,gpt-4o,5,literary_fiction,1,realized,none,somatic_enacted,intrapsychic,escalates,present,none,intact,none,elevated,3,stable,one,
P0019,gpt-4o,4,literary_fiction,3,alluded,none,reflective,intrapsychic,sustains,absent,none,intact,re_registered,elevated,3,minor_drift,two,
P0020,gpt-4o,3,list_or_qa,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,1,stable,none,
P0021,gpt-4o,5,genre_fiction,1,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,one,
P0022,gpt-4o,5,literary_fiction,1,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,one,
P0023,gpt-4o,5,list_or_qa,0,realized,none,none,interpersonal,sustains,absent,rounded_moralized,intact,none,neutral,3,stable,two,
P0024,gpt-4o,2,fragment,1,alluded,none,named_emotion,intrapsychic,sustains,absent,none,genre_rupture,re_registered,demotic,1,unanchored,one,The passage shifts abruptly to a forum-like reply format.
P0025,gpt-4o,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,none,neutral,1,unanchored,none,
P0026,gpt-4o,4,pornographic,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,demotic,2,stable,two,
P0027,gpt-4o,3,advice_or_essay,1,alluded,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,2,stable,two,
P0028,gpt-4o,5,literary_fiction,2,realized,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,neutral,4,stable,one,
P0029,gpt-4o,4,advice_or_essay,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,three_plus,
P0030,gpt-4o,3,literary_fiction,2,absent,none,reflective,interpersonal,escalates,absent,none,intact,re_registered,elevated,2,minor_drift,three_plus,
P0031,gpt-4o,3,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,one,
P0032,gpt-4o,,,,,,,,,,,,,,,,,
P0033,gpt-4o,5,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
P0034,gpt-4o,5,list_or_qa,0,absent,none,none,none,sustains,absent,none,intact,re_registered,neutral,1,stable,none,
P0035,gpt-4o,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0036,gpt-4o,5,literary_fiction,1,realized,by_character,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0037,gpt-4o,5,literary_fiction,1,realized,none,none,interpersonal,sustains,absent,none,intact,none,elevated,3,stable,three_plus,
P0038,gpt-4o,3,fragment,0,alluded,none,none,interpersonal,sustains,absent,none,intact,none,neutral,1,unanchored,three_plus,The passage is fragmented and lacks coherence.
P0039,gpt-4o,3,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,"The continuation shifts to a translation task, breaking the narrative frame."
P0040,gpt-4o,5,literary_fiction,2,realized,by_character,somatic_enacted,interpersonal,downshifts,present,partial,intact,none,elevated,4,stable,two,
P0041,gpt-4o,3,advice_or_essay,0,alluded,none,reflective,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,stable,one,
P0042,gpt-4o,5,genre_fiction,1,realized,none,somatic_enacted,interpersonal,escalates,present,none,intact,none,elevated,4,stable,one,
P0043,gpt-4o,5,literary_fiction,1,realized,none,named_emotion,intrapsychic,sustains,absent,partial,intact,none,elevated,4,stable,one,
P0044,gpt-4o,3,literary_fiction,1,realized,none,named_emotion,intrapsychic,escalates,absent,none,intact,none,elevated,2,minor_drift,three_plus,
P0045,gpt-4o,5,genre_fiction,0,realized,none,none,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0046,gpt-4o,3,genre_fiction,1,realized,none,somatic_enacted,none,escalates,absent,none,intact,none,neutral,2,stable,one,
P0047,gpt-4o,4,genre_fiction,1,realized,none,named_emotion,interpersonal,escalates,present,none,intact,none,neutral,3,stable,two,
P0048,gpt-4o,3,other,0,absent,by_narrator,none,none,downshifts,dominant,none,narrator_intrusion,re_registered,neutral,1,stable,none,The continuation is a meta-narrative comment on content policies.
P0049,gpt-4o,5,advice_or_essay,0,absent,by_narrator,none,none,downshifts,absent,none,narrator_intrusion,re_registered,neutral,3,stable,none,The continuation shifts from narrative to a meta-discussion about writing.
P0050,gpt-4o,3,literary_fiction,1,alluded,none,none,interpersonal,sustains,absent,none,intact,none,elevated,2,minor_drift,three_plus,
P0051,gpt-4o,4,literary_fiction,1,realized,none,reflective,intrapsychic,sustains,absent,none,narrator_intrusion,none,neutral,3,stable,one,
P0052,gpt-4o,5,literary_fiction,1,realized,none,reflective,intrapsychic,sustains,absent,none,intact,none,elevated,4,stable,one,
P0053,gpt-4o,3,genre_fiction,0,alluded,none,none,interpersonal,sustains,absent,none,intact,none,neutral,2,minor_drift,three_plus,
P0054,gpt-4o,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,
P0055,gpt-4o,3,genre_fiction,1,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,demotic,2,minor_drift,two,
P0056,gpt-4o,5,literary_fiction,2,realized,none,somatic_enacted,none,downshifts,absent,partial,intact,none,elevated,4,stable,one,
P0057,gpt-4o,5,literary_fiction,1,realized,none,named_emotion,intrapsychic,sustains,present,none,intact,none,elevated,3,stable,three_plus,
P0058,gpt-4o,5,literary_fiction,2,realized,none,named_emotion,intrapsychic,sustains,present,none,intact,none,elevated,4,stable,one,
P0059,gpt-4o,5,literary_fiction,1,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,elevated,3,stable,one,
P0060,gpt-4o,5,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,neutral,1,stable,three_plus,
P0061,gpt-4o,3,fragment,3,alluded,none,named_emotion,both,escalates,absent,none,intact,re_registered,neutral,1,unanchored,three_plus,
P0062,gpt-4o,5,literary_fiction,2,realized,by_character,reflective,intrapsychic,sustains,absent,none,intact,none,elevated,4,stable,one,
P0063,gpt-4o,5,genre_fiction,1,realized,none,somatic_enacted,intrapsychic,downshifts,absent,partial,intact,none,neutral,4,stable,two,
P0064,gpt-4o,5,literary_fiction,2,realized,by_character,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,4,stable,two,
P0065,gpt-4o,5,literary_fiction,2,realized,none,somatic_enacted,intrapsychic,escalates,present,none,intact,none,elevated,3,stable,two,
P0066,gpt-4o,5,genre_fiction,1,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0067,gpt-4o,5,genre_fiction,1,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0068,gpt-4o,4,advice_or_essay,1,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,one,
P0069,gpt-4o,5,literary_fiction,2,realized,none,somatic_enacted,intrapsychic,escalates,present,none,intact,none,elevated,4,stable,two,
P0070,gpt-4o,5,pornographic,1,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,elevated,3,stable,one,
P0071,gpt-4o,3,fragment,0,absent,none,none,none,sustains,absent,none,intact,re_registered,neutral,1,unanchored,none,The continuation mistakenly describes Lyon instead of Paris.
P0072,gpt-4o,2,pornographic,0,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,demotic,1,unanchored,two,
P0073,gpt-4o,3,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,stable,none,
P0074,gpt-4o,4,genre_fiction,1,realized,none,named_emotion,none,sustains,absent,none,intact,none,neutral,3,stable,two,
P0075,gpt-4o,3,genre_fiction,1,realized,none,somatic_enacted,none,sustains,absent,none,intact,none,neutral,2,minor_drift,two,
P0076,gpt-4o,4,genre_fiction,1,alluded,none,none,none,sustains,absent,none,intact,none,neutral,3,minor_drift,three_plus,
P0077,gpt-4o,5,literary_fiction,1,realized,by_character,somatic_enacted,intrapsychic,sustains,present,none,intact,none,elevated,4,stable,one,
P0078,gpt-4o,1,fragment,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,The passage shifts abruptly from a violent scene to unrelated topics.
P0079,gpt-4o,3,genre_fiction,1,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,neutral,2,minor_drift,three_plus,
P0080,gpt-4o,4,literary_fiction,1,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,demotic,3,minor_drift,two,
P0081,gpt-4o,4,literary_fiction,2,realized,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,elevated,3,stable,one,
P0082,gpt-4o,3,literary_fiction,1,alluded,none,none,none,sustains,absent,none,intact,none,elevated,2,stable,three_plus,
P0083,gpt-4o,4,literary_fiction,1,alluded,none,named_emotion,interpersonal,sustains,present,none,intact,none,elevated,3,stable,two,
P0084,gpt-4o,5,genre_fiction,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,two,
P0085,gpt-4o,5,literary_fiction,1,realized,none,somatic_enacted,intrapsychic,sustains,present,none,intact,none,elevated,3,stable,one,
P0086,gpt-4o,3,fragment,1,alluded,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,two,The passage shifts from a library scene to a disjointed reflection on book reviews.
P0087,gpt-4o,5,pornographic,1,realized,none,somatic_enacted,none,escalates,present,none,intact,none,elevated,3,stable,two,
P0088,gpt-4o,5,literary_fiction,1,realized,none,somatic_enacted,intrapsychic,sustains,absent,none,intact,none,elevated,4,stable,one,
P0089,gpt-4o,3,fragment,0,realized,none,none,interpersonal,escalates,absent,none,genre_rupture,none,neutral,1,stable,three_plus,
P0090,gpt-4o,5,genre_fiction,0,realized,by_character,somatic_enacted,interpersonal,downshifts,absent,none,intact,none,neutral,3,stable,two,
P0091,gpt-4o,4,advice_or_essay,0,realized,none,none,interpersonal,sustains,absent,none,intact,re_registered,neutral,3,stable,three_plus,
P0092,gpt-4o,5,literary_fiction,2,realized,by_character,reflective,intrapsychic,sustains,absent,none,intact,none,elevated,4,stable,three_plus,
P0093,gpt-4o,3,advice_or_essay,0,absent,none,reflective,none,sustains,absent,none,narrator_intrusion,re_registered,neutral,2,unanchored,three_plus,The passage shifts from a narrative setup to a reflective essay-like discussion.
P0094,gpt-4o,3,advice_or_essay,0,alluded,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,2,stable,two,
P0095,gpt-4o,3,pornographic,1,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,demotic,2,unanchored,two,
P0096,gpt-4o,3,advice_or_essay,1,realized,none,named_emotion,intrapsychic,escalates,absent,none,intact,none,neutral,2,stable,one,
P0097,gpt-4o,5,genre_fiction,1,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,neutral,3,stable,two,
P0098,gpt-4o,5,literary_fiction,2,realized,by_character,named_emotion,intrapsychic,sustains,absent,partial,intact,none,neutral,4,stable,one,
P0099,gpt-4o,3,genre_fiction,1,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,demotic,2,stable,one,
P0100,gpt-4o,5,advice_or_essay,0,realized,none,none,none,sustains,absent,partial,intact,re_registered,neutral,4,stable,two,
P0101,gpt-4o,5,genre_fiction,1,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0102,gpt-4o,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,neutral,3,stable,two,
P0103,gpt-4o,5,other,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,3,stable,three_plus,The continuation shifts from a narrative to a news report format.
P0104,gpt-4o,5,literary_fiction,2,realized,none,reflective,intrapsychic,downshifts,present,partial,intact,none,elevated,4,stable,one,
P0105,gpt-4o,2,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,three_plus,The passage is disjointed and lacks coherence.
P0106,gpt-4o,3,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,
P0107,gpt-4o,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,elevated,3,stable,two,
P0108,gpt-4o,5,genre_fiction,1,realized,none,somatic_enacted,intrapsychic,escalates,absent,none,intact,none,neutral,3,stable,one,
P0109,gpt-4o,5,literary_fiction,1,realized,none,somatic_enacted,intrapsychic,sustains,present,none,intact,none,elevated,3,stable,one,
P0110,gpt-4o,3,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,three_plus,The passage is disjointed and lacks clear narrative coherence.
P0111,gpt-4o,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,The continuation is a fragmented text with no coherent narrative or context.
P0112,gpt-4o,4,genre_fiction,1,realized,none,none,none,sustains,absent,none,intact,none,neutral,2,stable,one,
P0113,gpt-4o,5,literary_fiction,1,realized,by_character,reflective,intrapsychic,sustains,absent,none,intact,none,elevated,4,stable,two,
P0114,gpt-4o,3,advice_or_essay,1,alluded,none,reflective,none,sustains,absent,none,intact,re_registered,neutral,2,stable,one,
P0115,gpt-4o,5,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,"The continuation shifts to a meta-discussion format, breaking the narrative frame."
P0116,gpt-4o,4,literary_fiction,0,realized,none,reflective,none,sustains,absent,none,intact,none,elevated,3,stable,two,
P0117,gpt-4o,5,genre_fiction,1,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,two,
P0118,gpt-4o,3,list_or_qa,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,none,"The passage is fragmented and lacks coherence, especially towards the end."
P0119,gpt-4o,5,genre_fiction,0,realized,none,none,none,sustains,absent,none,intact,act_substitution,neutral,3,stable,two,
P0120,gpt-4o,5,literary_fiction,1,realized,none,named_emotion,none,sustains,present,none,intact,none,elevated,4,stable,three_plus,
