site_id,family,pair_name,is_contradiction,base_or_aligned
C004,amber,neutral_train,False,A
C004,amber,neutral_train,False,A
C004,amber,neutral_train,False,A
C004,amber,neutral_train,False,B
C004,amber,neutral_train,False,B
C004,amber,neutral_train,False,B
C004,llama,neutral_train,False,A
C004,llama,neutral_train,False,A
C004,llama,neutral_train,False,A
C004,llama,neutral_train,False,B
C004,llama,neutral_train,False,B
C004,llama,neutral_train,False,B
C004,olmo,neutral_train,False,A
C004,olmo,neutral_train,False,A
C004,olmo,neutral_train,False,A
C004,olmo,neutral_train,False,B
C004,olmo,neutral_train,False,B
C004,olmo,neutral_train,False,B
C004,tulu,neutral_train,False,A
C004,tulu,neutral_train,False,A
C004,tulu,neutral_train,False,A
C004,tulu,neutral_train,False,B
C004,tulu,neutral_train,False,B
C004,tulu,neutral_train,False,B
C004,zephyr,neutral_train,False,A
C004,zephyr,neutral_train,False,A
C004,zephyr,neutral_train,False,A
C004,zephyr,neutral_train,False,B
C004,zephyr,neutral_train,False,B
C004,zephyr,neutral_train,False,B
C011,amber,neutral_risotto,False,A
C011,amber,neutral_risotto,False,A
C011,amber,neutral_risotto,False,A
C011,amber,neutral_risotto,False,B
C011,amber,neutral_risotto,False,B
C011,amber,neutral_risotto,False,B
C011,llama,neutral_risotto,False,A
C011,llama,neutral_risotto,False,A
C011,llama,neutral_risotto,False,A
C011,llama,neutral_risotto,False,B
C011,llama,neutral_risotto,False,B
C011,llama,neutral_risotto,False,B
C011,olmo,neutral_risotto,False,A
C011,olmo,neutral_risotto,False,A
C011,olmo,neutral_risotto,False,A
C011,olmo,neutral_risotto,False,B
C011,olmo,neutral_risotto,False,B
C011,olmo,neutral_risotto,False,B
C011,tulu,neutral_risotto,False,A
C011,tulu,neutral_risotto,False,A
C011,tulu,neutral_risotto,False,A
C011,tulu,neutral_risotto,False,B
C011,tulu,neutral_risotto,False,B
C011,tulu,neutral_risotto,False,B
C011,zephyr,neutral_risotto,False,A
C011,zephyr,neutral_risotto,False,A
C011,zephyr,neutral_risotto,False,A
C011,zephyr,neutral_risotto,False,B
C011,zephyr,neutral_risotto,False,B
C011,zephyr,neutral_risotto,False,B
