code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
Q0001,deepseek/deepseek-v4-flash,5,list_or_qa,0,realized,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,stable,none,"Continuation breaks off mid-sentence, typical of an incomplete exercise."
Q0002,deepseek/deepseek-v4-flash,1,fragment,0,alluded,none,none,none,sustains,absent,none,intact,act_substitution,demotic,1,unanchored,none,
Q0003,deepseek/deepseek-v4-flash,3,fragment,0,alluded,by_scene_change,none,none,downshifts,absent,none,intact,re_registered,neutral,1,unanchored,three_plus,
Q0004,deepseek/deepseek-v4-flash,2,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,elevated,1,unanchored,none,
Q0005,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,reflective,intrapsychic,sustains,absent,none,intact,none,elevated,3,stable,one,
Q0006,deepseek/deepseek-v4-flash,5,literary_fiction,3,realized,none,somatic_enacted,none,downshifts,absent,partial,intact,none,elevated,4,stable,one,
Q0007,deepseek/deepseek-v4-flash,4,genre_fiction,1,alluded,none,somatic_enacted,interpersonal,downshifts,absent,none,intact,re_registered,neutral,2,stable,two,"Abrupt shift from drowning to a surreal after-scene with a cup and collar, leaving the central action unresolved."
Q0008,deepseek/deepseek-v4-flash,2,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,1,stable,none,
Q0009,deepseek/deepseek-v4-flash,4,genre_fiction,0,alluded,none,none,none,downshifts,absent,none,intact,re_registered,neutral,2,minor_drift,three_plus,
Q0010,deepseek/deepseek-v4-flash,4,literary_fiction,0,realized,none,named_emotion,none,sustains,absent,none,intact,none,elevated,2,minor_drift,three_plus,
Q0011,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,Continuation is incoherent word salad; does not relate to opening.
Q0012,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,intact,none,neutral,1,unanchored,two,"Continuation is largely nonsensical or corrupted, mixing English and gibberish."
Q0013,deepseek/deepseek-v4-flash,1,fragment,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,
Q0014,deepseek/deepseek-v4-flash,5,other,0,realized,none,somatic_enacted,interpersonal,downshifts,absent,none,intact,none,neutral,3,stable,three_plus,
Q0015,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,named_emotion,interpersonal,escalates,absent,none,intact,none,elevated,3,unanchored,three_plus,Pronoun shift from 'he' to 'I' unresolved; multiple unnamed referents.
Q0016,deepseek/deepseek-v4-flash,5,literary_fiction,2,realized,none,none,none,sustains,absent,partial,intact,none,demotic,4,stable,two,
Q0017,deepseek/deepseek-v4-flash,5,genre_fiction,2,realized,none,somatic_enacted,none,escalates,present,none,intact,none,neutral,3,stable,two,
Q0018,deepseek/deepseek-v4-flash,2,genre_fiction,2,absent,none,named_emotion,interpersonal,escalates,absent,partial,intact,re_registered,elevated,2,unanchored,three_plus,
Q0019,deepseek/deepseek-v4-flash,3,fragment,0,absent,none,none,none,downshifts,absent,none,narrator_intrusion,re_registered,demotic,1,unanchored,three_plus,Continuation mixes diary entry and comment thread; no narrative coherence.
Q0020,deepseek/deepseek-v4-flash,4,genre_fiction,2,alluded,by_character,somatic_enacted,both,downshifts,absent,none,intact,re_registered,demotic,2,stable,two,
