family,stage,prompt_key,side,layer,n_layers,depth,h_residual
olmo,base,institutional_labor_worker_1,individual,0,32,early,8.810003280639648
olmo,base,institutional_labor_worker_1,individual,1,32,early,9.617303848266602
olmo,base,institutional_labor_worker_1,individual,2,32,early,10.054971694946289
olmo,base,institutional_labor_worker_1,individual,3,32,early,9.989582061767578
olmo,base,institutional_labor_worker_1,individual,4,32,early,9.896062850952148
olmo,base,institutional_labor_worker_1,individual,5,32,early,9.799304962158203
olmo,base,institutional_labor_worker_1,individual,6,32,early,10.042729377746582
olmo,base,institutional_labor_worker_1,individual,7,32,early,10.055590629577637
olmo,base,institutional_labor_worker_1,individual,8,32,early,9.969717979431152
olmo,base,institutional_labor_worker_1,individual,9,32,early,10.007528305053711
olmo,base,institutional_labor_worker_1,individual,10,32,mid,10.036406517028809
olmo,base,institutional_labor_worker_1,individual,11,32,mid,9.501243591308594
olmo,base,institutional_labor_worker_1,individual,12,32,mid,9.672550201416016
olmo,base,institutional_labor_worker_1,individual,13,32,mid,8.905373573303223
olmo,base,institutional_labor_worker_1,individual,14,32,mid,8.702521324157715
olmo,base,institutional_labor_worker_1,individual,15,32,mid,8.832620620727539
olmo,base,institutional_labor_worker_1,individual,16,32,mid,5.79042387008667
olmo,base,institutional_labor_worker_1,individual,17,32,mid,2.969778060913086
olmo,base,institutional_labor_worker_1,individual,18,32,mid,4.002560138702393
olmo,base,institutional_labor_worker_1,individual,19,32,mid,2.9269676208496094
olmo,base,institutional_labor_worker_1,individual,20,32,late,1.4032796621322632
olmo,base,institutional_labor_worker_1,individual,21,32,late,0.9227633476257324
olmo,base,institutional_labor_worker_1,individual,22,32,late,2.069951057434082
olmo,base,institutional_labor_worker_1,individual,23,32,late,2.5636508464813232
olmo,base,institutional_labor_worker_1,individual,24,32,late,2.3936209678649902
olmo,base,institutional_labor_worker_1,individual,25,32,late,3.030752182006836
olmo,base,institutional_labor_worker_1,individual,26,32,late,3.003815174102783
olmo,base,institutional_labor_worker_1,individual,27,32,late,2.5564918518066406
olmo,base,institutional_labor_worker_1,individual,28,32,late,1.7808762788772583
olmo,base,institutional_labor_worker_1,individual,29,32,late,1.462401270866394
olmo,base,institutional_labor_worker_1,individual,30,32,late,1.1073126792907715
olmo,base,institutional_labor_worker_1,individual,31,32,late,2.3824174404144287
olmo,base,institutional_labor_mgmt_1,institution,0,32,early,8.516105651855469
olmo,base,institutional_labor_mgmt_1,institution,1,32,early,9.64405632019043
olmo,base,institutional_labor_mgmt_1,institution,2,32,early,10.104939460754395
olmo,base,institutional_labor_mgmt_1,institution,3,32,early,10.018176078796387
olmo,base,institutional_labor_mgmt_1,institution,4,32,early,9.84979248046875
olmo,base,institutional_labor_mgmt_1,institution,5,32,early,9.948175430297852
olmo,base,institutional_labor_mgmt_1,institution,6,32,early,9.980600357055664
olmo,base,institutional_labor_mgmt_1,institution,7,32,early,10.115252494812012
olmo,base,institutional_labor_mgmt_1,institution,8,32,early,10.158392906188965
olmo,base,institutional_labor_mgmt_1,institution,9,32,early,10.069164276123047
olmo,base,institutional_labor_mgmt_1,institution,10,32,mid,10.17465591430664
olmo,base,institutional_labor_mgmt_1,institution,11,32,mid,10.05134105682373
olmo,base,institutional_labor_mgmt_1,institution,12,32,mid,10.098991394042969
olmo,base,institutional_labor_mgmt_1,institution,13,32,mid,9.877386093139648
olmo,base,institutional_labor_mgmt_1,institution,14,32,mid,9.897041320800781
olmo,base,institutional_labor_mgmt_1,institution,15,32,mid,9.977195739746094
olmo,base,institutional_labor_mgmt_1,institution,16,32,mid,9.415891647338867
olmo,base,institutional_labor_mgmt_1,institution,17,32,mid,8.019009590148926
olmo,base,institutional_labor_mgmt_1,institution,18,32,mid,6.783481121063232
olmo,base,institutional_labor_mgmt_1,institution,19,32,mid,6.164956092834473
olmo,base,institutional_labor_mgmt_1,institution,20,32,late,2.8347630500793457
olmo,base,institutional_labor_mgmt_1,institution,21,32,late,3.051830768585205
olmo,base,institutional_labor_mgmt_1,institution,22,32,late,3.4031763076782227
olmo,base,institutional_labor_mgmt_1,institution,23,32,late,3.403362274169922
olmo,base,institutional_labor_mgmt_1,institution,24,32,late,3.2086522579193115
olmo,base,institutional_labor_mgmt_1,institution,25,32,late,2.821768045425415
olmo,base,institutional_labor_mgmt_1,institution,26,32,late,0.6833745241165161
olmo,base,institutional_labor_mgmt_1,institution,27,32,late,0.6684716939926147
olmo,base,institutional_labor_mgmt_1,institution,28,32,late,0.22992821037769318
olmo,base,institutional_labor_mgmt_1,institution,29,32,late,0.3230045437812805
olmo,base,institutional_labor_mgmt_1,institution,30,32,late,3.2609260082244873
olmo,base,institutional_labor_mgmt_1,institution,31,32,late,4.614640235900879
olmo,base,institutional_labor_worker_2,individual,0,32,early,8.401993751525879
olmo,base,institutional_labor_worker_2,individual,1,32,early,9.532743453979492
olmo,base,institutional_labor_worker_2,individual,2,32,early,10.016738891601562
olmo,base,institutional_labor_worker_2,individual,3,32,early,9.996479034423828
olmo,base,institutional_labor_worker_2,individual,4,32,early,9.840330123901367
