model,stratum,resolver,resolved_surface,ids,loader
EleutherAI/pythia-6.9b,bos_token,bos_token,<|endoftext|>,0,auto
HuggingFaceH4/mistral-7b-sft-beta,bos_token,bos_token,<s>,1,auto
HuggingFaceH4/zephyr-7b-beta,bos_token,bos_token,<s>,1,auto
HuggingFaceTB/SmolLM2-360M,bos_token,bos_token,<|endoftext|>,0,auto
HuggingFaceTB/SmolLM2-360M-Instruct,bos_token,bos_token,<|im_start|>,1,auto
LLM360/Amber,bos_token,bos_token,<s>,1,auto
LLM360/AmberChat,bos_token,bos_token,<s>,1,auto
LLM360/AmberSafe,bos_token,bos_token,<s>,1,auto
PKU-Alignment/alpaca-7b-reproduced,bos_token,bos_token,<s>,1,auto
PKU-Alignment/beaver-7b-v1.0,bos_token,bos_token,<s>,1,auto
Qwen/Qwen2.5-0.5B,fallback,fallback:<|endoftext|>,<|endoftext|>,151643,auto
Qwen/Qwen2.5-0.5B-Instruct,fallback,fallback:<|endoftext|>,<|endoftext|>,151643,auto
Qwen/Qwen2.5-7B,fallback,fallback:<|endoftext|>,<|endoftext|>,151643,auto
Qwen/Qwen2.5-7B-Instruct,fallback,fallback:<|endoftext|>,<|endoftext|>,151643,auto
Qwen/Qwen3-8B,fallback,fallback:<|endoftext|>,<|endoftext|>,151643,auto
Qwen/Qwen3-8B-Base,fallback,fallback:<|endoftext|>,<|endoftext|>,151643,auto
allenai/Llama-3.1-Tulu-3-8B-DPO,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/Llama-3.1-Tulu-3-8B-SFT-no-safety-data,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/Llama-3.1-Tulu-3.1-8B,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/OLMo-2-0425-1B,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/OLMo-2-0425-1B-DPO,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/OLMo-2-0425-1B-Instruct,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/OLMo-2-0425-1B-SFT,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3-1025-7B,fallback,fallback:<|endoftext|>,<|endoftext|>,100257,auto
allenai/Olmo-3-7B-Instruct,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3-7B-Instruct-DPO,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3-7B-Instruct-SFT,bos_token,bos_token,<|endoftext|>,100257,auto
huggyllama/llama-7b,bos_token,bos_token,<s>,1,auto
m-a-p/CT-LLM-Base,bos_token,bos_token,<s>,1,auto
m-a-p/CT-LLM-SFT,bos_token,bos_token,<s>,1,auto
m-a-p/CT-LLM-SFT-DPO,bos_token,bos_token,<s>,1,auto
m-a-p/neo_7b,bos_token,bos_token,<s>,1,auto
m-a-p/neo_7b_instruct_v0.1,bos_token,bos_token,<s>,1,auto
m-a-p/neo_7b_sft_v0.1,bos_token,bos_token,<s>,1,auto
meta-llama/Llama-3.1-8B,bos_token,bos_token,<|begin_of_text|>,128000,auto
meta-llama/Llama-3.1-8B-Instruct,bos_token,bos_token,<|begin_of_text|>,128000,auto
mistralai/Mistral-7B-v0.1,bos_token,bos_token,<s>,1,auto
deepseek-ai/deepseek-llm-7b-base,bos_token,bos_token,<｜begin▁of▁sentence｜>,100000,override:#45488/#47017
deepseek-ai/deepseek-llm-7b-chat,bos_token,bos_token,<｜begin▁of▁sentence｜>,100000,override:#45488/#47017
lomahony/eleuther-pythia6.9b-hh-dpo,bos_token,bos_token,<|endoftext|>,0,auto
lomahony/eleuther-pythia6.9b-hh-sft,bos_token,bos_token,<|endoftext|>,0,auto
allenai/Olmo-3-7B-Think-DPO,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3-7B-Think-SFT,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3-1125-32B,fallback,fallback:<|endoftext|>,<|endoftext|>,100257,auto
allenai/Olmo-3.1-32B-Instruct,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3.1-32B-Instruct-DPO,bos_token,bos_token,<|endoftext|>,100257,auto
allenai/Olmo-3.1-32B-Instruct-SFT,bos_token,bos_token,<|endoftext|>,100257,auto
HuggingFaceTB/SmolLM3-3B,fallback,fallback:<|end_of_text|>,<|end_of_text|>,128001,auto
01-ai/Yi-1.5-9B,bos_token,bos_token,<|startoftext|>,1,auto
01-ai/Yi-1.5-9B-Chat,bos_token,bos_token,<|startoftext|>,1,auto
ContextualAI/archangel_sft-dpo_pythia2-8b,bos_token,bos_token,<|endoftext|>,0,auto
ContextualAI/archangel_sft-kto_pythia2-8b,bos_token,bos_token,<|endoftext|>,0,auto
ContextualAI/archangel_sft-ppo_pythia2-8b,bos_token,bos_token,<|endoftext|>,0,auto
ContextualAI/archangel_sft-slic_pythia2-8b,bos_token,bos_token,<|endoftext|>,0,auto
ContextualAI/archangel_sft_pythia2-8b,bos_token,bos_token,<|endoftext|>,0,auto
EleutherAI/pythia-2.8b,bos_token,bos_token,<|endoftext|>,0,auto
HuggingFaceTB/SmolLM3-3B-Base,fallback,fallback:<|end_of_text|>,<|end_of_text|>,128001,auto
TinyLlama/TinyLlama-1.1B-Chat-v1.0,bos_token,bos_token,<s>,1,auto
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,bos_token,bos_token,<s>,1,auto
allenai/Llama-3.1-Tulu-3-8B-SFT,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/Llama-3.1-Tulu-3-8B-SFT-no-math-data,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/Llama-3.1-Tulu-3-8B-SFT-no-persona-data,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/Llama-3.1-Tulu-3-8B-SFT-no-wildchat-data,bos_token,bos_token,<|begin_of_text|>,128000,auto
allenai/OLMoE-1B-7B-0125,fallback,fallback:<|endoftext|>,<|endoftext|>,50279,auto
allenai/OLMoE-1B-7B-0125-DPO,bos_token,bos_token,|||IP_ADDRESS|||,50279,auto
allenai/OLMoE-1B-7B-0125-Instruct,bos_token,bos_token,|||IP_ADDRESS|||,50279,auto
allenai/OLMoE-1B-7B-0125-SFT,bos_token,bos_token,|||IP_ADDRESS|||,50279,auto
allenai/Olmo-Hybrid-7B,fallback,fallback:<|endoftext|>,<|endoftext|>,100257,auto
allenai/Olmo-Hybrid-Instruct-DPO-7B,fallback,fallback:<|endoftext|>,<|endoftext|>,100257,auto
allenai/Olmo-Hybrid-Instruct-SFT-7B,fallback,fallback:<|endoftext|>,<|endoftext|>,100257,auto
bigscience/bloom-7b1,bos_token,bos_token,<s>,1,auto
bigscience/bloomz-7b1,bos_token,bos_token,<s>,1,auto
microsoft/phi-4,bos_token,bos_token,<|endoftext|>,100257,auto
microsoft/phi-4-reasoning,bos_token,bos_token,<|endoftext|>,100257,auto
openbmb/MiniCPM5-1B,bos_token,bos_token,<s>,0,auto
openbmb/MiniCPM5-1B-Base,bos_token,bos_token,<s>,0,auto
openbmb/MiniCPM5-1B-SFT,bos_token,bos_token,<s>,0,auto
stabilityai/stablelm-2-1_6b,bos_token,bos_token,<|endoftext|>,100257,auto
stabilityai/stablelm-2-1_6b-chat,bos_token,bos_token,<|endoftext|>,100257,auto
stabilityai/stablelm-2-zephyr-1_6b,bos_token,bos_token,<|endoftext|>,100257,auto
tiiuae/Falcon-H1-1.5B-Base,fallback,fallback:<|end_of_text|>,<|end_of_text|>,11,auto
tiiuae/Falcon-H1-1.5B-Instruct,bos_token,bos_token,<|begin_of_text|>,17,auto
tiiuae/Falcon-H1-7B-Base,fallback,fallback:<|end_of_text|>,<|end_of_text|>,11,auto
tiiuae/Falcon-H1-7B-Instruct,bos_token,bos_token,<|begin_of_text|>,17,auto
tiiuae/Falcon3-10B-Base,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-10B-Instruct,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-1B-Base,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-1B-Instruct,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-3B-Base,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-3B-Instruct,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-7B-Base,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-7B-Instruct,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-Mamba-7B-Base,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/Falcon3-Mamba-7B-Instruct,bos_token,bos_token,<|begin_of_text|>,8,auto
tiiuae/falcon-mamba-7b,fallback,fallback:<|endoftext|>,<|endoftext|>,11,auto
tiiuae/falcon-mamba-7b-instruct,bos_token,bos_token,<|begin_of_text|>,8,auto
togethercomputer/RedPajama-INCITE-7B-Chat,bos_token,bos_token,<|endoftext|>,0,auto
togethercomputer/RedPajama-INCITE-7B-Instruct,bos_token,bos_token,<|endoftext|>,0,auto
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,bos_token,bos_token,<|endoftext|>,0,auto
zai-org/glm-4-9b-chat-hf,fallback,fallback:<|endoftext|>,<|endoftext|>,151329,auto
zai-org/glm-4-9b-hf,fallback,fallback:<|endoftext|>,<|endoftext|>,151329,auto
RWKV/rwkv-4-7b-pile,bos_token,bos_token,<|endoftext|>,0,auto
RWKV/rwkv-raven-7b,bos_token,bos_token,<|endoftext|>,0,auto
