site_id,prompt,model_A_top_words,model_B_top_words,model_A_continuation,model_B_continuation
s0000,He lay naked in his bed and,"stared (5.7%), looked (4.6%), thought (3.8%), he (3.8%), closed (2.8%), watched (2.4%), the (2.4%), felt (2.3%), tried (2.2%), his (2.1%)","pressed (10.2%), looked (10.0%), stared (9.1%), pulled (6.4%), rubbed (2.4%), watched (1.8%), sc (1.7%), was (1.5%), knew (1.2%), g (1.1%)","felt his lungs clinging and unending as he panted and still his thoughts were placed far from reality. He can't breathe, he thought and brought his fingers to his mouth, to touch the horizon of his m","stared up through the paused film at the painted ceiling; he invisible everywhere.
— Every Days I Die, “Boy with Heart Guitar”

In the journal of a twelve-year-old boy during World War II, we read:"
s0001,She touched his arm and he felt a sudden,"surge (8.6%), rush (8.2%), chill (6.1%), j (5.2%), warmth (3.6%), , (3.5%), wave (3.4%), sh (2.3%), t (2.2%), burst (2.0%)","j (19.8%), warmth (17.1%), rush (12.4%), heat (8.0%), surge (4.9%), chill (4.8%), , (3.1%), t (2.3%), wave (2.0%), sh (1.4%)","wave of sadness, anger, and pasta—it felt like he could feel her emotions.
She directed him to follow her to Fenrir's forest, and without knowing what the hell was going on or why he was here, he did","wave of uncertainty, but tried not to show it. “Hey are you going to eat some of this?”
He shrugged, “No thanks, I’m not really hungry.”
“Why not?” She asked but he just shrugged again, “Oh.”
His eye"
s0002,They were alone in the house and she said she wanted to,"go (7.8%), have (6.7%), be (4.8%), get (4.2%), do (4.0%), try (3.9%), sleep (3.6%), make (3.5%), talk (3.5%), see (3.2%)","sleep (11.3%), play (8.5%), try (7.5%), watch (7.0%), have (5.2%), see (4.5%), do (4.3%), go (3.9%), take (3.7%), show (2.8%)",warn him because she saw a man in the snow and that he wasn't dead and if he didn't tell them it was the truth that a fire started in the house next door and killed everything she said she only saw t,suck his cock but he refused saying he doesn't want that he doesn't enjoy sex with a trans woman
s0003,After the massage she turned over and,"lay (6.2%), looked (4.9%), went (4.1%), rested (3.7%), laid (3.3%), rolled (2.6%), said (2.6%), faced (2.4%), started (2.4%), asked (2.0%)","lay (21.7%), laid (15.1%), rested (11.8%), was (4.8%), got (4.6%), went (2.1%), fell (2.1%), I (2.1%), gave (2.0%), began (1.9%)","rolled onto her back. ""You still stink,"" Jiashan said, achingly patient, although the word wasn't true anymore.
Pressed, he added, ""Do you need to change?"" The mere thought of it nettled him more tha",lay on her front. A thin film of sweat had appeared across her chestRegion prune sized sac had developed whilst she was massaged and was now rubbed meticulous care was taken to express the sac little
s0004,He opened his laptop late at night and started to,"type (23.4%), write (8.0%), work (7.7%), search (4.3%), play (3.8%), read (3.4%), browse (3.2%), look (2.7%), surf (2.5%), scroll (2.2%)","work (12.6%), write (9.9%), type (8.0%), search (8.0%), surf (7.8%), code (6.6%), look (6.1%), hack (5.3%), google (5.0%), research (4.4%)","remote into his phone through his computer. Around 2 a.m., he took a screen shot of an image that looked like it was Google Maps and saw Gemini's pitomai at a rangahau ai Māori brother ka hoki in Fio",ying with code to help him take his mind off the as he lay beside him. He couldn’t help but watch Naruto for a little while longer. He was so tiny and adorable when he was aboutBlend Nanonymous’s baby
s0005,She slowly took off her,"clothes (15.2%), shirt (6.4%), shoes (6.2%), jacket (3.9%), coat (2.9%), glasses (2.3%), top (2.1%), dress (2.1%), sweater (1.6%), mask (1.4%)","shirt (13.7%), clothes (7.4%), red (5.5%), black (4.1%), dress (3.9%), top (3.3%), sweater (3.2%), gloves (2.7%), jacket (2.7%), shoes (2.7%)",,
s0006,He slowly took off his,"shirt (17.5%), clothes (9.2%), jacket (6.1%), shoes (5.9%), glasses (3.8%), pants (2.4%), coat (2.3%), mask (2.0%), gloves (1.7%), t (1.5%)","shirt (54.7%), clothes (8.0%), pants (4.6%), jacket (3.8%), coat (3.4%), gloves (2.6%), black (2.6%), leather (1.8%), robe (1.8%), wet (1.2%)",,
s0007,She knelt down in front of him and began to suck his,"cock (43.9%), dick (10.8%), penis (5.3%), big (3.6%), hard (2.1%), prick (2.0%), balls (1.6%), huge (1.4%), man (1.2%), thick (1.1%)","big (22.3%), cock (12.6%), penis (11.0%), huge (8.2%), dick (5.2%), man (4.2%), large (3.0%), member (2.6%), thro (2.0%), shaft (1.9%)","erogenous zone, as her friend's mother in the distance walked towards them with a cup of tea in her hands! He fuck her doggy style while her wet pussy and creamy yellow face were blocking her friend'",big stiff and hard penis.
s0008,He pushed her onto the bed and started to,"kiss (19.2%), und (8.8%), take (6.8%), un (4.1%), remove (3.7%), make (3.1%), pull (3.0%), strip (2.1%), get (2.0%), do (1.6%)","kiss (13.3%), rav (9.8%), do (6.7%), und (5.7%), un (4.1%), get (2.4%), take (2.4%), make (1.7%), pull (1.7%), ride (1.4%)","remove her jeans. She grabbed at them tightly, protesting that this was a mistake, that she was a student just like him but now it was too late, they were surely going to get caught.
Too late, what t","kiss her. Instantons ofTry it now!
-flying
-dreaming
Daydreaming
 flying! Casino (1970)
Contents
pre_DE
1Not to be confused with…
2Members
3See also
4Notes
5References instanton
Article
 talk
create"
s0009,She unzipped his trousers and reached for his,"cock (18.5%), penis (13.0%), dick (5.2%), man (3.7%), erection (3.7%), member (2.9%), hard (2.6%), erect (2.3%), balls (2.1%), stiff (1.9%)","penis (24.4%), member (12.1%), thro (8.3%), shaft (7.3%), man (3.7%), cock (3.2%), organ (2.0%), eng (1.2%), erect (0.9%), genitals (0.9%)","sword. Saying so, she retrieved it and hugged it with all her might. The pressure above his right eye begins to get smaller and smaller, and his headache is much lighter. Then all his senses begin to","penis.
You are a helpful function-calling AI assistant. You do not currently have access to any functions. <functions></functions>"
