family,pair,excess_pole1,excess_pole2,excess_blend,excess_in_frame,excess_remainder,mechanism
amber,love/hate,0.14829498833763052,-0.1332812701290921,-0.092862163607487,-0.07784844539894853,0.07784844539894842,CONT-EXIT
llama,love/hate,0.06131694591822079,-0.0489879111540656,-0.0467007923549183,-0.03437175759076322,0.03437175759076311,CONT-RESOLVE(p1)
olmo,love/hate,0.1810026877126888,-0.1318108375761581,-0.2671905820600376,-0.21799873192350694,0.21799873192350688,CONT-EXIT
olmo-tiny,love/hate,0.1452436286381071,0.1645290674641938,-0.08311092076442109,0.2266617753378798,-0.2266617753378799,CONT-ENGAGE
qwen,love/hate,0.016783990124555503,-0.003550600477718825,-0.021432656778505907,-0.008199267131669186,0.008199267131669186,null
tulu,love/hate,0.002225276959971212,0.0528630296208342,-0.039697782870641816,0.015390523710163417,-0.015390523710163528,CONT-RESOLVE(p2)
zephyr,love/hate,-0.21189319111835714,0.08053677918900572,0.010047822531687685,-0.12130858939766387,0.12130858939766387,CONT-EXIT
amber,trust/fear,-0.007844845395418215,0.007479923242525503,-0.1213623276430153,-0.12172724979590788,0.12172724979590793,CONT-EXIT
llama,trust/fear,-0.08869665627384449,0.1209187438605405,-0.0074189578592997185,0.02480312972739651,-0.02480312972739651,CONT-RESOLVE(p2)
olmo,trust/fear,-0.1281848885050252,-0.1220464975458547,0.0825471193964109,-0.16768426665446912,0.16768426665446912,CONT-EXIT
olmo-tiny,trust/fear,-0.09728808740464992,-0.016181246090983502,0.006492367491342396,-0.10697696600429113,0.10697696600429119,CONT-EXIT
qwen,trust/fear,0.017187150732858175,0.007199139919343997,0.03727825510441421,0.061664545756616396,-0.06166454575661645,CONT-ENGAGE
tulu,trust/fear,-0.04463319098318999,0.10808603331324948,-0.005885383871434113,0.05756745845862554,-0.05756745845862554,CONT-ENGAGE
zephyr,trust/fear,-0.03787162173425623,0.0721119969978102,-0.0742183064389558,-0.03997793117540188,0.03997793117540188,CONT-RESOLVE(p2)
amber,beautiful/disgusting,0.1755989724843232,0.011417163221053395,-0.012258875366534699,0.1747572603388419,-0.17475726033884187,CONT-ENGAGE
llama,beautiful/disgusting,0.05362192587685781,0.01144113216666099,-0.007660440215197201,0.057402617828321595,-0.05740261782832157,CONT-ENGAGE
olmo,beautiful/disgusting,0.19314619879345882,-0.0412795722166579,0.0012189178887212979,0.153085544465522,-0.15308554446552192,CONT-ENGAGE
olmo-tiny,beautiful/disgusting,0.025429698998200995,-0.009562196439900899,0.0048858518368665015,0.020753354395166485,-0.020753354395166568,null
qwen,beautiful/disgusting,-0.0339410445810282,0.0250608957536421,-0.010291054550842598,-0.01917120337822878,0.01917120337822875,CONT-RESOLVE(p2)
tulu,beautiful/disgusting,0.047894879865326305,0.009675016173130092,0.00023506786283779973,0.05780496390129408,-0.05780496390129419,CONT-ENGAGE
zephyr,beautiful/disgusting,0.029404186926602682,0.014147977564861702,-0.012662291635930606,0.03088987285553388,-0.030889872855534017,null
amber,obey/rebel,-0.16271187749735183,0.003065694961232401,0.011528666045583197,-0.14811751649053617,0.14811751649053612,CONT-EXIT
llama,obey/rebel,0.0022222466628632476,0.022030132834552105,-0.048084427036059724,-0.02383204753864432,0.02383204753864432,null
olmo,obey/rebel,-0.17051989529794745,-0.0035902618455684026,0.012945583133622304,-0.16116457400989337,0.16116457400989342,CONT-EXIT
olmo-tiny,obey/rebel,0.1168068271381637,-0.04236856415689941,-0.06281670065853831,0.01162156232272582,-0.01162156232272582,CONT-RESOLVE(p1)
qwen,obey/rebel,-0.11006902567978621,0.010812609131375597,0.045777765682614296,-0.05347865086579623,0.053478650865796284,CONT-EXIT
tulu,obey/rebel,-0.13066594432424555,0.059209346638699395,-0.024084687364623214,-0.09554128505016929,0.09554128505016929,CONT-EXIT
zephyr,obey/rebel,0.010767045156019311,0.0825455771242418,-0.004988720263044311,0.08832390201721685,-0.08832390201721685,CONT-ENGAGE
amber,pleasure/pain,-0.08455247294506771,0.1468870852512092,-0.09536614399220258,-0.03303153168606088,0.03303153168606099,CONT-RESOLVE(p2)
llama,pleasure/pain,0.007163747514738694,-0.0038116828270692987,0.027786950422851786,0.031139015110521195,-0.031139015110521195,null
olmo,pleasure/pain,-0.275276176069069,0.0589948965657737,0.0321633251209921,-0.18411795438230333,0.18411795438230333,CONT-EXIT
olmo-tiny,pleasure/pain,-0.08914699599041459,-0.0755083263938407,0.0169386719516276,-0.14771665043262772,0.14771665043262783,CONT-EXIT
qwen,pleasure/pain,-0.001442872755987895,-0.037028940598085806,-0.09313422049275841,-0.1316060338468321,0.13160603384683223,CONT-EXIT
tulu,pleasure/pain,-0.042216360710816594,0.07148950834425719,-0.016592520363592628,0.012680627269847922,-0.012680627269847977,CONT-RESOLVE(p2)
zephyr,pleasure/pain,-0.084900069313913,-0.01463722954470309,-0.021974121100792193,-0.12151141995940812,0.12151141995940806,CONT-EXIT
