prompt_key,prompt,category,lexname,n_words,mean_bits,mean_agree_filtered,mean_agree_all,n_repressed,n_promoted,dir_consistency,dominant_direction
death_1,The doctor told her she had six months to,death,noun.act,3,-4.7733,73.33333333333333,32.56666666666667,0,3,100.0,promoted
death_1,The doctor told her she had six months to,death,noun.cognition,3,-9.855200000000002,80.56666666666666,28.76666666666667,0,3,100.0,promoted
death_1,The doctor told her she had six months to,death,noun.time,3,-0.33580000000000004,100.0,25.03333333333333,1,2,66.66666666666666,promoted
death_1,The doctor told her she had six months to,death,verb.stative,3,-1.1110666666666666,75.76666666666667,20.46666666666667,0,1,100.0,promoted
death_2,He sat beside the body and,death,adv.all,3,-10.1015,78.2,34.833333333333336,1,2,66.66666666666666,promoted
death_2,He sat beside the body and,death,noun.artifact,3,0.09749999999999999,61.56666666666666,53.800000000000004,2,1,66.66666666666666,repressed
death_2,He sat beside the body and,death,noun.communication,3,-1.1444,76.39999999999999,39.4,1,2,66.66666666666666,promoted
death_2,He sat beside the body and,death,verb.body,5,0.1667799999999999,73.9,49.980000000000004,1,2,66.66666666666666,promoted
death_2,He sat beside the body and,death,verb.change,5,-5.49898,81.67999999999999,45.480000000000004,0,5,100.0,promoted
death_2,He sat beside the body and,death,verb.cognition,9,-2.6843222222222227,78.56666666666666,38.388888888888886,3,5,62.5,promoted
death_2,He sat beside the body and,death,verb.communication,17,-3.378329411764706,80.81764705882352,43.05294117647059,5,8,61.53846153846154,promoted
death_2,He sat beside the body and,death,verb.contact,24,-0.1336291666666667,80.64583333333333,53.2125,10,10,50.0,mixed
death_2,He sat beside the body and,death,verb.emotion,3,-6.171433333333333,100.0,19.7,0,3,100.0,promoted
death_2,He sat beside the body and,death,verb.motion,7,0.01622857142857142,76.38571428571427,56.814285714285724,1,3,75.0,promoted
death_2,He sat beside the body and,death,verb.perception,10,-1.44501,52.330000000000005,40.23,6,2,75.0,repressed
death_2,He sat beside the body and,death,verb.possession,3,-2.637966666666667,91.66666666666667,47.699999999999996,0,2,100.0,promoted
death_2,He sat beside the body and,death,verb.social,4,-0.15462499999999998,54.7,63.65,0,1,100.0,promoted
