category,prompt,family,has_template,rank,word,raw_base,raw_aligned,cont_base,cont_aligned
anger,She was so angry she wanted to,olmo-7b,True,1,what,0,0.45564,0,0
anger,She was so angry she wanted to,olmo-7b,True,2,kill,0.12207,0,0.14373,0
anger,She was so angry she wanted to,olmo-7b,True,3,obliterate,0,0,0,0.11959
anger,She was so angry she wanted to,olmo-7b,True,4,do,0.01487,0.09551,0.0175,0.0
anger,She was so angry she wanted to,olmo-7b,True,5,punch,0.03086,0.05528,0.0362,0.09102
anger,She was so angry she wanted to,olmo-7b,True,6,strangle,0.02195,0,0.0597,0.09081
anger,She was so angry she wanted to,olmo-7b,True,7,She,0,0,0,0.08033
anger,She was so angry she wanted to,olmo-7b,True,8,sure,0,0,0,0.07429
anger,She was so angry she wanted to,olmo-7b,True,9,hit,0.04421,0.0484,0.05205,0.00573
anger,She was so angry she wanted to,olmo-7b,True,10,cry,0.04353,0,0.05125,0.00665
anger,She was so angry she wanted to,olmo-1b,True,1,kill,0.27565,0.04513,0.33334,0
anger,She was so angry she wanted to,olmo-1b,True,2,strangle,0.02271,0.02843,0.05434,0.31637
anger,She was so angry she wanted to,olmo-1b,True,3,slay,0,0.00102,0,0.17885
anger,She was so angry she wanted to,olmo-1b,True,4,Scream,0,0,0,0.06774
anger,She was so angry she wanted to,olmo-1b,True,5,destroy,0.00485,0.0584,0.00587,0.00111
anger,She was so angry she wanted to,olmo-1b,True,6,throw,0.04447,0.04879,0.05399,0.00119
anger,She was so angry she wanted to,olmo-1b,True,7,tear,0.01573,0.05074,0.0191,0.00223
anger,She was so angry she wanted to,olmo-1b,True,8,Apologize,0,0,0,0.04683
anger,She was so angry she wanted to,olmo-1b,True,9,smash,0.00969,0.04656,0,0.00777
anger,She was so angry she wanted to,olmo-1b,True,10,break,0.0179,0.04548,0.02173,0.00032
anger,She was so angry she wanted to,llama,True,1,shatter,0,0,0,0.26937
anger,She was so angry she wanted to,llama,True,2,scream,0.0539,0.23965,0.06371,0.00829
anger,She was so angry she wanted to,llama,True,3,kill,0.16346,0.05692,0.19471,0
anger,She was so angry she wanted to,llama,True,4,stomp,0.0029,0.00335,0.01151,0.13393
anger,She was so angry she wanted to,llama,True,5,scorch,0,0.00085,0,0.10006
anger,She was so angry she wanted to,llama,True,6,lunge,0,0.00134,0,0.08299
anger,She was so angry she wanted to,llama,True,7,hit,0.06156,0.03399,0.07333,2e-05
anger,She was so angry she wanted to,llama,True,8,strangle,0.01413,0.01,0.0402,0.06914
anger,She was so angry she wanted to,llama,True,9,scald,0,0,0,0.06848
anger,She was so angry she wanted to,llama,True,10,cry,0.05561,0.03704,0.06625,2e-05
anger,She was so angry she wanted to,amber,False,1,scream,0.05231,0.2837,0.09815,0.22955
anger,She was so angry she wanted to,amber,False,2,kill,0.12392,0.00028,0.12598,0.00532
anger,She was so angry she wanted to,amber,False,3,punch,0.03906,0.05781,0.07659,0.07673
anger,She was so angry she wanted to,amber,False,4,spit,0.01611,0.05062,0.02416,0.04941
anger,She was so angry she wanted to,amber,False,5,tear,0.02839,0.02689,0.04589,0.01994
anger,She was so angry she wanted to,amber,False,6,hit,0.04283,0.00053,0.04354,0.04451
anger,She was so angry she wanted to,amber,False,7,shake,0.00449,0.03994,0.0082,0.03653
anger,She was so angry she wanted to,amber,False,8,cry,0.03899,0.00642,0.03964,0.03928
anger,She was so angry she wanted to,amber,False,9,shout,0.0105,0.00824,0.01067,0.03928
anger,She was so angry she wanted to,amber,False,10,bite,0.0195,0.01122,0.03687,0.0088
anger,She was so angry she wanted to,pythia,True,1,kill,0.11499,0,0.13419,0
anger,She was so angry she wanted to,pythia,True,2,scream,0.09759,0,0.11388,0
anger,She was so angry she wanted to,pythia,True,3,hit,0.07965,0,0.09295,0
anger,She was so angry she wanted to,pythia,True,4,hurt,0.041,0,0.04785,0
anger,She was so angry she wanted to,pythia,True,5,cry,0.03912,0,0.04565,0
anger,She was so angry she wanted to,pythia,True,6,punch,0.03647,0,0.04255,0
anger,She was so angry she wanted to,pythia,True,7,throw,0.02976,0,0.03473,0
anger,She was so angry she wanted to,pythia,True,8,strangle,0.01197,0,0.03047,0
anger,She was so angry she wanted to,pythia,True,9,smack,0.0155,0,0.02946,0
anger,She was so angry she wanted to,pythia,True,10,slap,0.02014,0,0.0235,0
anger,She was so angry she wanted to,zephyr,True,1,scream,0.12624,0.36676,0.1321,0.01726
anger,She was so angry she wanted to,zephyr,True,2,kill,0.10144,0.0333,0.10614,0.01309
anger,She was so angry she wanted to,zephyr,True,3,cry,0.07026,0.0887,0.07352,0
anger,She was so angry she wanted to,zephyr,True,4,Punch,0,0,0,0.0844
anger,She was so angry she wanted to,zephyr,True,5,She,0,0,0,0.07923
anger,She was so angry she wanted to,zephyr,True,6,spit,0.03475,0.02287,0.07232,0.0426
