corpus,role,keyword,context,side
alpaca,assistant,die,"improper care can cause them to become sick or even [die.] Therefore, it is important to consider carefully before deciding to",
alpaca,assistant,death,"disrupt habitats, and contaminate the food chain, leading to the [death] of marine wildlife. Oil spills can also block sunlight from",
alpaca,assistant,dead,"10,000. -December 31, 2004: More than 90,000 people are reported [dead] and millions are displaced. -January 5, 2005: International relief effort",
alpaca,assistant,death,"is the ongoing protests in the United States following the [death] of George Floyd, after being killed by a police officer.",
alpaca,assistant,kill,"To [Kill] a Mockingbird is a timeless classic. Written by Harper Lee,",
alpaca,assistant,death,"is not an effective way of deterring crime. Furthermore, the [death] penalty costs much more than housing prisoners in prison. It",
alpaca,assistant,died,"composer of popular music, having written over 250 songs. He [died] in 1980.",
alpaca,assistant,die,There are a total of 21 dots on a [die] (also known as pips) - one on each face of,
alpaca,assistant,death,"stuffed whale and elephant may symbolize the inability to escape [death,] as the creatures are both dead and stuffed. The color",
alpaca,assistant,died,"Robert had a difficult life. His father [died] shortly after he was born, leaving him and his mother",
alpaca,assistant,death,The majority opinion on the [death] penalty is that it should not be implemented.,
alpaca,assistant,kill,1. The Great Gatsby by F. Scott Fitzgerald 2. To [Kill] a Mockingbird by Harper Lee 3. 1984 by George Orwell,
alpaca,assistant,kill,"the old man to be a vulture, and decides to [kill] him to rid the fear and paranoia that the old",
alpaca,assistant,death,"dream. Ay, there's the rub, For in that sleep of [death] what dreams may come When we have shuffled off this",
alpaca,assistant,death,"of the plan and when he hears of her supposed [death,] he takes his own life. Juliet wakes up to find",
alpaca,assistant,die,Extrusion is the process of forcing metal through a [die] to produce shapes with a fixed cross-sectional profile. It involves,
alpaca,assistant,died,"who learns that her estranged father, who she thought had [died] years ago, is still alive and has since become a",
alpaca,assistant,died,bear and the reflection remained good friends until the bear [died] many years later.,
alpaca,assistant,kill,"and in the ocean. Plastic pollution can harm or even [kill] fish, birds, and other marine life, as well as have",
alpaca,assistant,dying,"find Romeo dead and kills herself in grief. The two [dying] lovers are finally reunited in death, symbolizing the power of",
alpaca,assistant,death,"longer Chinese pro-democracy movement and occurred in response to the [death] of Hu Yaobang, a liberal party official. As a result",
alpaca,assistant,death,to learn from their mistakes. Studies have shown that the [death] penalty does not deter crime. Potential criminals know that the,
alpaca,assistant,dead,"change. 5. Organic material from living, recently living, and even [dead] organisms can be converted into sources of renewable energy in",
alpaca,assistant,dead,like whales. Decomposers are organisms like bacteria that break down [dead] organic material into simpler forms.,
alpaca,assistant,death,"disaster is estimated at $14.5 billion. -March–April 2006: The final [death] toll reaches 220,000.",
alpaca,assistant,death,as a Goodwill Ambassador for UNICEF from 1988 until her [death] in 1993. Her legacy and influence in the world of,
