step,stage,prompt_key,side,layer,layer_frac,h_attention,h_residual
0,base,institutional_labor_worker_1,individual,0,0.0,1.7818180652102455,8.81180191040039
0,base,institutional_labor_worker_1,individual,1,0.03225806451612903,1.1979738774243742,9.616562843322754
0,base,institutional_labor_worker_1,individual,2,0.06451612903225806,0.8188890154706314,10.055413246154785
0,base,institutional_labor_worker_1,individual,3,0.0967741935483871,1.1684652008116245,9.989875793457031
0,base,institutional_labor_worker_1,individual,4,0.12903225806451613,0.6766209965571761,9.897037506103516
0,base,institutional_labor_worker_1,individual,5,0.16129032258064516,0.9567236801376566,9.799232482910156
0,base,institutional_labor_worker_1,individual,6,0.1935483870967742,1.0778296936769038,10.043217658996582
0,base,institutional_labor_worker_1,individual,7,0.22580645161290322,1.2599315512925386,10.05599594116211
0,base,institutional_labor_worker_1,individual,8,0.25806451612903225,1.0882628904655576,9.970548629760742
0,base,institutional_labor_worker_1,individual,9,0.2903225806451613,1.205594479222782,10.008070945739746
0,base,institutional_labor_worker_1,individual,10,0.3225806451612903,1.1777728769229725,10.03713607788086
0,base,institutional_labor_worker_1,individual,11,0.3548387096774194,1.54297942109406,9.503815650939941
0,base,institutional_labor_worker_1,individual,12,0.3870967741935484,1.058915531670209,9.672080993652344
0,base,institutional_labor_worker_1,individual,13,0.41935483870967744,0.899910741019994,8.91020393371582
0,base,institutional_labor_worker_1,individual,14,0.45161290322580644,1.3029420669190586,8.70205307006836
0,base,institutional_labor_worker_1,individual,15,0.4838709677419355,1.6581817604601383,8.834205627441406
0,base,institutional_labor_worker_1,individual,16,0.5161290322580645,1.307613876182586,5.788665771484375
0,base,institutional_labor_worker_1,individual,17,0.5483870967741935,1.0796533266548067,2.966157913208008
0,base,institutional_labor_worker_1,individual,18,0.5806451612903226,0.9243841436691582,4.000781536102295
0,base,institutional_labor_worker_1,individual,19,0.6129032258064516,1.0943276756443083,2.90999174118042
0,base,institutional_labor_worker_1,individual,20,0.6451612903225806,0.6436804400291294,1.4021154642105103
0,base,institutional_labor_worker_1,individual,21,0.6774193548387096,0.6129686499480158,0.9217439293861389
0,base,institutional_labor_worker_1,individual,22,0.7096774193548387,0.49404197256080806,2.060781240463257
0,base,institutional_labor_worker_1,individual,23,0.7419354838709677,0.6417177710682154,2.559223175048828
0,base,institutional_labor_worker_1,individual,24,0.7741935483870968,0.4449023533379659,2.3948395252227783
0,base,institutional_labor_worker_1,individual,25,0.8064516129032258,0.47309474425856024,3.0317554473876953
0,base,institutional_labor_worker_1,individual,26,0.8387096774193549,0.278374808258377,3.001987934112549
0,base,institutional_labor_worker_1,individual,27,0.8709677419354839,0.7229628679342568,2.557799816131592
0,base,institutional_labor_worker_1,individual,28,0.9032258064516129,0.31454988109180704,1.7803022861480713
