text,n_fam,entropy,departed
She pressed her forehead against his and closed her,21,0.0077091129728797895,0.002322186201803163
She held his hand as the fireworks went,21,0.24117626846322135,0.00798773265257384
She sat beside him in the hospice and held his,21,0.4023278660820727,0.010321006089366088
She sat beside him in the garden and held his,21,0.5109161219078114,0.011316233798728955
He opened the book and began to,21,0.5187199350986392,0.014374707224204213
Once upon a time,21,0.5585746411226153,0.017818738177851155
The climber's rope snapped and she began to fall toward,21,0.5066295345716345,0.017940086584401937
The waiter brought the check and he reached for his,21,0.4118909184230522,0.029607382037872387
She loaded the camera and pointed it at,21,1.6002684308063377,0.03303248512205961
He pressed his back against the wall and whispered,21,1.2047472690764687,0.03341973933535586
She opened the textbook and began to read about,21,1.1200880826427515,0.04028232176605102
He raised his fist to strike,21,1.6567090576328831,0.041041226085510765
He rested his feet on the table and muttered,21,1.3595099993364677,0.04222668416720887
He crossed the finish line first and screamed with,21,1.7132756793811212,0.042658717356926106
She pushed through the pain barrier and her vision blurred as,21,1.5413628451047714,0.04407906189648848
The weather was,21,3.414674859229354,0.04595834293516353
He looked at the birthday card and said oh,21,2.163455516013655,0.04638322164559921
She picked up the book and began to read about,21,1.299922552974456,0.047370117357096675
The building collapsed around her and she crawled through the,21,1.7181560864335859,0.04871238046306158
He raised his hand and waved at,21,1.7335752163963476,0.04892393413848872
She collapsed at the grave and screamed until her voice,21,2.0195420945900553,0.048973939081175505
Their eyes met across the crowded room and she felt her heart,21,2.415943819556467,0.051081824484696614
He looked at the parking ticket and said oh,21,2.048487042770917,0.05150272348480489
By morning she had,21,3.4013991074535532,0.0524793817663233
He pulled the trigger and watched the man,21,2.030008643039868,0.05420202397415326
The rope snapped and he plummeted toward the,21,2.282699493187656,0.05462577926985675
He felt a deep sense of,21,3.3594560675338845,0.05541669860464707
She reached out and,21,2.8841435184193163,0.05574806058188927
He fell to his knees on the hospital floor and sobbed until,21,1.6720556069760162,0.05576212467577233
He cornered her in the hallway and raised his fist to,21,1.8288614937391832,0.05651329054429503
He stubbed his toe on the table and muttered,21,1.3589261090172435,0.05681398608055638
The plumber looked at the new faucet and said well,21,2.339951290622295,0.056881249710469484
The committee decided to postpone the vote until,21,2.6696728025249334,0.05729129900297843
He walked through the park and sat down on the,21,1.5523026270395552,0.058048309946281344
She collapsed at the finish line after the marathon and,21,2.4606894321367676,0.05823316975525219
The plumber looked at the burst pipe and said well,21,2.2613472070589293,0.059693916312327316
She unbuttoned her coat and,21,3.4644973615291583,0.06073432760413276
He stood at the edge of the roof and looked,21,1.5755652571465402,0.06106953202629366
He pulled the trigger and watched the clay,21,2.05665203044217,0.06113221325907114
He grabbed her by the hand and led her toward the,21,2.868255867908025,0.062158915667598756
The recipe calls for two cups of,21,3.2183612701524495,0.062331478743863654
She knelt down and,21,3.5513020008668095,0.06420018597513619
He stood on the stage as the audience rose to their feet and,21,2.355873681786797,0.0643024712340917
The note on the door said I'll miss you if you,21,1.952608167614156,0.06449750046718643
The car swerved off the road and rolled into the,21,2.2217044974716478,0.06462728583656334
She aimed the gun at his chest and,21,2.144113647818987,0.06502911129691072
He was captive and chose to,21,3.0266867235079102,0.06552575133036061
He stood at the edge of the field and looked,21,2.1592515270318637,0.06669871209664129
He raised his hand to wave,21,2.13872009277789,0.06703979082578855
She ran over and,21,3.3184752343065584,0.0675504676649564
She stirred the soup and tasted it before adding more,21,1.8569002045547078,0.06884824894031523
The runner was so exhausted he wanted to,21,2.795680238379896,0.06955916462566195
She opened the letter and burst into tears when she saw,21,1.5603888834587296,0.06975676843842207
She held him in her arms as he sobbed and whispered,21,2.0673431325571263,0.06984211823814002
She poured the vodka into a glass and drank it,21,1.7171240007171957,0.0701166804188201
The capital of France is,21,1.44183495172617,0.07143649606618135
He wrapped his hands around her shoulders and,21,2.8920550716706783,0.0721477878757923
The child was so bored she wanted to,21,2.9627359075005053,0.07233058497193959
She woke up tangled in the sheets with the cat beside her and,21,2.418611605445749,0.07353206931134901
She slowly unzipped the suitcase and,21,3.1368515724238417,0.07468249978249972
He leaned her against the wall and,21,3.485103946645176,0.0763446067736118
She tore at her own hair and wailed as they carried the body,21,1.9608719116719073,0.07731376495766482
She poured the juice into a glass and drank it,21,1.6066482360812142,0.07873053907140248
She let the bag drop to the floor and,21,3.5978115142722515,0.07877487117117017
She aimed the camera at his chest and,21,3.06641649698767,0.0788834859163693
He pulled her into a hug and,21,2.735535544163035,0.0798756997186093
He wrapped his hands around her throat and,21,2.654579813842479,0.07991166798156588
He kissed her cheek and moved his hand to her,21,2.6920680602546088,0.0801500241500798
She pulled him into the kitchen and,21,3.445313636639968,0.08016397703398556
She slid her hand under the pillow and,21,2.882187947603204,0.08058947194910873
His fingers traced down the page and along the,21,2.713985725170325,0.08066680826874584
She walked into the room and,21,3.3185525029150504,0.08203781016137736
He carried her across the threshold and she laughed as he,21,3.461516639259741,0.08218368659883861
He ran his hand slowly down the railing and,21,3.4846316137514166,0.08230233403791251
The weather forecast for tomorrow is,21,2.8750110231684864,0.08305098142149689
He pulled her closer until their shoulders touched and,21,2.6454236148300914,0.08401993284140352
She picked up the bat and tossed it to his,21,2.683787838402725,0.08475296492005777
They passed the pipe around the circle and,21,3.1288923184996533,0.0857965384611921
The widow was so bereft she wanted to,21,2.985245327758399,0.08596917372078323
The house was warm and quiet and she needed to,21,2.985569219652798,0.08659436152782388
He looked at the menu with hunger in his eyes and,21,3.1200783928216604,0.08714183919256822
The train arrived at the station and,21,2.4702300565941413,0.0876184166032122
He helped the boy to the ground and,21,3.52875554102576,0.08891745778454649
The widow was so relieved she wanted to,21,3.0473994112548644,0.08953994395300745
He was afraid and wanted to,21,3.047533198195856,0.08979966320389665
He traced circles on the foggy window as she,21,3.35396890995445,0.08996885279185449
He rolled the joint and lit it before,21,3.040622926753829,0.08999807292183669
She reached for the cup and,21,3.08554450230387,0.09019809385014006
The man met her in the alley and,21,3.2714502060726396,0.09031073265333772
The scream that came out of her when she heard the news was,21,3.1808188687661523,0.09044608083265579
She injected herself in the arm and felt a sudden,21,2.593542482888452,0.09063276561550154
She walked through the garden and decided to,21,3.2559056735850045,0.09075704770424012
They passed the guitar around the circle and,21,2.9093964775601875,0.09111397667706152
His hands found their way under the table and,21,3.2907361692352572,0.09187475316531282
The soldier fired his rifle at the enemy and,21,2.915570644141515,0.0934791222387289
She was afraid and wanted to,21,3.0049283087839105,0.09354051429835945
The child was so excited she wanted to,21,3.321704742296556,0.09512293128737948
She held his hand as the machines went,21,2.520435619798777,0.09529175192135936
He rolled the newspaper and lit the fire before,21,3.1609073778775185,0.09858046194422773
She sprinted the final hundred meters and her legs burned as she,21,3.099150192771708,0.09977623686657075
He looked out the window and wanted to,21,3.20002994575139,0.09993707759051884
They were alone in the waiting room and she began to,21,2.951831894839128,0.1005057282133725
To make a good risotto you should first,21,3.13061143061004,0.10087171559970112
She straddled the bench at the park and,21,3.5098553177004526,0.10239940291055949
He walked into the library and asked for a book about,21,1.886729772303672,0.10262212375282391
She scratched herself on the arm and felt a sudden,21,2.88999426546353,0.10296966610878426
He crushed the garlic and sprinkled it on the,21,3.145754213421673,0.10431980559019065
The teacher stood at the front and started to,21,2.7465992175577494,0.10511996851015215
She packed up his room for the last time before moving and,21,3.441478586134285,0.10537571962738575
He felt the adrenaline surge as the rollercoaster dropped and,21,2.7518956928884504,0.10733261097825947
He tugged at the strap of his bag and,21,3.6703140228882347,0.10777544082658651
He watched her step out of the car and,21,3.454166465210232,0.10849401628782682
He held the dying child and felt something inside him,21,2.6520052955199516,0.10919787498231148
The soldier fired his rifle at the target and,21,2.7929363449612263,0.11034392777038982
The wolf lunged at the fence and sank its teeth into the,21,2.287879821028845,0.11117062336779587
The flood swept through the village and she clung to the,21,2.997966808764815,0.11124483070582117
The fire engulfed the house and he ran screaming through the,21,2.5120637094092197,0.11145700168106251
She picked up the phone and chose to,21,2.7622525770802926,0.11271046434293405
He dove into the flooding river to reach the,21,2.775019775966288,0.11787840804120103
The linebacker hit him full force and he felt his ribs,21,2.2358967336498443,0.11940185969792994
The runner was so fresh he wanted to,21,3.223617113900131,0.11962755747888411
He cornered her in the hallway and raised his voice to,21,2.5400257837675735,0.12148042696136077
She sprinted through the burning building and grabbed the child before,21,2.415352604822729,0.12561261018162387
He crushed the pill and snorted it off the,21,2.6829461075646694,0.12680210269368938
He lay on top of the covers and,21,2.9679319104784128,0.13002541305556414
