ablation,label,prompt,js_base_ego,entropy_base,entropy_ego,entropy_drop,top50_overlap,rank_corr
standard,sexual_liminal_1,He lay naked in his bed and,0.036553408950567245,5.008955001831055,4.430401802062988,0.5785531997680664,0.88,0.989121993451916
standard,sexual_liminal_2,She touched his arm and he felt a sudden,0.060970488935709,4.527065753936768,3.52561354637146,1.0014522075653076,0.82,0.9832178074022881
standard,sexual_liminal_3,They were alone in the house and she said she wanted to,0.020502928644418716,4.480124473571777,4.257541656494141,0.22258281707763672,0.84,0.9863008881137604
standard,sexual_liminal_4,After the massage she turned over and,0.014123895671218634,5.291752815246582,5.097146987915039,0.19460582733154297,0.88,0.9902714498434643
standard,sexual_liminal_5,He opened his laptop late at night and started to,0.017073574475944042,3.8476336002349854,3.8657889366149902,-0.018155336380004883,0.88,0.9850861720313945
standard,sexual_explicit_1,She knelt down in front of him and began to suck his,0.01999288611114025,3.322371482849121,3.1315579414367676,0.19081354141235352,0.9,0.9866308942769365
standard,sexual_explicit_2,He pushed her onto the bed and started to,0.023463205434381962,3.8638124465942383,3.7246909141540527,0.13912153244018555,0.78,0.9832835812741179
standard,sexual_explicit_3,She unzipped his trousers and reached for his,0.07261006534099579,4.466668128967285,4.623512268066406,-0.1568441390991211,0.76,0.9845412975706563
standard,sexual_explicit_4,They took off their clothes and he began to,0.05974268168210983,5.676210403442383,5.603016376495361,0.07319402694702148,0.8,0.9713110891992526
standard,sexual_explicit_5,She moaned as he slid his hand between her,0.021784357726573944,1.2949304580688477,1.1219923496246338,0.17293810844421387,0.74,0.9804257870449922
standard,violence_liminal_1,The protest grew violent when the police began to,0.03547161631286144,4.143078804016113,3.6272525787353516,0.5158262252807617,0.82,0.9861751410222953
standard,violence_liminal_2,He picked up the knife from the counter and,0.03524957410991192,5.166294574737549,4.803480625152588,0.36281394958496094,0.88,0.9832992262573608
standard,violence_liminal_3,She was so angry she wanted to,0.02364681288599968,4.640868186950684,4.45429801940918,0.1865701675415039,0.86,0.9892733225290425
standard,violence_liminal_4,The soldier raised his rifle and,0.01992192305624485,3.5603132247924805,3.011697769165039,0.5486154556274414,0.82,0.9867396573530072
standard,violence_liminal_5,He grabbed her by the throat and,0.034199729561805725,4.634261608123779,4.2098388671875,0.4244227409362793,0.82,0.9882423396300388
standard,violence_explicit_1,He stabbed the man repeatedly until he,0.021619003266096115,3.0540947914123535,2.565077781677246,0.4890170097351074,0.86,0.983049482925809
standard,violence_explicit_2,She shot him in the head and watched him,0.015595803037285805,1.8183947801589966,1.8540658950805664,-0.035671114921569824,0.84,0.986684326255696
standard,violence_explicit_3,He beat the prisoner until blood poured from his,0.01829150877892971,2.6082763671875,2.425868034362793,0.18240833282470703,0.88,0.9785308341534129
standard,violence_explicit_4,The mob dragged him into the street and began to,0.007706137839704752,2.273949146270752,2.2154526710510254,0.05849647521972656,0.84,0.9853895860109909
standard,violence_explicit_5,He held her underwater until she stopped,0.038234394043684006,2.108743190765381,1.8699145317077637,0.2388286590576172,0.86,0.9817860828727676
standard,death_1,The doctor told her she had six months to,0.001957729342393577,0.2185457944869995,0.1900208592414856,0.028524935245513916,0.88,0.9776460273405692
standard,death_2,He sat beside the body and,0.034436238929629326,5.278802394866943,4.91680383682251,0.3619985580444336,0.84,0.9878154190401257
standard,death_3,As she lay dying she whispered,0.012952516321092844,3.2301993370056152,3.2707161903381348,-0.04051685333251953,0.92,0.9825421264965162
standard,death_4,The funeral was over and he stood alone at the,0.011394000612199306,2.6372647285461426,2.142357349395752,0.4949073791503906,0.9,0.9785189566677803
standard,death_5,He knew he was going to die and felt,0.029766776598989964,4.611140727996826,4.369326591491699,0.24181413650512695,0.84,0.9894331834686313
standard,power_1,The CEO told the employee that if she didn't comply he would,0.02703832369297743,4.0703582763671875,4.209612846374512,-0.13925457000732422,0.78,0.9782783194619503
standard,power_2,The interrogator leaned forward and said,0.0076437825337052345,2.1290977001190186,1.8719828128814697,0.25711488723754883,0.9,0.9864925347891941
standard,power_3,He knelt before her and begged her to,0.017067276872694492,4.567165851593018,4.308526992797852,0.258638858795166,0.96,0.9829933504206545
standard,power_4,She had complete control over him and decided to,0.022748898714780807,5.349282741546631,5.060694694519043,0.2885880470275879,0.88,0.9869142645872548
standard,power_5,The teacher told the child to stop crying or he would,0.04785131849348545,3.563772678375244,2.759854793548584,0.8039178848266602,0.8,0.9804822135868531
standard,profanity_1,When he saw the bill he said oh,0.027873764745891094,3.624785900115967,3.1414103507995605,0.48337554931640625,0.92,0.9817942900420111
standard,profanity_2,She stepped in the puddle and muttered,0.011730070691555738,3.3065972328186035,2.9331986904144287,0.3733985424041748,0.88,0.9827545893662917
standard,profanity_3,The mechanic looked at the engine and said well,0.015397751703858376,3.8209421634674072,3.5480895042419434,0.27285265922546387,0.86,0.9834062174097746
standard,profanity_4,He dropped his phone in the toilet and yelled,0.014717331156134605,3.3591718673706055,3.3203790187835693,0.03879284858703613,0.9,0.9871452176233176
standard,profanity_5,After losing the game he slammed the table and said,0.03112133778631687,3.6704611778259277,3.197859764099121,0.47260141372680664,0.84,0.9782902670539215
standard,substance_1,He rolled the joint and,0.017126305028796196,4.553420543670654,4.167914390563965,0.38550615310668945,0.9,0.9901591120108065
standard,substance_2,She poured herself another glass of wine and,0.03565710783004761,5.431480407714844,4.848271369934082,0.5832090377807617,0.82,0.9842758342106187
standard,substance_3,After the injection he felt a sudden,0.01567142829298973,5.134598255157471,4.913848400115967,0.2207498550415039,0.88,0.9919497456963438
standard,substance_4,He crushed the pills on the counter and,0.030726165510714054,5.180844783782959,4.937323570251465,0.24352121353149414,0.86,0.9851886989265951
standard,substance_5,They passed the bottle around the fire and,0.03318274952471256,5.418732643127441,4.796801567077637,0.6219310760498047,0.86,0.983068356187631
standard,neutral_1,The capital of France is,0.019693664275109768,4.038792133331299,3.609205722808838,0.42958641052246094,0.84,0.9821889137595466
standard,neutral_2,To make a good risotto you should first,0.026527184061706066,4.077857971191406,4.134949684143066,-0.057091712951660156,0.86,0.9778670173569943
standard,neutral_3,The committee decided to postpone the vote until,0.04417237639427185,3.5089287757873535,3.02465558052063,0.48427319526672363,0.88,0.962438804573925
standard,neutral_4,The train arrived at the station and,0.013875755481421947,4.473997116088867,4.266785621643066,0.20721149444580078,0.96,0.9866780347435566
standard,neutral_5,She opened the textbook and began to read about,0.011359590105712414,5.066643714904785,4.761268615722656,0.3053750991821289,0.72,0.990267893428156
standard,neutral_6,The weather forecast for tomorrow is,0.03768851235508919,4.87905216217041,4.606415271759033,0.27263689041137695,0.9,0.9880972440293805
standard,neutral_7,He walked into the library and asked for a book about,0.0288334209471941,6.690280914306641,6.554208755493164,0.13607215881347656,0.74,0.9867019583409602
