corpus,floor,k,threshold,power,power_lower95,power_upper95
hh_rlhf,p50,1,0.0481,0.99966,0.99932,0.99985
hh_rlhf,p50,2,0.0481,0.98587,0.97911,0.99173
hh_rlhf,p50,3,0.0481,0.80389,0.76437,0.8486
hh_rlhf,p55,1,0.0555,0.9995,0.9988,0.99978
hh_rlhf,p55,2,0.0555,0.98195,0.96787,0.98936
hh_rlhf,p55,3,0.0555,0.77961,0.71163,0.8289
hh_rlhf,p60,1,0.0625,0.99923,0.99814,0.99964
hh_rlhf,p60,2,0.0625,0.97613,0.95772,0.98516
hh_rlhf,p60,3,0.0625,0.74882,0.6733,0.79841
hh_rlhf,p65,1,0.0701,0.99869,0.99729,0.99933
hh_rlhf,p65,2,0.0701,0.9664,0.94703,0.9779
hh_rlhf,p65,3,0.0701,0.70498,0.63736,0.75792
hh_rlhf,p70,1,0.0812,0.9979,0.99624,0.99888
hh_rlhf,p70,2,0.0812,0.95436,0.93546,0.97002
hh_rlhf,p70,3,0.0812,0.66096,0.6036,0.72105
hh_rlhf,p75,1,0.0903,0.99661,0.99303,0.99846
hh_rlhf,p75,2,0.0903,0.93855,0.90514,0.96294
hh_rlhf,p75,3,0.0903,0.61251,0.53019,0.69167
hh_rlhf,p80,1,0.1057,0.99261,0.98751,0.99627
hh_rlhf,p80,2,0.1057,0.90027,0.8641,0.93514
hh_rlhf,p80,3,0.1057,0.52112,0.45362,0.60362
hh_rlhf,p85,1,0.119,0.98629,0.97845,0.99164
hh_rlhf,p85,2,0.119,0.8548,0.81129,0.89222
hh_rlhf,p85,3,0.119,0.43916,0.37724,0.50448
hh_rlhf,p90,1,0.1415,0.96179,0.9337,0.97574
hh_rlhf,p90,2,0.1415,0.73489,0.64136,0.79604
hh_rlhf,p90,3,0.1415,0.29059,0.21139,0.35783
hh_rlhf,p95,1,0.177,0.84882,0.77284,0.89957
hh_rlhf,p95,2,0.177,0.45046,0.3372,0.55317
hh_rlhf,p95,3,0.177,0.1018,0.05925,0.15368
pku_saferlhf,p50,1,0.1351,0.99762,0.99525,0.99884
pku_saferlhf,p50,2,0.1351,0.95079,0.92439,0.96915
pku_saferlhf,p50,3,0.1351,0.64943,0.57477,0.7158
pku_saferlhf,p55,1,0.1541,0.99567,0.9909,0.99794
pku_saferlhf,p55,2,0.1541,0.92885,0.88769,0.95558
pku_saferlhf,p55,3,0.1541,0.5864,0.4962,0.66458
pku_saferlhf,p60,1,0.1846,0.99314,0.98796,0.99608
pku_saferlhf,p60,2,0.1846,0.90487,0.86614,0.93385
pku_saferlhf,p60,3,0.1846,0.53025,0.45712,0.59948
pku_saferlhf,p65,1,0.2114,0.99003,0.98163,0.99475
pku_saferlhf,p65,2,0.2114,0.88053,0.82727,0.91981
pku_saferlhf,p65,3,0.2114,0.48245,0.3984,0.56417
pku_saferlhf,p70,1,0.2397,0.98542,0.97606,0.99059
pku_saferlhf,p70,2,0.2397,0.84984,0.79907,0.88585
pku_saferlhf,p70,3,0.2397,0.43097,0.36028,0.4917
pku_saferlhf,p75,1,0.2657,0.97893,0.96417,0.98706
pku_saferlhf,p75,2,0.2657,0.81324,0.74655,0.86069
pku_saferlhf,p75,3,0.2657,0.37898,0.30209,0.44874
pku_saferlhf,p80,1,0.3074,0.95652,0.93468,0.97961
pku_saferlhf,p80,2,0.3074,0.71638,0.64381,0.81673
pku_saferlhf,p80,3,0.3074,0.27305,0.21249,0.38367
pku_saferlhf,p85,1,0.3624,0.9087,0.87591,0.95099
pku_saferlhf,p85,2,0.3624,0.5744,0.50413,0.69614
pku_saferlhf,p85,3,0.3624,0.16632,0.12695,0.25494
pku_saferlhf,p90,1,0.4106,0.83817,0.75847,0.87968
pku_saferlhf,p90,2,0.4106,0.43313,0.31908,0.5084
pku_saferlhf,p90,3,0.4106,0.09439,0.05397,0.12954
pku_saferlhf,p95,1,0.5167,0.58038,0.49748,0.69243
pku_saferlhf,p95,2,0.5167,0.15795,0.10887,0.24826
pku_saferlhf,p95,3,0.5167,0.01584,0.00874,0.03428
