index,singular_value,var_pct,cumvar_pct
0,3989.9087,47.417854,47.417854
1,1622.5312,7.841554,55.259407
2,1114.2249,3.6979556,58.957367
3,856.82404,2.186751,61.14412
4,826.1608,2.0330365,63.177155
5,770.3257,1.7675219,64.94468
6,749.4049,1.6728195,66.6175
7,696.5407,1.445137,68.06263
8,653.16034,1.2707368,69.33337
9,635.4411,1.2027258,70.536095
10,609.73706,1.1073915,71.643486
11,603.78217,1.0858668,72.729355
12,569.8625,0.96728873,73.69664
13,556.2042,0.9214771,74.618126
14,549.05774,0.89794976,75.516075
15,531.1193,0.84023404,76.35631
16,526.6285,0.8260849,77.182396
17,513.31793,0.78485405,77.96725
18,507.47858,0.767099,78.73435
19,501.3404,0.7486544,79.483
20,490.25113,0.71590143,80.1989
21,480.5311,0.687795,80.886696
22,479.01373,0.68345815,81.57015
23,465.13312,0.64442223,82.21458
24,460.91507,0.6327874,82.84737
25,451.04474,0.60597575,83.45334
26,447.6841,0.59697944,84.05032
27,441.25543,0.5799575,84.63027
28,428.2186,0.5461942,85.176476
29,424.76578,0.5374215,85.71389
30,423.93826,0.5353296,86.24923
31,418.96692,0.522848,86.77208
32,415.72058,0.5147769,87.28685
33,405.94928,0.49086213,87.77772
34,404.39114,0.48710132,88.26482
35,400.40833,0.47755367,88.74236
36,391.0642,0.45552495,89.19789
37,386.2662,0.44441572,89.64231
38,384.1749,0.43961647,90.081924
39,379.79144,0.42964163,90.511566
40,373.18112,0.41481587,90.926384
41,370.96655,0.4099072,91.33629
42,365.5212,0.3979616,91.73425
43,363.25995,0.39305297,92.127304
44,362.90674,0.39228895,92.5196
45,358.97733,0.38383982,92.903435
46,353.76166,0.3727671,93.2762
47,350.2914,0.36548957,93.64169
48,346.7656,0.35816902,93.99986
49,344.43036,0.3533612,94.353226
50,340.09207,0.3445157,94.69774
51,337.93103,0.3401513,95.03789
52,335.1572,0.3345901,95.37248
53,329.5606,0.32350916,95.695984
54,327.60638,0.31968388,96.01567
55,324.72858,0.3140921,96.32976
56,324.09583,0.31286925,96.64263
57,318.7144,0.30256546,96.94519
58,314.83118,0.29523748,97.24043
59,313.50574,0.2927568,97.53319
60,310.5339,0.28723282,97.82042
61,297.7453,0.26406196,98.08448
62,292.64877,0.2550994,98.339584
63,287.07028,0.24546665,98.58505
64,283.8597,0.24000679,98.82506
65,278.36563,0.23080607,99.05586
66,268.52988,0.21478367,99.270645
67,262.70023,0.2055592,99.476204
68,251.75905,0.18879312,99.665
69,243.35706,0.17640215,99.8414
70,230.75543,0.1586061,100.000015
