subset,total,narrow_labor,narrow_labor_pct,broad_labor,broad_labor_pct,safety,safety_pct,sexual,sexual_pct
Pile-CC,29851,2089,6.998090516230612,5064,16.96425580382567,3910,13.098388663696358,2337,7.828883454490637
StackExchange,16624,216,1.2993262752646775,640,3.849855630413859,225,1.3534648700673726,611,3.675409047160731
PubMed Abstracts,16448,76,0.46206225680933855,313,1.9029669260700388,1045,6.3533560311284045,706,4.292315175097277
Github,10248,168,1.639344262295082,332,3.239656518345043,160,1.56128024980484,489,4.771662763466042
Wikipedia (en),9480,804,8.481012658227847,1285,13.554852320675106,581,6.128691983122363,522,5.506329113924051
USPTO Backgrounds,6360,92,1.4465408805031448,332,5.220125786163522,322,5.062893081761007,100,1.5723270440251573
PubMed Central,3165,209,6.60347551342812,631,19.93680884676145,891,28.151658767772513,891,28.151658767772513
FreeLaw,2861,429,14.994757077944776,1013,35.40720027962251,1028,35.93149248514506,526,18.385180006990563
ArXiv,1314,227,17.275494672754945,453,34.47488584474886,92,7.00152207001522,560,42.6179604261796
NIH ExPorter,1053,4,0.3798670465337132,18,1.7094017094017095,128,12.155745489078823,43,4.083570750237417
DM Mathematics,1047,0,0.0,0,0.0,0,0.0,0,0.0
HackerNews,845,47,5.562130177514793,147,17.39644970414201,81,9.585798816568047,75,8.875739644970414
Enron Emails,534,6,1.1235955056179776,35,6.5543071161048685,6,1.1235955056179776,2,0.37453183520599254
EuroParl,68,14,20.588235294117645,16,23.52941176470588,8,11.76470588235294,19,27.941176470588236
PhilPapers,44,5,11.363636363636363,18,40.909090909090914,14,31.818181818181817,27,61.36363636363637
Gutenberg (PG-19),43,33,76.74418604651163,41,95.34883720930233,37,86.04651162790698,33,76.74418604651163
Ubuntu IRC,15,2,13.333333333333334,3,20.0,6,40.0,7,46.666666666666664
