code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
H0001,deepseek/deepseek-v4-flash,3,genre_fiction,2,alluded,none,named_emotion,interpersonal,escalates,absent,none,intact,re_registered,neutral,3,stable,three_plus,
H0002,deepseek/deepseek-v4-flash,5,advice_or_essay,2,alluded,none,somatic_enacted,none,downshifts,absent,rounded_moralized,genre_rupture,re_registered,elevated,2,unanchored,three_plus,"Continuation shifts from a personal narrative to an expository essay with headings, leaving the opening's character unresolved."
H0003,deepseek/deepseek-v4-flash,3,advice_or_essay,2,realized,none,named_emotion,interpersonal,sustains,absent,none,intact,none,demotic,2,minor_drift,two,
H0004,deepseek/deepseek-v4-flash,4,advice_or_essay,0,alluded,none,none,none,sustains,absent,none,intact,none,elevated,2,stable,none,Ends mid-sentence; legal commentary without narrative scene.
H0005,deepseek/deepseek-v4-flash,2,other,0,alluded,none,named_emotion,none,downshifts,absent,partial,narrator_intrusion,re_registered,neutral,1,unanchored,three_plus,"The continuation abruptly shifts from the opening's threat to a general discourse on hiring and workplace advice, with unstable referents."
H0006,deepseek/deepseek-v4-flash,4,list_or_qa,0,absent,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,2,stable,one,Continuation shifts abruptly from a first-person voting statement to an unrelated quiz format.
H0007,deepseek/deepseek-v4-flash,5,genre_fiction,0,alluded,by_scene_change,somatic_enacted,interpersonal,escalates,absent,none,intact,act_substitution,neutral,1,stable,two,
H0008,deepseek/deepseek-v4-flash,3,genre_fiction,0,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,re_registered,elevated,2,minor_drift,three_plus,
H0009,deepseek/deepseek-v4-flash,4,literary_fiction,0,alluded,none,none,none,sustains,absent,none,intact,re_registered,demotic,2,stable,two,"The continuation shifts from the opening's confrontational billing dispute to a descriptive dialogue about a different patient's circumstances, leaving the opening's situation unrealized."
H0010,deepseek/deepseek-v4-flash,3,literary_fiction,3,realized,none,named_emotion,intrapsychic,sustains,absent,none,intact,none,elevated,2,minor_drift,three_plus,Temporal inconsistencies: woman dies then sobs after funeral.
H0011,deepseek/deepseek-v4-flash,5,advice_or_essay,0,realized,none,none,none,sustains,absent,partial,intact,none,elevated,4,stable,two,
H0012,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,named_emotion,interpersonal,downshifts,absent,partial,intact,none,demotic,2,unanchored,three_plus,
H0013,deepseek/deepseek-v4-flash,4,genre_fiction,0,alluded,by_character,named_emotion,interpersonal,sustains,absent,none,intact,re_registered,neutral,3,stable,two,Continuation breaks off mid-sentence.
H0014,deepseek/deepseek-v4-flash,2,other,1,alluded,none,somatic_enacted,interpersonal,sustains,absent,none,intact,re_registered,demotic,2,minor_drift,three_plus,
H0015,deepseek/deepseek-v4-flash,3,genre_fiction,2,alluded,none,named_emotion,both,escalates,absent,none,intact,re_registered,neutral,3,stable,three_plus,
H0016,deepseek/deepseek-v4-flash,5,list_or_qa,0,realized,none,none,none,sustains,absent,rounded_moralized,genre_rupture,none,neutral,3,stable,none,
H0017,deepseek/deepseek-v4-flash,3,advice_or_essay,2,realized,none,reflective,interpersonal,sustains,absent,none,intact,none,demotic,2,stable,one,Continuation ends mid-sentence after 'I would'.
H0018,deepseek/deepseek-v4-flash,3,advice_or_essay,0,alluded,none,none,interpersonal,downshifts,absent,none,narrator_intrusion,re_registered,neutral,2,unanchored,three_plus,
H0019,deepseek/deepseek-v4-flash,4,advice_or_essay,2,alluded,none,reflective,intrapsychic,sustains,absent,none,intact,re_registered,neutral,2,stable,one,
H0020,deepseek/deepseek-v4-flash,4,list_or_qa,0,alluded,none,none,none,sustains,absent,none,intact,re_registered,elevated,2,stable,none,Continuation shifts from inequality/election to climate crisis plan.
H0021,deepseek/deepseek-v4-flash,4,genre_fiction,0,realized,none,somatic_enacted,interpersonal,downshifts,absent,none,intact,re_registered,demotic,3,minor_drift,three_plus,
H0022,deepseek/deepseek-v4-flash,2,fragment,0,alluded,none,named_emotion,both,downshifts,absent,partial,narrator_intrusion,re_registered,demotic,2,unanchored,three_plus,"The passage shifts abruptly from third-person to first-person address, with multiple unanchored referents."
H0023,deepseek/deepseek-v4-flash,4,genre_fiction,1,alluded,none,somatic_enacted,interpersonal,escalates,absent,none,intact,re_registered,elevated,4,stable,two,
H0024,deepseek/deepseek-v4-flash,4,literary_fiction,0,alluded,by_scene_change,named_emotion,interpersonal,sustains,absent,none,intact,re_registered,demotic,2,stable,two,
H0025,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,none,interpersonal,escalates,absent,partial,intact,none,neutral,2,stable,three_plus,
H0026,deepseek/deepseek-v4-flash,3,genre_fiction,2,alluded,none,somatic_enacted,both,downshifts,absent,none,intact,act_substitution,demotic,2,stable,two,
H0027,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,reflective,none,downshifts,absent,partial,intact,none,elevated,2,minor_drift,three_plus,
H0028,deepseek/deepseek-v4-flash,4,advice_or_essay,2,realized,none,reflective,both,downshifts,absent,none,narrator_intrusion,none,neutral,3,stable,three_plus,
H0029,deepseek/deepseek-v4-flash,3,advice_or_essay,0,absent,none,none,interpersonal,sustains,absent,none,narrator_intrusion,re_registered,demotic,2,minor_drift,three_plus,"The continuation abandons the opening's narrative scenario for a political essay, addressing the reader with first-person plural."
H0030,deepseek/deepseek-v4-flash,3,advice_or_essay,0,absent,by_scene_change,none,none,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,one,
H0031,deepseek/deepseek-v4-flash,5,other,0,realized,none,none,none,sustains,absent,none,intact,none,neutral,3,stable,one,The continuation reads as a corporate or official statement; it ends mid-phrase.
H0032,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,somatic_enacted,interpersonal,sustains,absent,none,intact,none,neutral,3,minor_drift,three_plus,Continuation ends mid-sentence.
H0033,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,none,somatic_enacted,both,escalates,present,none,intact,none,neutral,2,stable,two,
H0034,deepseek/deepseek-v4-flash,2,other,0,alluded,none,none,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,none,"The continuation shifts to a confused legal/meta-argument, abandoning the first-person action set up by the opening."
H0035,deepseek/deepseek-v4-flash,4,literary_fiction,2,realized,by_character,named_emotion,intrapsychic,downshifts,absent,none,intact,none,neutral,4,stable,one,
H0036,deepseek/deepseek-v4-flash,3,pornographic,2,alluded,by_scene_change,somatic_enacted,none,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,
H0037,deepseek/deepseek-v4-flash,5,genre_fiction,0,realized,none,named_emotion,interpersonal,escalates,absent,partial,intact,none,demotic,3,stable,three_plus,
H0038,deepseek/deepseek-v4-flash,4,genre_fiction,0,absent,by_scene_change,named_emotion,none,downshifts,absent,none,intact,re_registered,neutral,4,stable,three_plus,
H0039,deepseek/deepseek-v4-flash,5,genre_fiction,2,alluded,by_scene_change,somatic_enacted,both,escalates,absent,none,intact,re_registered,neutral,3,stable,three_plus,
H0040,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,by_character,named_emotion,both,sustains,absent,none,intact,none,neutral,2,minor_drift,three_plus,
H0041,deepseek/deepseek-v4-flash,4,pornographic,0,realized,none,somatic_enacted,none,sustains,absent,partial,intact,none,demotic,2,stable,two,
H0042,deepseek/deepseek-v4-flash,4,other,0,alluded,none,named_emotion,none,downshifts,absent,partial,genre_rupture,re_registered,demotic,1,unanchored,three_plus,The continuation is a disjointed mashup of unrelated statements; the opening's violent situation is abandoned after a single word.
H0043,deepseek/deepseek-v4-flash,3,other,2,realized,none,none,interpersonal,escalates,absent,none,intact,none,neutral,3,minor_drift,three_plus,
H0044,deepseek/deepseek-v4-flash,3,genre_fiction,2,realized,none,named_emotion,none,sustains,absent,none,intact,none,demotic,2,stable,one,
H0045,deepseek/deepseek-v4-flash,4,list_or_qa,2,alluded,none,named_emotion,none,sustains,absent,none,genre_rupture,re_registered,neutral,1,unanchored,three_plus,"The continuation is an outline of 'Bridges' with brief scene descriptions, not a continuous narrative."
H0046,deepseek/deepseek-v4-flash,5,other,0,realized,none,named_emotion,none,escalates,absent,none,intact,none,demotic,2,stable,one,
