code,site_id,family,layer,pair,prompt_type,idx
Y0001,b41859148c92,qwen,aligned,neutral,N,1
Y0002,b8a9647dac0c,llama,base,create/destroy,B,1
Y0003,28bdd7bae4f2,qwen,aligned,human/animal,A,2
Y0004,c361fda4c42c,zephyr,base,love/hate,A,1
Y0005,7e43b585f0fb,zephyr,aligned,free/captive,AB,2
Y0006,07a75ea7b012,qwen,base,desire/disgust,A,2
Y0007,600ca77bd435,olmo-tiny,aligned,sacred/profane,B,1
Y0008,89bd4b3e8d0c,llama,aligned,beautiful/disgusting,A,1
Y0009,8b8af7b3562c,amber,base,trust/fear,B,2
Y0010,1503198dc241,zephyr,aligned,free/captive,B,0
Y0011,d34a3afe35d7,amber,aligned,human/animal,AB,2
Y0012,2f6bbf6b32be,zephyr,base,pleasure/pain,B,2
Y0013,a935848c6a9a,amber,aligned,free/captive,AB,2
Y0014,9656ad363bcc,olmo,aligned,free/captive,AB,1
Y0015,b732f9544383,olmo,base,sacred/profane,A,2
Y0016,ff3fff7b4f6c,olmo,aligned,human/animal,B,0
Y0017,9e1c11eaed25,tulu,base,man/woman,A,2
Y0018,4c39cfa6563b,tulu,base,create/destroy,AB,0
Y0019,86f0a977e397,olmo-tiny,aligned,love/hate,B,2
Y0020,342f9323fbda,olmo,aligned,love/hate,A,2
Y0021,433b49051f5a,llama,base,trust/fear,B,0
Y0022,728bba0215c5,tulu,aligned,neutral,N,2
Y0023,343d22692c60,amber,base,sacred/profane,A,1
Y0024,b88885f40da7,llama,base,obey/rebel,AB,0
Y0025,c48ddbb15c34,llama,aligned,create/destroy,A,1
Y0026,b12aec7d7591,amber,aligned,create/destroy,AB,1
Y0027,5d8e40fcc4a9,zephyr,base,neutral,N,2
Y0028,7d63e30fb141,qwen,base,free/captive,AB,1
Y0029,359dc9eac12f,tulu,base,pleasure/pain,B,1
Y0030,42d285323ff9,olmo-tiny,aligned,trust/fear,B,0
Y0031,c34ade0d8fe6,zephyr,aligned,pleasure/pain,AB,0
Y0032,cba31b5f2609,qwen,base,love/hate,AB,2
Y0033,97b9d04b0fcd,olmo,base,human/animal,AB,2
Y0034,9925681e905a,olmo-tiny,aligned,create/destroy,B,1
Y0035,3d386ad9d190,amber,base,human/animal,A,1
Y0036,f443d16b1e09,llama,aligned,human/animal,AB,2
Y0037,94c6497359b7,olmo-tiny,base,free/captive,AB,1
Y0038,d1ae831e0b06,olmo,base,create/destroy,AB,0
Y0039,5de357ad52bd,olmo-tiny,aligned,man/woman,A,2
Y0040,4e5e646f8445,amber,aligned,obey/rebel,B,1
Y0041,5b4f7a1c657f,olmo-tiny,base,neutral,N,2
Y0042,90ba74068537,qwen,base,love/hate,B,0
Y0043,165547952419,olmo-tiny,base,sacred/profane,B,1
Y0044,03cdee157c2d,qwen,base,desire/disgust,A,1
Y0045,90064ce9bc1f,llama,base,desire/disgust,B,2
Y0046,2f4f176adfe7,olmo-tiny,base,create/destroy,B,2
Y0047,0f7b6dab7c33,llama,aligned,neutral,N,1
Y0048,72840d38f6b8,amber,base,human/animal,AB,0
Y0049,bc230f277f60,olmo,base,free/captive,A,0
Y0050,3915ce434ffa,llama,base,human/animal,A,0
Y0051,6b0705887887,qwen,aligned,neutral,N,2
Y0052,fec310340234,olmo,base,neutral,N,1
Y0053,5fff0fc14cfd,qwen,aligned,man/woman,A,1
Y0054,ec6aacc399d1,llama,aligned,pleasure/pain,B,1
Y0055,564c96a3c295,zephyr,base,beautiful/disgusting,AB,2
Y0056,0758691c70d1,zephyr,aligned,trust/fear,AB,0
Y0057,aaa3ed7ddad8,olmo,base,man/woman,A,2
Y0058,6c852bd088b3,olmo-tiny,aligned,pleasure/pain,AB,1
Y0059,a5e568407ab5,olmo,aligned,sacred/profane,B,2
Y0060,3d3be4e31548,tulu,base,love/hate,AB,1
Y0061,082a6f65f989,olmo-tiny,base,neutral,N,0
Y0062,c2f43f7b19e3,amber,aligned,neutral,N,0
Y0063,3674d0bfe5a7,olmo-tiny,aligned,love/hate,B,1
Y0064,d18c6af21c14,tulu,aligned,trust/fear,B,0
Y0065,2fa8c2d260a4,olmo,base,love/hate,B,0
Y0066,7e69a340288e,llama,aligned,human/animal,A,2
Y0067,7cfd30c1c5b1,llama,aligned,create/destroy,A,2
Y0068,521f903a7caa,qwen,aligned,sacred/profane,A,0
Y0069,35008fab6269,olmo-tiny,aligned,pleasure/pain,AB,2
Y0070,c48c896f593d,zephyr,aligned,desire/disgust,AB,2
Y0071,80c57e84b4cd,olmo-tiny,base,free/captive,AB,2
Y0072,2b4652229393,tulu,base,neutral,N,0
Y0073,0d7ab0a50ed0,qwen,aligned,human/animal,A,1
Y0074,bb2dbde86b0a,amber,aligned,neutral,N,1
Y0075,0b91a8066b89,qwen,aligned,free/captive,B,1
Y0076,e8ccdd5a6d37,llama,aligned,free/captive,A,0
Y0077,feed6fa5d96b,olmo,base,trust/fear,A,1
Y0078,990435b63ba4,amber,base,pleasure/pain,AB,0
Y0079,52c8d74903d1,amber,base,neutral,N,0
Y0080,3229818d67fd,tulu,base,neutral,N,2
Y0081,2d32884c2630,llama,base,desire/disgust,A,0
Y0082,72bbaafb95f0,qwen,base,human/animal,AB,0
Y0083,c2d60c4af84f,tulu,aligned,beautiful/disgusting,B,1
Y0084,d6ef0c937b8c,amber,aligned,trust/fear,A,1
Y0085,82c4233d07c4,zephyr,base,desire/disgust,AB,1
Y0086,e33784f47221,olmo,aligned,create/destroy,B,2
Y0087,16b63330de98,zephyr,base,obey/rebel,A,1
Y0088,539623ecdb10,tulu,base,trust/fear,A,2
Y0089,8d0f2147a1b5,olmo,aligned,free/captive,A,0
Y0090,0a36eb7cc988,zephyr,base,love/hate,AB,2
Y0091,638b756e018f,olmo,aligned,pleasure/pain,B,2
Y0092,40c29cf66568,amber,base,neutral,N,1
Y0093,8d21377c46c9,qwen,base,neutral,N,1
Y0094,97f2000319a1,llama,base,neutral,N,0
Y0095,8d80609bd54f,olmo-tiny,aligned,man/woman,B,2
Y0096,7928efe45e8d,amber,base,neutral,N,0
Y0097,e6f47b5de996,olmo-tiny,aligned,neutral,N,2
Y0098,06d2e35d634c,amber,base,man/woman,B,0
Y0099,529c12a2eb7c,olmo,base,beautiful/disgusting,B,1
Y0100,e1ff0b6daea6,qwen,base,free/captive,B,0
Y0101,97ee4b4d3743,olmo-tiny,aligned,obey/rebel,AB,0
Y0102,21474f255598,amber,base,create/destroy,B,0
Y0103,4728803c6a7b,tulu,aligned,neutral,N,2
Y0104,01c36c93bb96,amber,aligned,sacred/profane,AB,1
Y0105,366b1cd8c909,olmo-tiny,aligned,love/hate,B,0
Y0106,527d228dd6c3,qwen,base,love/hate,A,2
Y0107,b7af25ee6d67,amber,aligned,trust/fear,A,2
Y0108,20dd7703e72c,qwen,aligned,beautiful/disgusting,AB,0
Y0109,021821f5e1bd,olmo-tiny,aligned,pleasure/pain,AB,0
Y0110,d20b6a368fdb,tulu,aligned,pleasure/pain,B,0
Y0111,adf666c0a552,qwen,base,man/woman,AB,2
Y0112,dbd091058060,llama,base,obey/rebel,B,0
Y0113,4755ac3a89db,olmo-tiny,base,neutral,N,0
Y0114,f755e5ccc4d8,qwen,aligned,neutral,N,1
Y0115,1e7b694c8248,tulu,base,create/destroy,B,2
Y0116,8edcccd6b946,qwen,base,create/destroy,B,0
Y0117,a8565d5606a8,olmo-tiny,aligned,beautiful/disgusting,AB,1
Y0118,ce55d2508bec,olmo,aligned,desire/disgust,A,1
Y0119,ffd56be765b2,qwen,aligned,obey/rebel,A,1
Y0120,f252492c888a,zephyr,aligned,obey/rebel,AB,2
Y0121,1fffe35a0ce5,olmo-tiny,aligned,pleasure/pain,A,2
Y0122,ef9faaf4c9a0,olmo-tiny,base,trust/fear,B,2
Y0123,7b1cd594a319,qwen,base,obey/rebel,B,0
Y0124,7bde97734230,olmo,base,sacred/profane,AB,2
Y0125,101b3a27d212,amber,base,trust/fear,AB,1
Y0126,0c89bda19b68,olmo-tiny,aligned,love/hate,A,2
Y0127,fba36c15ed36,olmo-tiny,base,trust/fear,AB,1
Y0128,6cd8041f86dd,olmo,base,sacred/profane,AB,1
Y0129,5d10c088a33e,amber,base,love/hate,B,0
Y0130,beae75beb1e6,llama,base,human/animal,B,2
Y0131,61d3873ffacd,amber,base,man/woman,AB,2
Y0132,d574d011d9eb,tulu,base,man/woman,AB,0
Y0133,48c2a87ea640,olmo,aligned,obey/rebel,AB,1
Y0134,0dc5d6b8567f,tulu,base,free/captive,B,1
Y0135,9d92682e5981,olmo,base,obey/rebel,B,1
Y0136,2623a46d0e5d,llama,aligned,pleasure/pain,B,2
Y0137,ffbc2244d8f5,llama,aligned,trust/fear,A,1
Y0138,7be13218921b,olmo,aligned,man/woman,A,1
Y0139,96a790c15adf,qwen,base,love/hate,AB,1
Y0140,2205f240c66a,tulu,aligned,beautiful/disgusting,A,1
Y0141,8f3922bc4fa7,olmo-tiny,base,obey/rebel,AB,2
Y0142,31bf7371a16f,amber,aligned,man/woman,B,0
Y0143,6549fc0e23c1,llama,base,obey/rebel,A,1
Y0144,72cc40165b1e,amber,aligned,love/hate,A,0
Y0145,70419a1e7ccb,amber,base,beautiful/disgusting,AB,1
Y0146,5e9f30ed23c2,olmo,aligned,man/woman,AB,0
Y0147,a7d05278e08c,qwen,base,sacred/profane,A,0
Y0148,6f9a80c610f3,olmo-tiny,aligned,create/destroy,AB,0
Y0149,979ba9993c65,llama,aligned,free/captive,AB,1
Y0150,ebaf354d5cdd,tulu,aligned,free/captive,A,0
Y0151,e445856ea6c2,zephyr,base,trust/fear,B,0
Y0152,5c7dcaebd592,zephyr,base,sacred/profane,B,1
Y0153,4eaa0420b0f2,amber,aligned,human/animal,AB,0
Y0154,ea8e880fcb02,olmo,aligned,neutral,N,0
Y0155,ae55ad25c4f9,qwen,aligned,pleasure/pain,A,0
Y0156,23a64f0c92aa,qwen,aligned,man/woman,AB,1
Y0157,b15fee720ccd,qwen,aligned,obey/rebel,B,0
Y0158,23fdb9357d8f,olmo-tiny,base,pleasure/pain,AB,1
Y0159,b51eccbc4db5,olmo-tiny,base,desire/disgust,B,0
Y0160,ac8c358b5dff,olmo-tiny,base,human/animal,B,1
Y0161,824b3ebc7d20,zephyr,aligned,sacred/profane,AB,1
Y0162,ae10a214830e,qwen,aligned,beautiful/disgusting,B,0
Y0163,03701901d814,olmo-tiny,aligned,sacred/profane,A,0
Y0164,cd8abe80a0e1,amber,aligned,love/hate,B,0
Y0165,622ba972fd23,tulu,aligned,pleasure/pain,B,2
Y0166,e25d0bec054b,olmo-tiny,base,love/hate,A,0
Y0167,5d85e02bab97,llama,aligned,desire/disgust,A,1
Y0168,c798014d67d8,olmo,aligned,sacred/profane,AB,0
Y0169,30adba8a53e7,qwen,aligned,neutral,N,0
Y0170,ad9fc7eca846,amber,base,neutral,N,2
Y0171,54ee699b6df1,tulu,base,free/captive,AB,2
Y0172,6b3fdd966862,olmo-tiny,base,free/captive,B,0
Y0173,e1eb312546fe,zephyr,base,neutral,N,0
Y0174,f4bc0310c88f,tulu,base,pleasure/pain,AB,1
Y0175,de358eda1403,llama,base,beautiful/disgusting,AB,2
Y0176,a3a26db74cc3,amber,base,desire/disgust,A,0
Y0177,214644665076,olmo-tiny,base,desire/disgust,A,2
Y0178,485fd2e460c2,amber,aligned,desire/disgust,A,0
Y0179,4b5bc6fe8ba0,qwen,base,pleasure/pain,B,0
Y0180,9e9070af2804,llama,base,man/woman,A,1
Y0181,e8fb3d3984c3,olmo-tiny,base,sacred/profane,A,1
Y0182,c79893fa1b47,llama,base,desire/disgust,B,0
Y0183,3a3bd1d57922,amber,base,man/woman,B,1
Y0184,9289ee13bdc7,tulu,base,obey/rebel,AB,2
Y0185,d3ffb463f46c,qwen,base,pleasure/pain,A,1
Y0186,132af9b47ff0,olmo,base,pleasure/pain,B,0
Y0187,dafccd01842a,zephyr,base,desire/disgust,B,0
Y0188,8caff2209c4b,qwen,base,sacred/profane,AB,2
Y0189,f27884d66436,olmo-tiny,base,create/destroy,A,1
Y0190,a18c7ae0ba03,amber,base,obey/rebel,A,2
Y0191,019c7c6fd051,tulu,base,human/animal,AB,1
