family,stage,model,word,layer,n_layers,layer_frac,prob
smol,base,HuggingFaceTB/SmolLM2-360M,punch,0,33,0.0,3.475380196960032e-07
smol,base,HuggingFaceTB/SmolLM2-360M,punch,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,punch,32,33,1.0,0.0191623773425817
smol,base,HuggingFaceTB/SmolLM2-360M,hit,0,33,0.0,2.8886652216897346e-06
smol,base,HuggingFaceTB/SmolLM2-360M,hit,1,33,0.03125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,2,33,0.0625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,3,33,0.09375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,4,33,0.125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,5,33,0.15625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,6,33,0.1875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,7,33,0.21875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,8,33,0.25,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,9,33,0.28125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,10,33,0.3125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,11,33,0.34375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,12,33,0.375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,13,33,0.40625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,14,33,0.4375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,15,33,0.46875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,16,33,0.5,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,17,33,0.53125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,18,33,0.5625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,19,33,0.59375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,20,33,0.625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,21,33,0.65625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,22,33,0.6875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,23,33,0.71875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,24,33,0.75,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,25,33,0.78125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,26,33,0.8125,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,27,33,0.84375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,28,33,0.875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,29,33,0.90625,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,30,33,0.9375,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,31,33,0.96875,0.0
smol,base,HuggingFaceTB/SmolLM2-360M,hit,32,33,1.0,0.0311036091297864
