family,pair,raw_ratio,template_ratio,delta
olmo,love/hate,0.9102039368180339,1.4575026590596665,0.5472987222416326
olmo,trust/fear,0.997815395226276,1.2817181822794121,0.2839027870531361
olmo,beautiful/disgusting,1.1186990392286111,0.5534463611794035,-0.5652526780492076
olmo,desire/disgust,0.9471048257942173,0.3431582393123954,-0.6039465864818219
olmo,obey/rebel,0.5645736153893207,0.7143234709075754,0.1497498555182547
olmo,sacred/profane,0.8040201327425966,0.5235642470037243,-0.28045588573887237
olmo,man/woman,1.0605589422317538,0.939969931324071,-0.12058901090768281
olmo,human/animal,0.7466286071051311,0.8419848977874314,0.09535629068230023
olmo,pleasure/pain,0.9425185603171308,0.812529610958057,-0.1299889493590738
olmo,create/destroy,0.9261838932918114,1.7510772043686775,0.8248933110768661
olmo,free/captive,1.0195167352443972,0.8292843475765376,-0.19023238766785966
llama,love/hate,0.951387409034889,0.9033881945000378,-0.04799921453485123
llama,trust/fear,1.5896715794008378,0.6742157638927709,-0.9154558155080669
llama,beautiful/disgusting,1.1453826430739067,1.616986953274919,0.47160431020101234
llama,desire/disgust,0.7681557365518884,0.7461105927773943,-0.02204514377449407
llama,obey/rebel,0.6900127040751005,2.002245808293616,1.3122331042185154
llama,sacred/profane,0.7605550889704856,0.9321184988045916,0.171563409834106
llama,man/woman,1.0096737946509124,1.0240415105638971,0.014367715912984691
llama,human/animal,0.7090328128222773,0.6558249739826295,-0.05320783883964775
llama,pleasure/pain,0.7834885980421882,0.9447174876119387,0.16122888956975057
llama,create/destroy,0.8602894986563387,0.9334502350365395,0.07316073638020071
llama,free/captive,0.8258629547272014,0.8746994968163633,0.04883654208916188
qwen,love/hate,0.8906400976180838,6.6914876468142905,5.800847549196207
qwen,trust/fear,0.958308457269449,1.0988570063196692,0.14054854905022018
qwen,beautiful/disgusting,0.7421195417943743,46.0189480398042,45.27682849800983
qwen,desire/disgust,0.7910247345754811,0.8602235074362894,0.06919877286080833
qwen,obey/rebel,0.5409040363647484,1.2519961977113774,0.711092161346629
qwen,sacred/profane,1.1246308526274518,1.0354937229340868,-0.08913712969336496
qwen,man/woman,1.0176677102170706,1.0001051171858824,-0.017562593031188234
qwen,human/animal,1.2005463333341948,0.8933781260076916,-0.3071682073265032
qwen,pleasure/pain,0.9499430266535391,1.7451631889575394,0.7952201623040003
qwen,create/destroy,1.2554158705914185,0.8355937092017632,-0.4198221613896552
qwen,free/captive,1.1167504422053889,0.9867703928406936,-0.12998004936469532
tulu,love/hate,0.9070071735690474,0.9291576984388331,0.022150524869785748
tulu,trust/fear,0.5695902725393355,0.8728067037040614,0.30321643116472596
tulu,beautiful/disgusting,1.0412148026966261,1.1242422466457629,0.08302744394913675
tulu,desire/disgust,1.3418323570605888,0.7192909030097527,-0.622541454050836
tulu,obey/rebel,0.7529064018194399,1.3870801233314074,0.6341737215119675
tulu,sacred/profane,0.9297527293975336,0.88743587311043,-0.04231685628710358
tulu,man/woman,1.121387051829685,0.9694617424509373,-0.1519253093787476
tulu,human/animal,1.1729766691469818,0.930258808079396,-0.24271786106758586
tulu,pleasure/pain,0.5608856457726932,1.02216740660314,0.4612817608304469
tulu,create/destroy,0.7710837710661784,1.1063964530411434,0.335312681974965
tulu,free/captive,1.1280702130030198,1.1390187165212018,0.010948503518181996
zephyr,love/hate,1.0115624808061445,1.0649616533820248,0.05339917257588023
zephyr,trust/fear,0.9060028111335889,0.7711374915702718,-0.13486531956331715
zephyr,beautiful/disgusting,1.5253517319881413,1.3492106237521215,-0.1761411082360198
zephyr,desire/disgust,0.9535018680011592,0.9652531846160478,0.011751316614888596
zephyr,obey/rebel,0.5267684996058438,0.8074991918213207,0.28073069221547686
zephyr,sacred/profane,0.994085782842942,1.0046030675123276,0.010517284669385618
zephyr,man/woman,1.0093416290822952,1.028904661346375,0.01956303226407985
zephyr,human/animal,0.8455557051892518,1.8497919819673148,1.0042362767780628
zephyr,pleasure/pain,0.9685667540409284,2.9587537733455043,1.9901870193045759
zephyr,create/destroy,1.2310734165410648,1.2522571554796678,0.021183738938602925
zephyr,free/captive,1.1010717999364736,0.9703816763288927,-0.13069012360758092
