model,group,role,candidate,filtered,tail,unresolved
01-ai/Yi-1.5-9B,f11_beauty,pole_a,0.8587685482468301,0.0,0.14122779125828772,0.14123145175316987
01-ai/Yi-1.5-9B,f11_beauty,pole_b,0.8544746574937123,0.0,0.14536668210811143,0.14552534250628768
01-ai/Yi-1.5-9B,f11_beauty,both,0.8587374283467621,0.0,0.14123140982495025,0.14126257165323786
01-ai/Yi-1.5-9B,f11_beauty,control_a,0.8486178343902931,0.0,0.15134757844782543,0.15138216560970685
01-ai/Yi-1.5-9B,f11_beauty,control_b,0.8485485461634308,0.0,0.1513034410309999,0.15145145383656922
01-ai/Yi-1.5-9B,f11_beauty_ugly,pole_a,0.8587685482468301,0.0,0.14122779125828772,0.14123145175316987
01-ai/Yi-1.5-9B,f11_beauty_ugly,pole_b,0.8348227280717557,0.0,0.1651526070539786,0.16517727192824427
01-ai/Yi-1.5-9B,f11_beauty_ugly,both,0.8479332358039942,0.0,0.15203206939299463,0.15206676419600584
01-ai/Yi-1.5-9B,f11_beauty_ugly,control_a,0.8486178343902931,0.0,0.15134757844782543,0.15138216560970685
01-ai/Yi-1.5-9B,f11_beauty_ugly,control_b,0.8326954221517979,0.0,0.16622981395720737,0.16730457784820207
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,pole_a,0.5677341019241039,0.0,0.4305908449132205,0.4322658980758961
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,pole_b,0.5797812447339845,0.0,0.41329057222899807,0.4202187552660155
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,both,0.5098306751618,0.0,0.48136528630568476,0.49016932483819997
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,control_a,0.5693963028043173,0.0,0.4175934290701221,0.4306036971956827
01-ai/Yi-1.5-9B,f11_beauty_ugly_zh,control_b,0.5153309116973386,0.0,0.46529980380964336,0.4846690883026614
01-ai/Yi-1.5-9B,f11_beauty_zh,pole_a,0.5677341019241039,0.0,0.4305908449132205,0.4322658980758961
01-ai/Yi-1.5-9B,f11_beauty_zh,pole_b,0.5806515139721662,0.0,0.4081151053373806,0.4193484860278338
01-ai/Yi-1.5-9B,f11_beauty_zh,both,0.5456409088728825,0.0,0.44651370810955776,0.4543590911271175
01-ai/Yi-1.5-9B,f11_beauty_zh,control_a,0.5693963028043173,0.0,0.4175934290701221,0.4306036971956827
