corpus,floor,k,threshold,false_cert,fc_upper95,power
hh_rlhf,p50,1,0.0481,0.5646,0.59054,1.0
hh_rlhf,p50,2,0.0481,0.14716,0.16463,0.986
hh_rlhf,p50,3,0.0481,0.01414,0.01707,0.804
hh_rlhf,p55,1,0.0555,0.50988,0.54123,0.999
hh_rlhf,p55,2,0.0555,0.11526,0.133,0.982
hh_rlhf,p55,3,0.0555,0.0095,0.01189,0.78
hh_rlhf,p60,1,0.0625,0.46622,0.49445,0.999
hh_rlhf,p60,2,0.0625,0.09347,0.10711,0.976
hh_rlhf,p60,3,0.0625,0.00677,0.00851,0.749
hh_rlhf,p65,1,0.0701,0.41394,0.45397,0.999
hh_rlhf,p65,2,0.0701,0.07113,0.08799,0.966
hh_rlhf,p65,3,0.0701,0.00436,,0.705
hh_rlhf,p70,1,0.0812,0.36675,0.39867,0.998
hh_rlhf,p70,2,0.0812,0.05424,0.06555,0.954
hh_rlhf,p70,3,0.0812,0.00286,,0.661
hh_rlhf,p75,1,0.0903,0.31057,0.34811,0.997
hh_rlhf,p75,2,0.0903,0.03755,0.04837,0.939
hh_rlhf,p75,3,0.0903,0.00163,,0.613
hh_rlhf,p80,1,0.1057,0.25111,0.28407,0.993
hh_rlhf,p80,2,0.1057,0.02373,0.03116,0.9
hh_rlhf,p80,3,0.1057,0.0008,,0.521
hh_rlhf,p85,1,0.119,0.19836,0.2279,0.986
hh_rlhf,p85,2,0.119,0.01443,0.01933,0.855
hh_rlhf,p85,3,0.119,0.00037,,0.439
hh_rlhf,p90,1,0.1415,0.14051,0.16633,0.962
hh_rlhf,p90,2,0.1415,0.007,0.00997,0.735
hh_rlhf,p90,3,0.1415,0.00012,,0.291
hh_rlhf,p95,1,0.177,0.07481,0.0916,0.849
hh_rlhf,p95,2,0.177,0.00192,,0.45
hh_rlhf,p95,3,0.177,2e-05,,0.102
pku_saferlhf,p50,1,0.1351,0.51778,0.55,0.998
pku_saferlhf,p50,2,0.1351,0.11958,0.13864,0.951
pku_saferlhf,p50,3,0.1351,0.01,0.01262,0.649
pku_saferlhf,p55,1,0.1541,0.47293,0.50965,0.996
pku_saferlhf,p55,2,0.1541,0.0965,0.11521,0.929
pku_saferlhf,p55,3,0.1541,0.00708,0.00943,0.586
pku_saferlhf,p60,1,0.1846,0.43329,0.47012,0.993
pku_saferlhf,p60,2,0.1846,0.07893,0.09523,0.905
pku_saferlhf,p60,3,0.1846,0.00508,0.00706,0.53
pku_saferlhf,p65,1,0.2114,0.38317,0.42325,0.99
pku_saferlhf,p65,2,0.2114,0.05975,0.07487,0.881
pku_saferlhf,p65,3,0.2114,0.00329,,0.482
pku_saferlhf,p70,1,0.2397,0.33617,0.3715,0.985
pku_saferlhf,p70,2,0.2397,0.04475,0.05606,0.85
pku_saferlhf,p70,3,0.2397,0.00208,,0.431
pku_saferlhf,p75,1,0.2657,0.28685,0.32442,0.979
pku_saferlhf,p75,2,0.2657,0.03174,0.04129,0.813
pku_saferlhf,p75,3,0.2657,0.00121,,0.379
pku_saferlhf,p80,1,0.3074,0.23846,0.27434,0.957
pku_saferlhf,p80,2,0.3074,0.02142,0.02874,0.716
pku_saferlhf,p80,3,0.3074,0.00064,,0.273
pku_saferlhf,p85,1,0.3624,0.17763,0.2101,0.909
pku_saferlhf,p85,2,0.3624,0.01153,0.01632,0.574
pku_saferlhf,p85,3,0.3624,0.00025,,0.166
pku_saferlhf,p90,1,0.4106,0.13883,0.15858,0.838
pku_saferlhf,p90,2,0.4106,0.00693,0.00894,0.433
pku_saferlhf,p90,3,0.4106,0.00012,,0.094
pku_saferlhf,p95,1,0.5167,0.0731,0.09969,0.58
pku_saferlhf,p95,2,0.5167,0.00183,,0.158
pku_saferlhf,p95,3,0.5167,2e-05,,0.016
