family,gate,entropy_drop,entropy_base,n_prompts
amber,8.639576923824634,2.6113569097194844,5.868505926965202,71
archangel-dpo,0.0035807326707156684,0.20773350907316068,5.539834712487512,71
ct-llm,0.009454685086872803,0.891630577248332,5.960521201382614,71
deepseek-7b,0.23005355006351816,0.3867098298769065,6.698345488824872,71
llama,-0.5786225806115326,0.3313782345222238,5.529924617959441,71
map-neo,14.901779486379128,0.9608128837695675,5.525839121488767,71
minicpm,0.01752813406226649,-0.08807778779034159,6.093733016523578,71
olmo,-0.3200884791212584,0.3577494741073064,5.970494333534075,71
olmo-hybrid,0.018700340131474667,0.43100347676036144,5.875255867461328,71
olmo-tiny,0.45836464431578466,0.2295181510149371,5.748720288689834,71
pythia,-0.3912647263779337,0.3851447584825394,5.548010755591537,71
qwen,-0.0014699951966756313,0.7789111603663388,5.650782193488478,71
qwen-tiny,0.020589963319579033,-0.03987978561046823,6.000076716933747,71
qwen3,0.7344360177889147,1.501484311348361,5.7669907438802595,71
redpajama,2.4623623916030164,3.44881824091635,5.427838819620336,71
smol,0.6974491267611668,0.5593768472964316,5.912927181959299,71
smol3,-0.27547192519765734,0.5976514553760186,5.559453558517673,71
stablelm,0.7111342900731725,1.0145821632768133,5.666156885293656,71
zephyr,7.848633374872882,0.7622441176274091,5.196480124854335,71
