code,category
Y1198,META
Y1199,META
Y1200,D1
Y1201,D1
Y1202,OTHER
Y1203,OTHER
Y1204,META
Y1205,INCOH
Y1206,D1
Y1207,D1
Y1208,BOTH
Y1209,D1
Y1210,BOTH
Y1211,D1
Y1212,META
Y1213,D2
Y1214,BOTH
Y1215,META
Y1216,D1
Y1217,BOTH
Y1218,D1
Y1219,OTHER
Y1220,META
Y1221,BOTH
Y1222,AWAY
Y1223,D1
Y1224,AWAY
Y1225,D2
Y1226,D1
Y1227,META
Y1228,BOTH
Y1229,D1
Y1230,BOTH
Y1231,BOTH
Y1232,D1
Y1233,BOTH
Y1234,META
Y1235,OTHER
Y1236,D1
Y1237,D1
Y1238,D1
Y1239,META
Y1240,BOTH
Y1241,D1
Y1242,META
Y1243,D1
Y1244,D1
Y1245,D1
Y1246,D1
Y1247,OTHER
Y1248,BOTH
Y1249,OTHER
Y1250,D1
Y1251,D1
Y1252,OTHER
Y1253,D1
Y1254,INCOH
Y1255,OTHER
Y1256,BOTH
Y1257,D1
Y1258,META
Y1259,META
Y1260,AWAY
Y1261,BOTH
Y1262,AWAY
Y1263,INCOH
Y1264,D1
Y1265,D1
Y1266,INCOH
Y1267,D1
Y1268,D1
Y1269,AWAY
Y1270,D1
Y1271,D1
Y1272,OTHER
Y1273,INCOH
Y1274,D1
Y1275,OTHER
Y1276,AWAY
Y1277,D1
Y1278,OTHER
Y1279,D1
Y1280,D1
Y1281,BOTH
Y1282,BOTH
Y1283,D1
Y1284,D1
Y1285,BOTH
Y1286,BOTH
Y1287,D1
Y1288,D1
Y1289,META
Y1290,META
Y1291,D1
Y1292,META
Y1293,BOTH
Y1294,AWAY
Y1295,D1
Y1296,BOTH
Y1297,META
Y1298,META
Y1299,D1
Y1300,D1
Y1301,AWAY
Y1302,OTHER
Y1303,D1
Y1304,D2
Y1305,D1
Y1306,BOTH
Y1307,AWAY
Y1308,BOTH
Y1309,OTHER
Y1310,OTHER
Y1311,BOTH
Y1312,META
Y1313,D1
Y1314,D1
Y1315,META
Y1316,AWAY
Y1317,META
Y1318,D1
Y1319,META
Y1320,META
Y1321,D1
Y1322,OTHER
Y1323,D1
Y1324,D1
Y1325,META
Y1326,D1
Y1327,BOTH
Y1328,D1
Y1329,BOTH
Y1330,BOTH
Y1331,AWAY
Y1332,D2
Y1333,META
Y1334,BOTH
Y1335,D1
Y1336,META
Y1337,OTHER
Y1338,OTHER
Y1339,BOTH
Y1340,D1
Y1341,AWAY
Y1342,INCOH
Y1343,META
Y1344,D1
Y1345,BOTH
Y1346,AWAY
Y1347,OTHER
Y1348,D1
Y1349,OTHER
Y1350,INCOH
Y1351,D1
Y1352,D1
Y1353,META
Y1354,META
Y1355,D1
Y1356,AWAY
Y1357,META
Y1358,D1
Y1359,AWAY
Y1360,D1
Y1361,D1
Y1362,META
Y1363,D1
Y1364,AWAY
Y1365,META
Y1366,BOTH
Y1367,AWAY
Y1368,D1
Y1369,D1
Y1370,AWAY
Y1371,META
Y1372,META
Y1373,META
Y1374,INCOH
Y1375,D1
Y1376,OTHER
Y1377,D1
Y1378,BOTH
Y1379,INCOH
Y1380,INCOH
Y1381,META
Y1382,D1
Y1383,D1
Y1384,META
Y1385,AWAY
Y1386,INCOH
Y1387,META
Y1388,D1
Y1389,INCOH
Y1390,BOTH
Y1391,AWAY
Y1392,OTHER
Y1393,META
Y1394,D1
Y1395,AWAY
Y1396,D1
Y1397,META
Y1398,D1
Y1399,META
Y1400,INCOH
Y1401,OTHER
Y1402,META
Y1403,D1
Y1404,META
Y1405,META
Y1406,INCOH
Y1407,D1
Y1408,OTHER
Y1409,META
Y1410,BOTH
Y1411,D1
