family,label,blt_bits_per_char,blt_nats_per_token
dreams,dream,1.033657267121217,0.7165
dreams,dream,1.2254049193796335,0.8494
dreams,dream,1.5244616039159933,1.0567
dreams,dream,1.79000761210035,1.2407
dreams,dream,1.6114818048128114,1.117
dreams,dream,1.2139365759175527,0.8414
dreams,dream,1.223131792659773,0.8478
dreams,dream,1.364339549248625,0.9457
dreams,dream,1.5900470666720952,1.1021
dreams,dream,1.3913640163203975,0.9644
dreams,dream,0.915033428249282,0.6343
dreams,dream,1.4288967198102278,0.9904
dreams,dream,1.8268280865027693,1.2663
dreams,dream,1.1866345756996992,0.8225
dreams,dream,1.7819612064797172,1.2352
dreams,dream,1.1760047771468933,0.8151
dreams,dream,1.3815075019876992,0.9576
dreams,dream,1.2943664759700486,0.8972
dreams,dream,,
dreams,dream,,
dreams,dream,1.703297384637358,1.1806
dreams,dream,1.3811380976063714,0.9573
dreams,dream,1.6387498894651213,1.1359
dreams,dream,1.1287409666008794,0.7824
dreams,dream,1.8092655143670588,1.2541
dreams,dream,1.7777086526740182,1.2322
dreams,dream,1.4513366103652086,1.006
dreams,dream,1.0671964038087598,0.7397
dreams,dream,1.2744486893038949,0.8834
dreams,dream,1.0771718781335746,0.7466
dreams,dream,,
dreams,dream,,
dreams,dream,1.3749438870649535,0.953
dreams,dream,,
dreams,dream,1.3308750162529013,0.9225
dreams,dream,1.2962254268627107,0.8985
dreams,dream,1.308199088498638,0.9068
dreams,dream,1.0632234986154363,0.737
dreams,dream,0.9488537434407466,0.6577
dreams,dream,1.004619984519578,0.6964
dreams,dream,1.7739033018088235,1.2296
dreams,dream,1.2624627477609944,0.8751
dreams,dream,0.8878540838758987,0.6154
dreams,dream,1.9471027373227476,1.3496
dreams,dream,0.9969582216717123,0.691
dreams,dream,,
dreams,dream,1.2579171354535843,0.8719
dreams,dream,1.1875442811901347,0.8231
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.0259395019052966,0.7111
dreams,dream,1.0587692504198407,0.7339
dreams,dream,0.9904557437036897,0.6865
dreams,dream,1.0602403166571635,0.7349
dreams,dream,1.2221803743641697,0.8472
dreams,dream,0.9876236254982903,0.6846
dreams,dream,,
dreams,dream,0.886946715830214,0.6148
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.4081900147095983,0.9761
dreams,dream,,
dreams,dream,1.0612883567726565,0.7356
dreams,dream,1.3345845270010483,0.9251
dreams,dream,1.1373627382340903,0.7884
dreams,dream,,
dreams,dream,2.0918746438857587,1.45
dreams,dream,1.8939436959991263,1.3128
dreams,dream,0.9129848247115935,0.6328
dreams,dream,1.123154941325413,0.7785
dreams,dream,1.7629187699411275,1.222
dreams,dream,1.226961288397969,0.8505
dreams,dream,1.27328768792241,0.8826
dreams,dream,1.52088974348153,1.0542
dreams,dream,1.1311000332169845,0.784
dreams,dream,0.9550714706111778,0.662
dreams,dream,1.082968748552759,0.7507
dreams,dream,1.2104601813108127,0.839
dreams,dream,1.9044472945282482,1.3201
dreams,dream,1.059460527129961,0.7344
dreams,dream,1.1980193169357878,0.8304
dreams,dream,1.89911049531508,1.3164
dreams,dream,1.2443960705355084,0.8625
dreams,dream,,
dreams,dream,1.316580832512633,0.9126
dreams,dream,1.4062969453679601,0.9748
dreams,dream,,
dreams,dream,1.1372734393109334,0.7883
dreams,dream,,
dreams,dream,1.3172031687599743,0.913
dreams,dream,1.20105091606555,0.8325
dreams,dream,1.5984803687853972,1.108
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.2330094663091051,0.8547
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.1682037494899487,0.8097
dreams,dream,1.6286525129106657,1.1289
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.2099156590582634,0.8387
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.280259265920673,0.8874
dreams,dream,1.229733899627594,0.8524
dreams,dream,,
dreams,dream,,
dreams,dream,1.2404748324280321,0.8598
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.0502064200269285,0.7279
dreams,dream,1.3641967709262859,0.9456
dreams,dream,1.0414794490055468,0.7219
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.3317220700551045,0.9231
dreams,dream,1.631920449690567,1.1312
dreams,dream,1.3029519157517593,0.9031
dreams,dream,1.8054065628846683,1.2514
dreams,dream,1.6776643100612674,1.1629
dreams,dream,1.6842511953207622,1.1674
dreams,dream,1.5085038809872884,1.0456
dreams,dream,,
dreams,dream,1.254360931397241,0.8695
dreams,dream,1.0540449289377254,0.7306
dreams,dream,1.893713683447586,1.3126
dreams,dream,,
dreams,dream,,
dreams,dream,0.8508453661893849,0.5898
dreams,dream,0.9909104000757013,0.6868
dreams,dream,1.8100543279142003,1.2546
dreams,dream,,
dreams,dream,,
dreams,dream,1.1716666140311978,0.8121
dreams,dream,0.9678905450753947,0.6709
dreams,dream,,
dreams,dream,1.2255498497307025,0.8495
dreams,dream,,
dreams,dream,1.076963246589763,0.7465
dreams,dream,1.277874439624101,0.8858
dreams,dream,0.992208984169565,0.6877
dreams,dream,1.3733756170119518,0.952
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.1790895216588866,0.8173
dreams,dream,1.2546235685978664,0.8696
dreams,dream,1.257472309304723,0.8716
dreams,dream,,
dreams,dream,1.2831695176410123,0.8894
dreams,dream,1.4592815719157617,1.0115
dreams,dream,1.5398636881864025,1.0674
dreams,dream,1.326386228065209,0.9194
dreams,dream,1.4168342638735496,0.9821
dreams,dream,1.2175754179324407,0.844
dreams,dream,1.3006413370648449,0.9015
dreams,dream,0.9791707477638321,0.6787
dreams,dream,2.9222910846302996,2.0256
dreams,dream,1.047649158647752,0.7262
dreams,dream,1.2139454895009056,0.8414
dreams,dream,,
dreams,dream,0.9621688043638229,0.6669
dreams,dream,1.6162902030996442,1.1203
dreams,dream,1.784063513185369,1.2366
dreams,dream,1.0241726282357027,0.7099
dreams,dream,1.3686452124468262,0.9487
dreams,dream,,
dreams,dream,1.4482795149796406,1.0039
dreams,dream,1.6646250840909942,1.1538
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.9396120440571265,1.3444
dreams,dream,0.786291596351194,0.545
dreams,dream,1.154755552650385,0.8004
dreams,dream,1.554320820146839,1.0774
dreams,dream,,
dreams,dream,1.4275382565182118,0.9895
dreams,dream,,
dreams,dream,,
dreams,dream,0.9412176706008581,0.6524
dreams,dream,,
dreams,dream,,
dreams,dream,1.2388886039519524,0.8587
dreams,dream,1.3799645940513712,0.9565
dreams,dream,1.3257962391065587,0.919
dreams,dream,1.8493160680417116,1.2818
dreams,dream,1.20505455984244,0.8353
dreams,dream,,
dreams,dream,1.2579360507237949,0.8719
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.0974401793325619,0.7607
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.348194787816573,0.9345
dreams,dream,,
dreams,dream,1.1810427549238285,0.8186
dreams,dream,1.0396691024720959,0.7206
dreams,dream,1.217028608418558,0.8436
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.4037051295333343,0.973
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,0.9780370131249667,0.6779
dreams,dream,1.0666225574811774,0.7393
dreams,dream,,
dreams,dream,,
dreams,dream,0.9956308139799204,0.6901
dreams,dream,1.3703200665098771,0.9498
dreams,dream,0.9190664598018345,0.637
dreams,dream,1.2050512132249176,0.8353
dreams,dream,1.182143557191237,0.8194
dreams,dream,1.8205784263971339,1.2619
dreams,dream,1.3099119044355423,0.908
dreams,dream,1.3126527030738404,0.9099
dreams,dream,1.2841076947347219,0.8901
dreams,dream,1.2765670959808009,0.8849
dreams,dream,1.8418247093846407,1.2767
dreams,dream,1.427014810502376,0.9891
dreams,dream,1.5855895820985155,1.099
dreams,dream,1.3513520623541992,0.9367
dreams,dream,1.2374999690823807,0.8578
dreams,dream,1.130466344081839,0.7836
dreams,dream,1.3012212301479142,0.9019
dreams,dream,1.01053801197609,0.7005
dreams,dream,1.8855380364902832,1.307
dreams,dream,1.027263262574523,0.712
dreams,dream,1.8950107099374884,1.3135
dreams,dream,1.3457317768534418,0.9328
dreams,dream,1.5163888959074938,1.0511
dreams,dream,0.9821724180179436,0.6808
dreams,dream,1.4235628147614368,0.9867
dreams,dream,,
dreams,dream,1.1706364417454775,0.8114
dreams,dream,1.7504946080348918,1.2134
dreams,dream,1.0235088377915083,0.7094
dreams,dream,1.4562646182449832,1.0094
dreams,dream,1.0311925812058749,0.7148
dreams,dream,,
dreams,dream,1.795885356240691,1.2448
dreams,dream,1.5240856328482142,1.0564
dreams,dream,1.4443426560463577,1.0011
dreams,dream,,
dreams,dream,1.5033100916220714,1.042
dreams,dream,1.6721652270051526,1.1591
dreams,dream,0.8489095571011386,0.5884
dreams,dream,1.3709342903589241,0.9503
dreams,dream,1.3993042411139152,0.9699
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.2789056947863409,0.8865
dreams,dream,1.1320071355032608,0.7847
dreams,dream,1.3500061477950658,0.9358
dreams,dream,,
dreams,dream,1.0223672241321669,0.7086
dreams,dream,1.1911698305522849,0.8257
dreams,dream,1.3668050007440178,0.9474
dreams,dream,1.4458586366260098,1.0022
dreams,dream,1.2352661599906758,0.8562
dreams,dream,1.3052643720348107,0.9047
dreams,dream,1.158153000719868,0.8028
dreams,dream,1.4006743958316636,0.9709
dreams,dream,1.1760784571151657,0.8152
dreams,dream,1.1121062342211046,0.7709
dreams,dream,1.2778378886490034,0.8857
dreams,dream,,
dreams,dream,,
dreams,dream,1.1898804330087835,0.8248
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.3549184717066234,0.9392
dreams,dream,1.0890848008693803,0.7549
dreams,dream,,
dreams,dream,1.3836884685742519,0.9591
dreams,dream,1.6495086091120852,1.1434
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.4380815836496723,0.9968
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.0846197938313837,0.7518
dreams,dream,,
dreams,dream,,
dreams,dream,1.1419877015385176,0.7916
dreams,dream,,
dreams,dream,,
dreams,dream,1.2661788274241188,0.8776
dreams,dream,1.7228604793754352,1.1942
dreams,dream,,
dreams,dream,,
dreams,dream,0.812722682814828,0.5633
dreams,dream,1.9154483037330277,1.3277
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.247427489727559,0.8647
dreams,dream,1.187752979390181,0.8233
dreams,dream,1.9478783673326596,1.3502
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.1678219522141726,0.8095
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.1401322313479718,0.7903
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,0.9059594317316041,0.628
dreams,dream,1.2934219944565934,0.8965
dreams,dream,1.2733633072870554,0.8826
dreams,dream,1.4714980414271628,1.02
dreams,dream,0.9925966917081002,0.688
dreams,dream,,
dreams,dream,1.4407768576075155,0.9987
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.198357542171279,0.8306
dreams,dream,1.3290884606869315,0.9213
dreams,dream,,
dreams,dream,1.4377974708817352,0.9966
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,1.230675110532422,0.853
dreams,dream,,
dreams,dream,1.106011507614629,0.7666
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
dreams,dream,,
waking,waking,,
waking,waking,,
waking,waking,1.3190795470622343,0.9143
waking,waking,1.7283925835584002,1.198
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,1.1165548271175731,0.7739
waking,waking,0.8091985843820071,0.5609
waking,waking,1.5829064848592151,1.0972
waking,waking,1.5649225755228584,1.0847
waking,waking,1.6193787237270543,1.1225
waking,waking,1.1599327621326276,0.804
waking,waking,1.0711685394541224,0.7425
waking,waking,,
waking,waking,0.8111300395766037,0.5622
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,0.850998813981924,0.5899
waking,waking,1.0436399673919905,0.7234
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,1.5907832038855234,1.1026
waking,waking,,
waking,waking,,
waking,waking,0.9915769437760237,0.6873
waking,waking,,
waking,waking,1.1451075698674325,0.7937
waking,waking,,
waking,waking,1.1863572126251285,0.8223
waking,waking,1.8715180136879825,1.2972
waking,waking,0.8883984608943126,0.6158
waking,waking,1.0385987190402504,0.7199
waking,waking,,
waking,waking,0.980837811320871,0.6799
waking,waking,1.256509999698459,0.8709
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
waking,waking,,
