gen_id,producer,scorer,prompt_key,category,token_idx,token,logp
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,0,could,-14.527729034423828
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,1,feel,-2.0695641040802
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,2,the,-0.7581394910812378
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,3,swe,-3.598060131072998
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,4,at,-0.015493622981011868
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,5,dri,-2.447141647338867
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,6,pping,-0.011887895874679089
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,7,down,-0.9283335208892822
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,8,his,-0.24383501708507538
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,9,back,-0.9669597148895264
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,10,and,-2.015040636062622
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,11,ch,-2.0571563243865967
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,12,est,-0.011247444897890091
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,13,.,-0.38354116678237915
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,14,He,-1.2843432426452637
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,15,could,-2.4968833923339844
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,16,be,-6.9933319091796875
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,17,dying,-5.734253406524658
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,18,and,-2.0644173622131348
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,19,wouldn,-3.8428096771240234
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,20,’,-0.5784264206886292
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,21,t,-0.0027481666766107082
