step,stage,prompt,layer,h_attention
0,base,She was so angry she wanted to,0,1.1689228639006615
0,base,She was so angry she wanted to,1,0.8209582147210313
0,base,She was so angry she wanted to,2,0.7910927987541072
0,base,She was so angry she wanted to,3,1.289502383209765
0,base,She was so angry she wanted to,4,1.150643583969213
0,base,She was so angry she wanted to,5,1.0881537701934576
0,base,She was so angry she wanted to,6,0.9344008648768067
0,base,She was so angry she wanted to,7,1.1594846667721868
0,base,She was so angry she wanted to,8,0.9272426967509091
0,base,She was so angry she wanted to,9,0.9483975233742967
0,base,She was so angry she wanted to,10,0.7492917336057872
0,base,She was so angry she wanted to,11,1.0965460436418653
0,base,She was so angry she wanted to,12,0.7707906999858096
0,base,She was so angry she wanted to,13,0.6349366576760076
0,base,She was so angry she wanted to,14,0.6122920785564929
0,base,She was so angry she wanted to,15,0.9065189100801945
0,base,She was so angry she wanted to,16,0.5845744356629439
0,base,She was so angry she wanted to,17,0.6143794000672642
0,base,She was so angry she wanted to,18,0.569073236110853
0,base,She was so angry she wanted to,19,0.6558467815630138
0,base,She was so angry she wanted to,20,0.37351077946368605
0,base,She was so angry she wanted to,21,0.45104716871719575
0,base,She was so angry she wanted to,22,0.40908628757460974
0,base,She was so angry she wanted to,23,0.5374719914980233
0,base,She was so angry she wanted to,24,0.22803472595114727
0,base,She was so angry she wanted to,25,0.3358836765110027
0,base,She was so angry she wanted to,26,0.17643215754651465
0,base,She was so angry she wanted to,27,0.5659786423202604
0,base,She was so angry she wanted to,28,0.26868184671911877
0,base,She was so angry she wanted to,29,0.3496845687768655
0,base,She was so angry she wanted to,30,0.1948494042699167
0,base,She was so angry she wanted to,31,0.5464713419787586
0,base,She kneeled and reached for his,0,1.3663076627999544
0,base,She kneeled and reached for his,1,1.100091258995235
0,base,She kneeled and reached for his,2,0.9882366498932242
0,base,She kneeled and reached for his,3,1.1569350557401776
0,base,She kneeled and reached for his,4,1.0685630817897618
0,base,She kneeled and reached for his,5,1.055692434310913
0,base,She kneeled and reached for his,6,1.0370722123188898
0,base,She kneeled and reached for his,7,1.2619298547506332
0,base,She kneeled and reached for his,8,0.865972479172342
0,base,She kneeled and reached for his,9,0.931957476423122
0,base,She kneeled and reached for his,10,0.6067136219353415
0,base,She kneeled and reached for his,11,1.159617580473423
0,base,She kneeled and reached for his,12,0.8511949360836297
0,base,She kneeled and reached for his,13,0.7679144147550687
0,base,She kneeled and reached for his,14,0.5777711620903574
0,base,She kneeled and reached for his,15,0.885970912524499
0,base,She kneeled and reached for his,16,0.5529853177722543
0,base,She kneeled and reached for his,17,0.6129695220151916
0,base,She kneeled and reached for his,18,0.3702003675280139
0,base,She kneeled and reached for his,19,0.6571926851756871
0,base,She kneeled and reached for his,20,0.37201931490562856
0,base,She kneeled and reached for his,21,0.4159561738197226
0,base,She kneeled and reached for his,22,0.4599172075249953
0,base,She kneeled and reached for his,23,0.4998656325042248
0,base,She kneeled and reached for his,24,0.22265127103310078
0,base,She kneeled and reached for his,25,0.36499581107636914
0,base,She kneeled and reached for his,26,0.2080378312493849
0,base,She kneeled and reached for his,27,0.43880800186889246
0,base,She kneeled and reached for his,28,0.2754670599169913
0,base,She kneeled and reached for his,29,0.21836498100310564
0,base,She kneeled and reached for his,30,0.2075246010790579
0,base,She kneeled and reached for his,31,0.6382265686988831
0,base,The capital of France is,0,1.0369445512187667
0,base,The capital of France is,1,0.9650957733392715
0,base,The capital of France is,2,0.7858370593748987
0,base,The capital of France is,3,0.9036358203738928
0,base,The capital of France is,4,0.6385955517762341
0,base,The capital of France is,5,0.6299899244913831
0,base,The capital of France is,6,0.6286349811125547
0,base,The capital of France is,7,0.991725723259151
0,base,The capital of France is,8,0.5979503444395959
0,base,The capital of France is,9,0.706473131023813
0,base,The capital of France is,10,0.649204591405578
0,base,The capital of France is,11,0.9204705548472703
0,base,The capital of France is,12,0.5888709273713175
0,base,The capital of France is,13,0.5768314061569981
0,base,The capital of France is,14,0.5528517127968371
0,base,The capital of France is,15,0.8454291447997093
0,base,The capital of France is,16,0.5790026353788562
0,base,The capital of France is,17,0.5226949674542993
0,base,The capital of France is,18,0.48810003314429196
0,base,The capital of France is,19,0.6256837018299848
0,base,The capital of France is,20,0.266928632336203
0,base,The capital of France is,21,0.3415734267764492
0,base,The capital of France is,22,0.4212569312658161
0,base,The capital of France is,23,0.4484322821954265
0,base,The capital of France is,24,0.20090732458629645
0,base,The capital of France is,25,0.3542114700539969
0,base,The capital of France is,26,0.26966804172479897
0,base,The capital of France is,27,0.49957292203907855
0,base,The capital of France is,28,0.1511840272560221
0,base,The capital of France is,29,0.38867207839211915
0,base,The capital of France is,30,0.30278434545653
0,base,The capital of France is,31,0.5475912932888605
0,base,She loved him and hated him and wanted to,0,1.4785953415557742
0,base,She loved him and hated him and wanted to,1,1.3344069716331433
0,base,She loved him and hated him and wanted to,2,1.1371116188820451
0,base,She loved him and hated him and wanted to,3,1.467046051286161
0,base,She loved him and hated him and wanted to,4,1.2506511219544336
0,base,She loved him and hated him and wanted to,5,1.238154949620366
0,base,She loved him and hated him and wanted to,6,1.1963227540254593
0,base,She loved him and hated him and wanted to,7,1.4418238317593932
0,base,She loved him and hated him and wanted to,8,1.1173701751977205
0,base,She loved him and hated him and wanted to,9,1.1172441858798265
0,base,She loved him and hated him and wanted to,10,0.9641201192280278
0,base,She loved him and hated him and wanted to,11,1.3292327263625339
0,base,She loved him and hated him and wanted to,12,0.9001387496246025
0,base,She loved him and hated him and wanted to,13,0.8517098943702877
0,base,She loved him and hated him and wanted to,14,0.7929801180725917
0,base,She loved him and hated him and wanted to,15,1.2630159053951502
0,base,She loved him and hated him and wanted to,16,0.8611701623303816
0,base,She loved him and hated him and wanted to,17,0.8475086522521451
0,base,She loved him and hated him and wanted to,18,0.7717450936906971
0,base,She loved him and hated him and wanted to,19,0.9217974506318569
0,base,She loved him and hated him and wanted to,20,0.45961373881436884
0,base,She loved him and hated him and wanted to,21,0.5110323792177951
0,base,She loved him and hated him and wanted to,22,0.5624974756647134
0,base,She loved him and hated him and wanted to,23,0.6549678340088576
0,base,She loved him and hated him and wanted to,24,0.2881112001778092
0,base,She loved him and hated him and wanted to,25,0.31970830366481096
0,base,She loved him and hated him and wanted to,26,0.24709009387879632
0,base,She loved him and hated him and wanted to,27,0.6627385842730291
0,base,She loved him and hated him and wanted to,28,0.31022185995789187
0,base,She loved him and hated him and wanted to,29,0.4026493550481973
0,base,She loved him and hated him and wanted to,30,0.26906627888820367
0,base,She loved him and hated him and wanted to,31,0.6444835679722019
0,base,Our company cut our health benefits and incre,0,1.870163445477374
0,base,Our company cut our health benefits and incre,1,1.3627047567861155
0,base,Our company cut our health benefits and incre,2,0.9469433343037963
0,base,Our company cut our health benefits and incre,3,1.2707121246494353
0,base,Our company cut our health benefits and incre,4,0.83548424532637
0,base,Our company cut our health benefits and incre,5,0.9488897051196545
0,base,Our company cut our health benefits and incre,6,1.1122265486046672
0,base,Our company cut our health benefits and incre,7,1.333425113465637
0,base,Our company cut our health benefits and incre,8,1.0576405876781791
0,base,Our company cut our health benefits and incre,9,1.2069470342248678
0,base,Our company cut our health benefits and incre,10,1.221199799561873
0,base,Our company cut our health benefits and incre,11,1.5195796606130898
0,base,Our company cut our health benefits and incre,12,1.0791414029663429
0,base,Our company cut our health benefits and incre,13,0.957019466906786
0,base,Our company cut our health benefits and incre,14,1.3750529629178345
0,base,Our company cut our health benefits and incre,15,1.7067599780857563
0,base,Our company cut our health benefits and incre,16,1.2002234333194792
0,base,Our company cut our health benefits and incre,17,1.0879771616309881
0,base,Our company cut our health benefits and incre,18,0.8333966981153935
0,base,Our company cut our health benefits and incre,19,1.2391335284337401
0,base,Our company cut our health benefits and incre,20,0.6008445769548416
0,base,Our company cut our health benefits and incre,21,0.5573527836240828
0,base,Our company cut our health benefits and incre,22,0.5353184780105948
0,base,Our company cut our health benefits and incre,23,0.7095533441752195
0,base,Our company cut our health benefits and incre,24,0.4269903994863853
0,base,Our company cut our health benefits and incre,25,0.52180917840451
0,base,Our company cut our health benefits and incre,26,0.25721898302435875
0,base,Our company cut our health benefits and incre,27,0.738181974273175
0,base,Our company cut our health benefits and incre,28,0.32810926844831556
0,base,Our company cut our health benefits and incre,29,0.4870425433618948
0,base,Our company cut our health benefits and incre,30,0.36986851278925315
0,base,Our company cut our health benefits and incre,31,0.8129441333003342
1000,step1000,She was so angry she wanted to,0,1.1797227603383362
1000,step1000,She was so angry she wanted to,1,0.8016817026873468
1000,step1000,She was so angry she wanted to,2,0.7795367735088803
1000,step1000,She was so angry she wanted to,3,1.2818582504987717
1000,step1000,She was so angry she wanted to,4,1.1459876345470548
1000,step1000,She was so angry she wanted to,5,1.1015774514526129
1000,step1000,She was so angry she wanted to,6,0.9393864879384637
1000,step1000,She was so angry she wanted to,7,1.1779846788849682
1000,step1000,She was so angry she wanted to,8,0.9503759047947824
1000,step1000,She was so angry she wanted to,9,0.9546351090539247
1000,step1000,She was so angry she wanted to,10,0.7574758320115507
1000,step1000,She was so angry she wanted to,11,1.096770354313776
1000,step1000,She was so angry she wanted to,12,0.7728684397879988
1000,step1000,She was so angry she wanted to,13,0.6658041507471353
1000,step1000,She was so angry she wanted to,14,0.6538091541733593
1000,step1000,She was so angry she wanted to,15,0.9595922222360969
1000,step1000,She was so angry she wanted to,16,0.6186348599148914
1000,step1000,She was so angry she wanted to,17,0.6312611069879495
1000,step1000,She was so angry she wanted to,18,0.5763484390918165
1000,step1000,She was so angry she wanted to,19,0.6669149089138955
1000,step1000,She was so angry she wanted to,20,0.36988899593416136
1000,step1000,She was so angry she wanted to,21,0.43351696387617267
1000,step1000,She was so angry she wanted to,22,0.38438019872410223
1000,step1000,She was so angry she wanted to,23,0.5055737352231517
1000,step1000,She was so angry she wanted to,24,0.21176043622836005
1000,step1000,She was so angry she wanted to,25,0.31424025041633286
1000,step1000,She was so angry she wanted to,26,0.16145412469631992
1000,step1000,She was so angry she wanted to,27,0.5384890619898215
1000,step1000,She was so angry she wanted to,28,0.25109349207832565
1000,step1000,She was so angry she wanted to,29,0.32990515727578895
1000,step1000,She was so angry she wanted to,30,0.1841815085572307
1000,step1000,She was so angry she wanted to,31,0.5318749752477743
1000,step1000,She kneeled and reached for his,0,1.3630567793734372
1000,step1000,She kneeled and reached for his,1,1.0991794653236866
1000,step1000,She kneeled and reached for his,2,0.9818242359906435
1000,step1000,She kneeled and reached for his,3,1.1455306890420616
1000,step1000,She kneeled and reached for his,4,1.0835505917202681
1000,step1000,She kneeled and reached for his,5,1.053099177312106
1000,step1000,She kneeled and reached for his,6,1.0404715994372964
1000,step1000,She kneeled and reached for his,7,1.2522665143478662
1000,step1000,She kneeled and reached for his,8,0.8763394308480201
1000,step1000,She kneeled and reached for his,9,0.9245708017260768
1000,step1000,She kneeled and reached for his,10,0.6215576929098461
1000,step1000,She kneeled and reached for his,11,1.1812241915613413
1000,step1000,She kneeled and reached for his,12,0.8639090347569436
1000,step1000,She kneeled and reached for his,13,0.798797442112118
1000,step1000,She kneeled and reached for his,14,0.5882842703722417
1000,step1000,She kneeled and reached for his,15,0.9248042120598257
1000,step1000,She kneeled and reached for his,16,0.5724148140288889
1000,step1000,She kneeled and reached for his,17,0.6083964622230269
1000,step1000,She kneeled and reached for his,18,0.36292862822301686
1000,step1000,She kneeled and reached for his,19,0.6418211767449975
1000,step1000,She kneeled and reached for his,20,0.3761252986441832
1000,step1000,She kneeled and reached for his,21,0.40698565225466155
1000,step1000,She kneeled and reached for his,22,0.43980598591588205
1000,step1000,She kneeled and reached for his,23,0.4711607218487188
1000,step1000,She kneeled and reached for his,24,0.2104443194984924
1000,step1000,She kneeled and reached for his,25,0.3598705015901942
1000,step1000,She kneeled and reached for his,26,0.2013612599039334
1000,step1000,She kneeled and reached for his,27,0.4145846634055488
1000,step1000,She kneeled and reached for his,28,0.2533659863511275
1000,step1000,She kneeled and reached for his,29,0.20018422466819175
1000,step1000,She kneeled and reached for his,30,0.18992041278397664
1000,step1000,She kneeled and reached for his,31,0.5986676863394678
1000,step1000,The capital of France is,0,1.0317642645677552
1000,step1000,The capital of France is,1,0.9593348444905132
1000,step1000,The capital of France is,2,0.7901242263615131
1000,step1000,The capital of France is,3,0.9034092286601663
1000,step1000,The capital of France is,4,0.6305693179601803
1000,step1000,The capital of France is,5,0.6239763651974499
1000,step1000,The capital of France is,6,0.6304409180302173
1000,step1000,The capital of France is,7,1.0069469008594751
