family,prompt,argmax_diverge_rate,entropy_gap_mean,entropy_gap_slope,base_trans_persist,aligned_trans_persist,base_entropy_var,aligned_entropy_var
olmo,anger,0.76,-1.061,0.0073,0.18,0.08,2.662,3.914
olmo,love,0.9,-0.741,-0.0094,0.06,0.0,2.49,3.72
olmo,sexual,0.84,-0.352,-0.0109,0.12,0.2,2.689,3.515
olmo,violence,0.92,-0.411,-0.0056,0.24,0.26,2.215,3.555
olmo,worker,0.72,0.575,-0.0225,0.0,0.0,2.261,3.22
llama,anger,0.86,-0.368,0.0052,0.24,0.04,2.579,3.012
llama,love,0.82,-0.198,0.0186,0.04,0.02,2.576,3.003
llama,sexual,0.72,0.05,0.0143,0.32,0.02,2.644,4.215
llama,violence,0.88,-0.021,0.0169,0.18,0.02,2.427,5.591
llama,worker,0.86,0.048,0.007,0.0,0.0,2.209,3.722
qwen,anger,0.78,-0.906,-0.0027,0.16,0.4,3.308,1.91
qwen,love,0.86,-0.905,0.0011,0.0,0.06,2.58,1.474
qwen,sexual,0.72,-0.595,0.0002,0.0,0.02,2.646,2.36
qwen,violence,0.68,-0.927,-0.0096,0.08,0.02,3.681,1.754
qwen,worker,0.74,-0.533,-0.0106,0.0,0.0,3.334,2.465
amber,anger,0.92,-2.463,0.0028,0.1,0.0,3.019,0.626
amber,love,0.82,-1.727,-0.0078,0.04,0.0,2.693,1.084
amber,sexual,0.78,-1.867,-0.0035,0.06,0.0,3.378,1.127
amber,violence,0.88,-2.338,-0.0084,0.2,0.16,3.331,1.269
amber,worker,0.88,-2.075,-0.0119,0.0,0.0,3.64,0.939
zephyr,anger,0.76,-0.944,-0.0091,0.12,0.04,2.627,1.858
zephyr,love,0.9,-1.194,-0.0035,0.02,0.02,2.186,1.137
zephyr,sexual,0.76,-0.983,-0.0103,0.32,0.16,2.587,1.857
zephyr,violence,0.78,-1.304,-0.0157,0.38,0.18,2.502,1.532
zephyr,worker,0.8,-0.474,0.0004,0.0,0.02,2.349,2.13
tulu,anger,0.84,-0.905,0.0008,0.26,0.08,2.74,2.451
tulu,love,0.72,-0.972,-0.0191,0.02,0.0,2.466,1.846
tulu,sexual,0.76,-0.991,-0.0062,0.08,0.12,2.61,2.053
tulu,violence,0.88,-0.855,-0.0009,0.36,0.24,2.765,2.005
tulu,worker,0.82,-1.198,-0.0211,0.0,0.0,2.197,1.341
pythia,anger,0.86,-0.388,-0.0094,0.24,0.06,2.248,1.753
pythia,love,0.88,-0.288,-0.016,0.06,0.0,2.549,1.992
pythia,sexual,0.7,-0.274,-0.0058,0.14,0.08,2.502,2.46
pythia,violence,0.82,-0.399,0.0027,0.24,0.12,2.2,2.049
pythia,worker,0.7,-0.523,-0.0111,0.0,0.02,2.425,2.212
