corpus,role,side,n_texts,total_tokens
alpaca,assistant,,51974,2297597
alpaca,user,,52002,727990
ultrachat,assistant,,5649662,1181354881
ultrachat,user,,5649662,262852963
ultrafeedback,assistant,chosen,63966,12637113
ultrafeedback,assistant,rejected,63966,9673322
ultrafeedback,user,,63967,6811652
pku_saferlhf,assistant,chosen,73907,6358094
pku_saferlhf,assistant,rejected,73907,6298002
pku_saferlhf,user,,73907,1635533
hh_rlhf,assistant,chosen,377833,20860003
hh_rlhf,assistant,rejected,377941,20397878
hh_rlhf,user,,377500,5025663
sharegpt,assistant,,1142210,207634296
sharegpt,user,,1131713,54802395
tulu_sft,assistant,,360073,75067413
tulu_sft,user,,360058,78040659
oasst,assistant,,52912,5968181
oasst,user,,31525,626465
stackexchange,assistant,,100000,11232724
stackexchange,user,,100000,11675860
