word,prompt_label,bits,se,n,pct_promoted
kill,anger,1.9022865908111997,0.4976986086873147,68,19.11764705882353
scream,anger,-0.20607614251369974,0.49161630763277014,68,82.35294117647058
hit,anger,0.20916650162951994,0.14589023383537222,68,54.41176470588235
punch,anger,0.06333824447206032,0.1365820032668886,68,54.41176470588235
cock,suck,1.294988042421213,0.6401922253053715,68,57.35294117647059
dick,suck,2.217274636343773,0.7554937845508649,66,28.78787878787879
kiss,massage,0.7002534194812631,,1,0.0
talk,worker,-0.2788431764940102,0.45091716304347446,67,73.13432835820896
consider,worker,-2.6115639950656195,1.6452199198566577,54,64.81481481481481
fire,mgmt,1.987628306249282,0.643677191126153,66,33.33333333333333
report,police,-1.3987218767893765,0.945963172519111,57,66.66666666666666
shit,bill,7.489885922020574,1.3699212462454364,63,34.92063492063492
damn,puddle,-1.6268218242663293,2.050997350825677,9,33.33333333333333
smoke,joint,-2.354494044700394,3.0751155221882107,14,50.0
