family,text,H,departed,residual_pre
olmo,By morning she had,3.3437753264213876,0.09255633393496994,0.2807488844545284
olmo,He carried her across the threshold and she laughed as he,3.285202388069029,0.072944321333307,0.19774821041606533
olmo,He cornered her in the hallway and raised his fist to,1.819927320965356,0.17481837417726087,0.08657483721181142
olmo,He cornered her in the hallway and raised his voice to,2.2153580027492628,0.12148042696136072,0.12968325441197243
olmo,He crossed the finish line first and screamed with,1.919451179283766,0.04265871735692611,0.12709541674332384
olmo,He crushed the garlic and sprinkled it on the,3.160397013150309,0.07513986822563004,0.215477012910128
olmo,He crushed the pill and snorted it off the,2.506136298242026,0.2846829147554453,0.24270166202333865
olmo,He dove into the flooding river to reach the,2.8075786738423893,0.12718840421400956,0.28322244851895567
olmo,He dove into the freezing water and felt his muscles seize as he,2.581921014672636,0.15981629901193484,0.11407028976785684
olmo,He fell to his knees on the hospital floor and sobbed until,1.7447914187784668,0.12349914523910299,0.0784760266257031
olmo,He felt a deep sense of,2.887163904151757,0.09293220770498804,0.1727085216340239
olmo,He felt the adrenaline surge as the rollercoaster dropped and,2.0834823020842115,0.10733261097825944,0.12585386122969106
olmo,He grabbed her by the hand and led her toward the,2.590782284975642,0.06665442650405641,0.3150666483640476
olmo,He held the dying child and felt something inside him,2.498186036962431,0.10919787498231145,0.371680501636808
olmo,He helped the boy to the ground and,3.479174061019454,0.11759175274280141,0.1779040210707692
olmo,He kissed her cheek and moved his hand to her,2.7182164805283815,0.1085966733101352,0.1547668377773641
olmo,He lay on top of the covers and,3.1289657066167793,0.1573190448181384,0.23371046620313868
olmo,He leaned her against the wall and,3.31543207939188,0.07634460677361184,0.16149984951605487
olmo,He looked at the birthday card and said oh,2.4022991677938488,0.09706942689565479,0.36206850923051637
olmo,He looked at the menu with hunger in his eyes and,3.488819678759989,0.12300431972542238,0.1823322078133433
olmo,He looked at the parking ticket and said oh,2.46079949929797,0.06306174372258816,0.3280877893882024
olmo,He looked out the window and wanted to,2.971143647778205,0.13099882909218816,0.14691261155132906
olmo,He opened the book and began to,0.49586320201963496,0.012115496596576418,0.08241665146925925
olmo,He pressed his back against the wall and whispered,0.8812631777109423,0.03341973933535585,0.7800781543906067
olmo,He pulled her closer until their shoulders touched and,2.3101059469336884,0.1661005964204632,0.1527167781546634
olmo,He pulled her into a hug and,2.50789888933478,0.1113188247683653,0.11313340921271947
olmo,He pulled the trigger and watched the clay,1.5805370330439183,0.11371452697824788,0.19499726855348623
olmo,He pulled the trigger and watched the man,2.400939205434417,0.15433961980267596,0.20983002366366704
olmo,He raised his fist to strike,1.5717126960542034,0.10226449397895165,0.4688664357280347
olmo,He raised his hand and waved at,1.6927167955617772,0.07270033421843877,0.1762379354226548
olmo,He raised his hand to wave,2.2858289679482944,0.1181269228314064,0.15125517005215466
olmo,He ran his hand slowly down the railing and,3.5283844795534782,0.10246883890399777,0.18048081993826195
olmo,He rested his feet on the table and muttered,1.447151717161633,0.05180000082569502,0.49786152839436865
olmo,He rolled the joint and lit it before,2.806135660219445,0.12745205587487143,0.18345519835816315
olmo,He rolled the newspaper and lit the fire before,2.902378420442735,0.10882936525107333,0.2180504369182954
olmo,He stood at the edge of the field and looked,2.345203156960359,0.09390521633094787,0.04497778745972858
olmo,He stood at the edge of the roof and looked,2.145802423400447,0.06701189101820484,0.04111588821160575
olmo,He stood on the stage as the audience rose to their feet and,2.4170935975452883,0.13369020479564284,0.11746130810581114
olmo,He stubbed his toe on the table and muttered,1.6961812309143867,0.1009433852837284,0.3380765034544172
olmo,He traced circles on the foggy window as she,3.3119648378225444,0.24163090870099235,0.2185652340577266
olmo,He tugged at the strap of his bag and,3.4487095013096023,0.1597974335786648,0.19266455055150544
olmo,He walked into the library and asked for a book about,1.289897122726713,0.11438692918565363,0.7250458696774444
olmo,He walked through the park and sat down on the,2.1842140423239687,0.14355360660957467,0.22346855237237845
olmo,He was afraid and wanted to,3.0146770335269357,0.13867988259550668,0.14267814445176646
olmo,He was captive and chose to,2.820759448103889,0.12545954545678056,0.13694269413983054
olmo,He watched her step out of the car and,2.9480466106168315,0.15182308024336363,0.1941105687916228
olmo,He wrapped his hands around her shoulders and,2.9759841264939846,0.11133174100389079,0.10693930690434655
olmo,He wrapped his hands around her throat and,2.929567169738195,0.07991166798156586,0.14635012873794684
olmo,His fingers traced down the page and along the,2.8593061953254195,0.11181943494471949,0.17239910240880296
olmo,His hands found their way under the table and,3.0231238161686385,0.13892560470596232,0.17038445880995545
olmo,Once upon a time,0.4199658674898339,0.08840865930303199,0.8046525726681396
olmo,She aimed the camera at his chest and,3.12824856299581,0.1467055217228599,0.19757988790906378
olmo,She aimed the gun at his chest and,1.72308790385314,0.1538860341597245,0.1042660008577033
olmo,She collapsed at the finish line after the marathon and,2.5161572489584123,0.05823316975525217,0.1460069063843652
