stage,prompt,layer,head,entropy,max_attn
base,She was so angry she wanted to,0,0,0.8986319303512573,0.71826171875
base,She was so angry she wanted to,0,1,0.19803300499916077,0.9638671875
base,She was so angry she wanted to,0,2,1.2200202941894531,0.578125
base,She was so angry she wanted to,0,3,0.4100518226623535,0.90673828125
base,She was so angry she wanted to,0,4,1.883545160293579,0.228271484375
base,She was so angry she wanted to,0,5,1.2953050136566162,0.595703125
base,She was so angry she wanted to,0,6,0.22044849395751953,0.95947265625
base,She was so angry she wanted to,0,7,1.2213833332061768,0.583984375
base,She was so angry she wanted to,0,8,1.8633214235305786,0.24951171875
base,She was so angry she wanted to,0,9,0.7864192724227905,0.70751953125
base,She was so angry she wanted to,0,10,1.7900362014770508,0.251220703125
base,She was so angry she wanted to,0,11,1.7759531736373901,0.30078125
base,She was so angry she wanted to,0,12,1.252988338470459,0.578125
base,She was so angry she wanted to,0,13,0.49084264039993286,0.90087890625
base,She was so angry she wanted to,0,14,1.1131494045257568,0.64697265625
base,She was so angry she wanted to,0,15,1.370816707611084,0.52685546875
base,She was so angry she wanted to,0,16,0.9174749851226807,0.537109375
base,She was so angry she wanted to,0,17,0.741672158241272,0.78271484375
base,She was so angry she wanted to,0,18,0.4295828640460968,0.8876953125
base,She was so angry she wanted to,0,19,0.924975574016571,0.70556640625
base,She was so angry she wanted to,0,20,1.6727499961853027,0.33935546875
base,She was so angry she wanted to,0,21,1.1371325254440308,0.5908203125
base,She was so angry she wanted to,0,22,1.1504809856414795,0.556640625
base,She was so angry she wanted to,0,23,1.1024432182312012,0.60546875
base,She was so angry she wanted to,0,24,1.676788330078125,0.2763671875
base,She was so angry she wanted to,0,25,1.2874600887298584,0.5087890625
base,She was so angry she wanted to,0,26,1.757678508758545,0.30419921875
base,She was so angry she wanted to,0,27,0.9588332176208496,0.67529296875
base,She was so angry she wanted to,0,28,1.6109721660614014,0.3046875
base,She was so angry she wanted to,0,29,1.6520321369171143,0.400146484375
base,She was so angry she wanted to,0,30,0.6483986973762512,0.85009765625
base,She was so angry she wanted to,0,31,1.9459099769592285,0.1429443359375
base,She was so angry she wanted to,1,0,0.8868452906608582,0.7197265625
base,She was so angry she wanted to,1,1,1.6823954582214355,0.337890625
base,She was so angry she wanted to,1,2,0.2879142165184021,0.93310546875
base,She was so angry she wanted to,1,3,0.030636588111519814,0.99609375
base,She was so angry she wanted to,1,4,0.36430197954177856,0.896484375
base,She was so angry she wanted to,1,5,0.7341803908348083,0.8193359375
base,She was so angry she wanted to,1,6,1.1296002864837646,0.603515625
base,She was so angry she wanted to,1,7,0.7236515283584595,0.80126953125
base,She was so angry she wanted to,1,8,1.5186736583709717,0.4970703125
base,She was so angry she wanted to,1,9,0.5957375764846802,0.86767578125
base,She was so angry she wanted to,1,10,0.3605309724807739,0.93017578125
base,She was so angry she wanted to,1,11,0.12424828112125397,0.97998046875
base,She was so angry she wanted to,1,12,0.5316889882087708,0.8857421875
base,She was so angry she wanted to,1,13,1.468650460243225,0.4423828125
base,She was so angry she wanted to,1,14,0.4989427924156189,0.89404296875
base,She was so angry she wanted to,1,15,0.9267886877059937,0.51416015625
base,She was so angry she wanted to,1,16,1.5627145767211914,0.451171875
base,She was so angry she wanted to,1,17,0.0012482096208259463,1.0
base,She was so angry she wanted to,1,18,0.4043605923652649,0.91650390625
base,She was so angry she wanted to,1,19,0.5980519652366638,0.85546875
base,She was so angry she wanted to,1,20,1.8071911334991455,0.3046875
base,She was so angry she wanted to,1,21,1.6872992515563965,0.40478515625
base,She was so angry she wanted to,1,22,1.2365214824676514,0.56689453125
