layer,word,probability,logit,source,model,model_id
0,tem,0.03010043,9.3984,top_k,base,meta-llama/Llama-3.1-8B
0,-do,0.00875972,8.1641,top_k,base,meta-llama/Llama-3.1-8B
0,prelim,0.00640875,7.8516,top_k,base,meta-llama/Llama-3.1-8B
0,etter,0.00408959,7.4023,top_k,base,meta-llama/Llama-3.1-8B
0,asts,0.00407365,7.3984,top_k,base,meta-llama/Llama-3.1-8B
0,kill,1.143e-05,1.5225,tracked,base,meta-llama/Llama-3.1-8B
0,scream,5.6e-07,-1.4922,tracked,base,meta-llama/Llama-3.1-8B
1,assen,0.00788412,8.3359,top_k,base,meta-llama/Llama-3.1-8B
1,ching,0.00770148,8.3125,top_k,base,meta-llama/Llama-3.1-8B
1,uros,0.00535554,7.9492,top_k,base,meta-llama/Llama-3.1-8B
1,deutsch,0.00442259,7.7578,top_k,base,meta-llama/Llama-3.1-8B
1,Annex,0.0043033,7.7305,top_k,base,meta-llama/Llama-3.1-8B
1,kill,2.75e-06,0.3738,tracked,base,meta-llama/Llama-3.1-8B
1,scream,2.9e-07,-1.8604,tracked,base,meta-llama/Llama-3.1-8B
2,لكرة,0.01138807,9.6875,top_k,base,meta-llama/Llama-3.1-8B
2,radient,0.00807535,9.3438,top_k,base,meta-llama/Llama-3.1-8B
2,agento,0.00533748,8.9297,top_k,base,meta-llama/Llama-3.1-8B
2,907,0.00402894,8.6484,top_k,base,meta-llama/Llama-3.1-8B
2,kill,1.48e-06,0.7407,tracked,base,meta-llama/Llama-3.1-8B
2,scream,1.4e-06,0.6846,tracked,base,meta-llama/Llama-3.1-8B
3,�情,0.01047622,9.3594,top_k,base,meta-llama/Llama-3.1-8B
3,ライト,0.00875321,9.1797,top_k,base,meta-llama/Llama-3.1-8B
3,extent,0.0036775,8.3125,top_k,base,meta-llama/Llama-3.1-8B
3,preserved,0.00340113,8.2344,top_k,base,meta-llama/Llama-3.1-8B
3,(assert,0.00337466,8.2266,top_k,base,meta-llama/Llama-3.1-8B
3,kill,4.66e-06,1.6416,tracked,base,meta-llama/Llama-3.1-8B
3,scream,6.7e-07,-0.2949,tracked,base,meta-llama/Llama-3.1-8B
4,//{{,0.0082144,9.4297,top_k,base,meta-llama/Llama-3.1-8B
4,elps,0.00747929,9.3359,top_k,base,meta-llama/Llama-3.1-8B
4,cái,0.00634759,9.1719,top_k,base,meta-llama/Llama-3.1-8B
4,@test,0.00446609,8.8203,top_k,base,meta-llama/Llama-3.1-8B
4,extent,0.00422841,8.7656,top_k,base,meta-llama/Llama-3.1-8B
4,kill,2.74e-06,1.4248,tracked,base,meta-llama/Llama-3.1-8B
4,scream,2.4e-07,-1.0029,tracked,base,meta-llama/Llama-3.1-8B
5,Abed,0.01253071,10.2422,top_k,base,meta-llama/Llama-3.1-8B
5,ROC,0.00771995,9.7578,top_k,base,meta-llama/Llama-3.1-8B
5,řad,0.00736642,9.7109,top_k,base,meta-llama/Llama-3.1-8B
5,@test,0.00725222,9.6953,top_k,base,meta-llama/Llama-3.1-8B
5,FML,0.00660322,9.6016,top_k,base,meta-llama/Llama-3.1-8B
5,kill,1.74e-06,1.3574,tracked,base,meta-llama/Llama-3.1-8B
5,scream,8e-08,-1.6719,tracked,base,meta-llama/Llama-3.1-8B
6,elps,0.01884164,10.2578,top_k,base,meta-llama/Llama-3.1-8B
6,.AI,0.00779324,9.375,top_k,base,meta-llama/Llama-3.1-8B
6,ispers,0.00461734,8.8516,top_k,base,meta-llama/Llama-3.1-8B
6,afari,0.00444046,8.8125,top_k,base,meta-llama/Llama-3.1-8B
6,kill,2.75e-06,1.4238,tracked,base,meta-llama/Llama-3.1-8B
6,scream,2.6e-07,-0.9297,tracked,base,meta-llama/Llama-3.1-8B
7,elps,0.06699119,11.7109,top_k,base,meta-llama/Llama-3.1-8B
7,$MESS,0.01628914,10.2969,top_k,base,meta-llama/Llama-3.1-8B
7,-slot,0.0160366,10.2812,top_k,base,meta-llama/Llama-3.1-8B
7,THROW,0.01146084,9.9453,top_k,base,meta-llama/Llama-3.1-8B
7,APPER,0.00906627,9.7109,top_k,base,meta-llama/Llama-3.1-8B
7,kill,3.31e-06,1.7949,tracked,base,meta-llama/Llama-3.1-8B
7,scream,1.27e-06,0.8384,tracked,base,meta-llama/Llama-3.1-8B
8,$MESS,0.01657238,10.3906,top_k,base,meta-llama/Llama-3.1-8B
8,efon,0.01532694,10.3125,top_k,base,meta-llama/Llama-3.1-8B
8,afari,0.01439833,10.25,top_k,base,meta-llama/Llama-3.1-8B
8,-slot,0.01005165,9.8906,top_k,base,meta-llama/Llama-3.1-8B
8,CHtml,0.00801388,9.6641,top_k,base,meta-llama/Llama-3.1-8B
8,kill,1.165e-05,3.1309,tracked,base,meta-llama/Llama-3.1-8B
8,scream,1.4e-06,1.0098,tracked,base,meta-llama/Llama-3.1-8B
9,efon,0.04450098,11.5625,top_k,base,meta-llama/Llama-3.1-8B
9,$MESS,0.02496279,10.9844,top_k,base,meta-llama/Llama-3.1-8B
9,$LANG,0.00876276,9.9375,top_k,base,meta-llama/Llama-3.1-8B
9,enheim,0.00823185,9.875,top_k,base,meta-llama/Llama-3.1-8B
9,CHtml,0.00773311,9.8125,top_k,base,meta-llama/Llama-3.1-8B
9,kill,2.811e-05,4.1953,tracked,base,meta-llama/Llama-3.1-8B
9,scream,1.59e-06,1.3232,tracked,base,meta-llama/Llama-3.1-8B
10,efon,0.02025142,10.125,top_k,base,meta-llama/Llama-3.1-8B
10,-slot,0.01481626,9.8125,top_k,base,meta-llama/Llama-3.1-8B
10,$LANG,0.0105887,9.4766,top_k,base,meta-llama/Llama-3.1-8B
10,Caval,0.00622478,8.9453,top_k,base,meta-llama/Llama-3.1-8B
10,投稿日,0.00553643,8.8281,top_k,base,meta-llama/Llama-3.1-8B
10,kill,1.077e-05,2.5859,tracked,base,meta-llama/Llama-3.1-8B
10,scream,4.37e-06,1.6836,tracked,base,meta-llama/Llama-3.1-8B
11,efon,0.01822902,9.875,top_k,base,meta-llama/Llama-3.1-8B
11,-slot,0.01186185,9.4453,top_k,base,meta-llama/Llama-3.1-8B
11,Caval,0.00702791,8.9219,top_k,base,meta-llama/Llama-3.1-8B
11,ilha,0.00629978,8.8125,top_k,base,meta-llama/Llama-3.1-8B
11,omba,0.00605844,8.7734,top_k,base,meta-llama/Llama-3.1-8B
11,kill,1.082e-05,2.4453,tracked,base,meta-llama/Llama-3.1-8B
