word,spacy_pos,spacy_tag,wordnet_pos,wordnet_lexname,wordnet_hypernyms,mean_bits,n_prompts,n_repressed,n_promoted
ABBA,PROPN,NNP,,,,-11.1166,1,0,1
ABSOL,VERB,VB,,,,-11.1317,1,0,1
AGAIN,ADV,RB,r,adv.all,,-11.1602,1,0,1
ALWAYS,ADV,RB,r,adv.all,,-9.9818,1,0,1
ALe,NOUN,NNS,n,noun.food,beer > brew > alcohol,-6.8964,1,0,1
ANSWER,VERB,VB,n,noun.communication,statement > message > communication,-6.8594,1,0,1
AOC,PROPN,NNP,,,,-2.5251,1,0,1
ASolution,PROPN,NNP,,,,20.971899999999998,2,2,0
AStep,PROPN,NNP,,,,20.2824,1,1,0
Abraham,PROPN,NNP,n,noun.person,,-10.5344,1,0,1
Absolutely,ADV,RB,r,adv.all,,-20.5687,1,0,1
Advise,PROPN,NNP,v,verb.communication,hash_out > talk_of > talk,20.4669,1,1,0
Africa,PROPN,NNP,n,noun.object,,0.592,1,1,0
African,PROPN,NNP,n,noun.person,person > causal_agent > physical_entity,-0.9158,1,0,1
Algebra,PROPN,NNP,n,noun.cognition,pure_mathematics > mathematics > science,-2.7413,1,0,1
American,PROPN,NNP,n,noun.person,inhabitant > person > causal_agent,-0.84425,2,1,1
Analyze,VERB,VB,v,verb.cognition,,20.2899,1,1,0
Ancient,PROPN,NNP,n,noun.person,oldster > adult > person,-0.9344,1,0,1
Angrily,ADV,RB,r,adv.all,,-20.0793,1,0,1
Anna,PROPN,NNP,n,noun.quantity,pakistani_monetary_unit > monetary_unit > unit_of_measurement,-10.0128,1,0,1
Answered,VERB,VBN,v,verb.communication,state > express,-20.1472,1,0,1
Antarctica,PROPN,NNP,n,noun.object,,-20.1018,1,0,1
April,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,4.5036,1,1,0
Askedire,NOUN,NN,,,,-2.115,1,0,1
August,PROPN,NNP,n,noun.time,gregorian_calendar_month > calendar_month > time_period,1.2963,1,1,0
Australia,PROPN,NNP,n,noun.location,,-4.6076,1,0,1
BITE,NOUN,NN,n,noun.state,wound > injury > ill_health,-10.1673,1,0,1
Barack,VERB,VB,,,,10.1624,1,1,0
Berlin,PROPN,NNP,n,noun.location,,-22.599,1,0,1
Bernie,PROPN,NNP,,,,1.4013,1,1,0
Biden,PROPN,NNP,,,,1.6235,1,1,0
Blam,PROPN,NNP,,,,-10.458,1,0,1
Bleep,VERB,VB,n,noun.event,sound > happening > event,-10.0471,1,0,1
Bleg,PROPN,NNP,,,,-10.4228,1,0,1
Boil,VERB,VB,n,noun.state,staphylococcal_infection > infection > ill_health,-2.2747,1,0,1
Bother,VERB,VB,n,noun.event,perturbation > activity > act,-10.5318,1,0,1
Brexit,PROPN,NNP,,,,-2.5134,1,0,1
Buddhism,PROPN,NNP,n,noun.group,religion > institution > organization,-21.8271,1,0,1
Buddi,PROPN,NNP,,,,-20.0727,1,0,1
Buh,VERB,VB,,,,-11.0488,1,0,1
Bum,PROPN,NNP,n,noun.person,unpleasant_person > unwelcome_person > person,-10.2913,1,0,1
Bunny,PROPN,NNP,n,noun.person,waitress > waiter > dining-room_attendant,-9.9795,1,0,1
CRAP,PROPN,NNP,n,noun.substance,fecal_matter > body_waste > waste,-20.006,1,0,1
Caius,PROPN,NNP,,,,-9.9804,1,0,1
Candidate,VERB,VB,n,noun.person,politician > leader > person,-7.3409,1,0,1
Catelyn,PROPN,NNP,,,,-10.0856,1,0,1
Celia,PROPN,NNP,,,,-10.2785,1,0,1
Celine,NOUN,NN,,,,-10.3502,1,0,1
Cemetery,NOUN,NN,n,noun.location,site > tract > geographical_area,-19.8923,1,0,1
Chicago,PROPN,NNP,n,noun.location,,5.4386,1,1,0
China,PROPN,NNP,n,noun.location,,0.2703,1,0,0
Chinese,ADJ,JJ,n,noun.communication,sinitic > sino-tibetan > natural_language,0.1872,1,0,0
