layer,word,probability,logit,source,model,model_id
0,Dit,0.2662394,12.9531,top_k,base,LLM360/Amber
0,жан,0.0500249,11.2812,top_k,base,LLM360/Amber
0,Pf,0.03575119,10.9453,top_k,base,LLM360/Amber
0,шти,0.02254799,10.4844,top_k,base,LLM360/Amber
0,Westen,0.01869294,10.2969,top_k,base,LLM360/Amber
0,kill,4e-08,-2.8066,tracked,base,LLM360/Amber
0,scream,2.42e-06,1.3467,tracked,base,LLM360/Amber
1,complet,0.01659128,11.3125,top_k,base,LLM360/Amber
1,uno,0.00998481,10.8047,top_k,base,LLM360/Amber
1,envi,0.008474,10.6406,top_k,base,LLM360/Amber
1,seg,0.00697052,10.4453,top_k,base,LLM360/Amber
1,dich,0.00498161,10.1094,top_k,base,LLM360/Amber
1,kill,1.49e-06,1.9941,tracked,base,LLM360/Amber
1,scream,4.13e-06,3.0137,tracked,base,LLM360/Amber
2,complet,0.01850493,10.8281,top_k,base,LLM360/Amber
2,uno,0.0058685,9.6797,top_k,base,LLM360/Amber
2,dich,0.00509864,9.5391,top_k,base,LLM360/Amber
2,seg,0.0043611,9.3828,top_k,base,LLM360/Amber
2,envi,0.00403336,9.3047,top_k,base,LLM360/Amber
2,kill,1.85e-06,1.6191,tracked,base,LLM360/Amber
2,scream,3.77e-06,2.3301,tracked,base,LLM360/Amber
3,uno,0.01221151,11.3047,top_k,base,LLM360/Amber
3,complet,0.00886461,10.9844,top_k,base,LLM360/Amber
3,envi,0.00734902,10.7969,top_k,base,LLM360/Amber
3,bef,0.0047821,10.3672,top_k,base,LLM360/Amber
3,grande,0.00402693,10.1953,top_k,base,LLM360/Amber
3,kill,1.22e-06,2.0898,tracked,base,LLM360/Amber
3,scream,1.5e-06,2.3027,tracked,base,LLM360/Amber
4,uno,0.01532589,12.4766,top_k,base,LLM360/Amber
4,complet,0.01028932,12.0781,top_k,base,LLM360/Amber
4,envi,0.00795097,11.8203,top_k,base,LLM360/Amber
4,contr,0.00685416,11.6719,top_k,base,LLM360/Amber
