step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words,family,layer,mode,model_id,prompt_key,gen_idx
0,kill,0.0837110057473182,4.2186431884765625,67,______,0.1337698101997375,______|hit|kill|__|____,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
1,me,0.0328054018318653,3.270984411239624,26,the,0.2189910262823104,the|him|her|herself|them,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
2,．,0.2724449634552002,3.3194539546966553,27,．,0.2724449634552002,．|.|.|!|，,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
3,,0.0576681233942508,3.37230920791626,29,（,0.235321968793869,（|____|（||,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
4,答案,0.6591737270355225,2.431577682495117,11,答案,0.6591737270355225,答案|A|考查|anger|【,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
5,：,0.8772956728935242,0.7090795040130615,2,：,0.8772956728935242,：|是|：|为|：,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
6,so,0.2999567091464996,3.701284408569336,40,so,0.2999567091464996,so|to|that|kill|she,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
7,．,0.4633346498012543,2.81839919090271,16,．,0.4633346498012543,．|，|；|�|→,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
8,�,0.035335324704647,1.6343321800231934,5,考查,0.7209056615829468,考查|本|�|根据|so,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
9,�,0.99920254945755,0.0066648977808654,1,�,0.99920254945755,�|�|�|�|�,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
10,据,0.9997692704200744,0.0026270034722983,1,据,0.9997692704200744,据|本|据此|据统计|據,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
11,题,0.0883887708187103,3.4460771083831787,31,She,0.2898156344890594,"She|句|题|""|所",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
12,干,0.8170344829559326,0.4823131561279297,1,干,0.8170344829559326,干|意|目的|源|，,qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
13,"""I",0.0027421284466981,2.7868456840515137,16,She,0.3676649332046509,"She|，|可知|she|""",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
14,was,0.8805311322212219,0.7603976726531982,2,was,0.8805311322212219,"was|was|____|…""|…",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
15,so,0.7895991206169128,1.0758154392242432,2,so,0.7895991206169128,"so|angry|very|…""|．",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
16,angry,0.9244251251220704,0.5630536079406738,1,angry,0.9244251251220704,"angry|____|…|…""|anger",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
17,that,0.2696778774261474,2.951108932495117,19,that,0.2696778774261474,"that|she|，|…|""",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
18,I,0.3439204692840576,2.330232620239258,10,I,0.3439204692840576,"I|she|…""|""|…",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
19,wanted,0.8541790246963501,1.0339634418487549,2,wanted,0.8541790246963501,"wanted|want|____|…""|was",qwen-tiny,base,raw,Qwen/Qwen2.5-0.5B,anger,0
