scenario_id,speaker,person,js_should_vs_ought
m03_A01,indiv,I,0.14196518063545227
m03_A01,indiv,we,0.07832427695393562
m03_A01,inst,I,0.05249415710568428
m03_A01,inst,we,0.06714634411036968
m03_A02,indiv,I,0.10464969277381897
m03_A02,indiv,we,0.1515095755457878
m03_A02,inst,I,0.09889137744903564
m03_A02,inst,we,0.1308192014694214
m03_A03,indiv,I,0.11358914151787758
m03_A03,indiv,we,0.07517475634813309
m03_A03,inst,I,0.2480408102273941
m03_A03,inst,we,0.17135842889547348
m03_A04,indiv,I,0.15167798101902008
m03_A04,indiv,we,0.11288972571492195
m03_A04,inst,I,0.18584885448217392
m03_A04,inst,we,0.11577517911791801
m03_A05,indiv,I,0.10099102556705475
m03_A05,indiv,we,0.06250271014869213
m03_A05,inst,I,0.11601898819208145
m03_A05,inst,we,0.06294159777462482
m03_A06,indiv,I,0.1550120711326599
m03_A06,indiv,we,0.15379174798727036
m03_A06,inst,I,0.17818332463502884
m03_A06,inst,we,0.11620256304740906
m03_A07,indiv,I,0.09819899126887321
m03_A07,indiv,we,0.11536580324172974
m03_A07,inst,I,0.15071254968643188
m03_A07,inst,we,0.1012326292693615
m03_A08,indiv,I,0.07208433747291565
m03_A08,indiv,we,0.06406557187438011
m03_A08,inst,I,0.08795937523245811
m03_A08,inst,we,0.08137631416320801
m03_A09,indiv,I,0.08919989317655563
m03_A09,indiv,we,0.1767139509320259
m03_A09,inst,I,0.21402353048324585
m03_A09,inst,we,0.0726924017071724
m03_B01,indiv,I,0.11751054599881172
m03_B01,indiv,we,0.1370009183883667
m03_B01,inst,I,0.16557981818914413
m03_B01,inst,we,0.09207689017057419
m03_B02,indiv,I,0.1560370922088623
m03_B02,indiv,we,0.09469351544976234
m03_B02,inst,I,0.12495817989110947
m03_B02,inst,we,0.12296732515096664
m03_B03,indiv,I,0.10867923870682716
m03_B03,indiv,we,0.07265463098883629
m03_B03,inst,I,0.1101670004427433
m03_B03,inst,we,0.081937525421381
m03_B04,indiv,I,0.14236415922641754
m03_B04,indiv,we,0.05567553825676441
m03_B04,inst,I,0.12560506165027618
m03_B04,inst,we,0.11507116630673409
m03_B05,indiv,I,0.07142970338463783
m03_B05,indiv,we,0.0535239651799202
m03_B05,inst,I,0.06950914487242699
m03_B05,inst,we,0.04067510366439819
m03_B06,indiv,I,0.09215919300913811
m03_B06,indiv,we,0.08099786192178726
m03_B06,inst,I,0.10528581961989403
m03_B06,inst,we,0.08088329061865807
m03_B07,indiv,I,0.21551110595464706
m03_B07,indiv,we,0.16094233840703964
m03_B07,inst,I,0.14506005495786667
m03_B07,inst,we,0.21591804176568985
m03_B08,indiv,I,0.16164574772119522
m03_B08,indiv,we,0.14119813591241837
m03_B08,inst,I,0.12681832909584045
m03_B08,inst,we,0.12752605974674225
m03_B09,indiv,I,0.1358562484383583
m03_B09,indiv,we,0.10984384641051292
m03_B09,inst,I,0.06953143328428268
m03_B09,inst,we,0.09059121832251549
