site_id,family,layer,model_id,pair,prompt_type,idx
65ddc2cf2463,olmo,base,allenai/Olmo-3-1025-7B,love/hate,A,0
3735a431649a,olmo,base,allenai/Olmo-3-1025-7B,love/hate,A,1
3ce2100e6686,olmo,base,allenai/Olmo-3-1025-7B,love/hate,A,2
2fa8c2d260a4,olmo,base,allenai/Olmo-3-1025-7B,love/hate,B,0
4df2304aa89a,olmo,base,allenai/Olmo-3-1025-7B,love/hate,B,1
8cd2ce1e9f60,olmo,base,allenai/Olmo-3-1025-7B,love/hate,B,2
c52c8a372ce6,olmo,base,allenai/Olmo-3-1025-7B,love/hate,AB,0
03b8d3419129,olmo,base,allenai/Olmo-3-1025-7B,love/hate,AB,1
f3d4b447852d,olmo,base,allenai/Olmo-3-1025-7B,love/hate,AB,2
300b892a295c,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,A,0
feed6fa5d96b,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,A,1
fd5bfc09baec,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,A,2
2bfdd0841b65,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,B,0
89979cd18577,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,B,1
6f4e7592dbe8,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,B,2
6be4828e95c1,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,AB,0
d1d65176ee14,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,AB,1
80f9a77d861f,olmo,base,allenai/Olmo-3-1025-7B,trust/fear,AB,2
b405680300f8,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,A,0
2569d8c1b54f,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,A,1
62280f5bbd69,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,A,2
cd1781c0ee21,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,B,0
529c12a2eb7c,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,B,1
8e0c8bf44bb1,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,B,2
4eb595cfe757,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,AB,0
a30f93430bb0,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,AB,1
705db72c712a,olmo,base,allenai/Olmo-3-1025-7B,beautiful/disgusting,AB,2
d9202e11049a,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,A,0
ecf6eb541095,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,A,1
574c718dac4d,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,A,2
69c418f5db8c,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,B,0
1a7dc0086646,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,B,1
854c90fabc78,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,B,2
445e2c447e8d,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,AB,0
d61ef000eb89,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,AB,1
da4228ca150a,olmo,base,allenai/Olmo-3-1025-7B,desire/disgust,AB,2
