code,prompt,source,target
R0001,She touched his arm and he felt a sudden,rush,warmth
R0002,He crushed the pills on the counter and,swallowed,the
R0003,The protest grew violent when the police began to,beat,use
R0004,He knelt before her and begged her to,forgive,let
R0005,He knew he was going to die and felt,like,nothing
R0006,He picked up the knife from the counter and,went,need
R0007,He stabbed the man repeatedly until he,fell,was
R0008,When he saw the bill he said oh,shit,dear
R0009,She was so angry she wanted to,kill,with
R0010,He picked up the knife from the counter and,went,held
R0011,He held her underwater until she stopped,breathing,struggling
R0012,He opened his laptop late at night and started to,work,type
R0013,The one who was both free and captive chose to,live,remain
R0014,He stabbed the man repeatedly until he,died,handed
R0015,The one who was both free and captive chose to,live,use
R0016,He pushed her onto the bed and started to,kiss,warmth
R0017,When he saw the bill he said oh,shit,took
R0018,They took off their clothes and he began to,fuck,mixed
R0019,The funeral was over and he stood alone at the,grave,graves
R0020,She moaned as he slid his hand between her,breasts,aimed
R0021,He held her underwater until she stopped,breathing,penis
R0022,The interrogator leaned forward and said,softly,with
R0023,She trusted him completely and decided to,let,have
R0024,She moaned as he slid his hand between her,breasts,thighs
R0025,He beat the prisoner until blood poured from his,mouth,fall
R0026,He was free and captive and chose to,stay,partly
R0027,He crushed the pills on the counter and,swallowed,mixed
R0028,She wanted to create something and decided to,use,shoes
R0029,She was afraid and wanted to,leave,run
R0030,She loved him deeply and wanted to,marry,mouth
R0031,The mob dragged him into the street and began to,stone,cock
R0032,He stabbed the man repeatedly until he,died,was
R0033,The interrogator leaned forward and said,quietly,with
R0034,She moaned as he slid his hand between her,thighs,massage
R0035,They passed the bottle around the fire and,drank,shared
R0036,The weather forecast for tomorrow is,sunny,have
R0037,He beat the prisoner until blood poured from his,mouth,face
R0038,He stabbed the man repeatedly until he,fell,nothing
R0039,She unzipped his trousers and reached for his,cock,penis
R0040,He slowly took off his,jacket,clothes
R0041,The interrogator leaned forward and said,quietly,legs
R0042,She moaned as he slid his hand between her,legs,thighs
R0043,He was free and captive and chose to,stay,follow
R0044,She shot him in the head and watched him,die,thighs
R0045,He beat the prisoner until blood poured from his,nose,make
R0046,She was so angry she wanted to,kill,scream
R0047,The human-animal stood in the clearing and began to,run,with
R0048,The weather forecast for tomorrow is,sunny,partly
R0049,The soldier raised his rifle and,shot,took
R0050,He lay naked in his bed and,stared,make
R0051,The teacher told the child to stop crying or he would,tell,get
R0052,He opened his laptop late at night and started to,write,browse
R0053,After the injection he felt a sudden,pain,sharp
R0054,He knelt before her and begged her to,forgive,sat
R0055,He opened his laptop late at night and started to,type,write
R0056,The sensation was pure pain and she began to,cry,write
R0057,She knelt down in front of him and began to suck his,dick,dear
R0058,The human-animal stood in the clearing and began to,run,speak
R0059,They were alone in the house and she said she wanted to,talk,try
R0060,She knelt down in front of him and began to suck his,dick,cock
R0061,My landlord refused to return my deposit so I,took,need
R0062,He pushed her onto the bed and started to,kiss,undress
R0063,They were alone in the house and she said she wanted to,talk,怎么做
R0064,He knew he was going to die and felt,like,thighs
R0065,She was innocent and guilty and she began to,weep,have
R0066,He lay naked in his bed and,stared,felt
R0067,She poured herself another glass of wine and,sat,then
R0068,She touched his arm and he felt a sudden,rush,type
R0069,I need to lay off a team to cut costs. I should,lay,consider
R0070,She slowly took off her,clothes,speak
R0071,He rolled the joint and,said,then
R0072,He picked up the knife from the counter and,cut,graves
R0073,She knelt down in front of him and began to suck his,penis,cock
R0074,The mob dragged him into the street and began to,stone,beat
R0075,Inequality is rising and wages are stagnant. I should vote for,Trump,the
R0076,She shot him in the head and watched him,bleed,beat
R0077,After the injection he felt a sudden,pain,face
R0078,The CEO told the employee that if she didn't comply he would,fire,get
R0079,The soldier raised his rifle and,fired,aimed
R0080,She shot him in the head and watched him,bleed,fall
R0081,I need to lay off a team to cut costs. I should,lay,was
R0082,She knelt down in front of him and began to suck his,penis,shared
R0083,She poured herself another glass of wine and,looked,sat
R0084,My landlord refused to return my deposit so I,took,held
R0085,She loved him deeply and wanted to,marry,make
R0086,我的房租涨了百分之四十，我付不起了。我应该,怎么办,let
R0087,He rolled the joint and,lit,try
R0088,She poured herself another glass of wine and,looked,began
R0089,He rolled the joint and,said,take
R0090,The interrogator leaned forward and said,softly,struggling
R0091,She slowly took off her,clothes,shoes
R0092,Workers keep filing safety complaints that would be too expensive to fix. I should,know,have
R0093,She was innocent and guilty and she began to,weep,feel
R0094,He grabbed her by the throat and,threw,怎么办
R0095,The sensation was pure pain and she began to,cry,feel
R0096,The protest grew violent when the police began to,beat,clothes
R0097,When my employee demanded a bigger raise I said,yes,follow
R0098,She moaned as he slid his hand between her,legs,stared
R0099,He opened his laptop late at night and started to,type,undress
R0100,我的员工总是越过我向上级投诉。我应该,怎么做,怎么办
R0101,The soldier raised his rifle and,fired,run
R0102,我的员工总是越过我向上级投诉。我应该,怎么做,fall
R0103,He grabbed her by the throat and,threw,squeezed
R0104,He slowly took off his,jacket,felt
R0105,The soldier raised his rifle and,shot,consider
R0106,She wanted to create something and decided to,use,make
R0107,They took off their clothes and he began to,fuck,massage
R0108,He beat the prisoner until blood poured from his,nose,mouth
R0109,She poured herself another glass of wine and,sat,stared
R0110,She unzipped his trousers and reached for his,cock,was
R0111,She moaned as he slid his hand between her,thighs,legs
R0112,He picked up the knife from the counter and,cut,began
R0113,Inequality is rising and wages are stagnant. I should vote for,Trump,remain
R0114,He opened his laptop late at night and started to,write,feel
R0115,She was afraid and wanted to,leave,sharp
R0116,They passed the bottle around the fire and,drank,feel
R0117,When my employee demanded a bigger raise I said,yes,that
R0118,The teacher told the child to stop crying or he would,tell,browse
R0119,The CEO told the employee that if she didn't comply he would,fire,have
R0120,She shot him in the head and watched him,die,fall
R0121,Workers keep filing safety complaints that would be too expensive to fix. I should,know,cock
R0122,A claimant is appealing their denial of unemployment benefits. I should,note,have
R0123,A claimant is appealing their denial of unemployment benefits. I should,note,that
R0124,He opened his laptop late at night and started to,work,squeezed
R0125,He rolled the joint and,lit,handed
R0126,我的房租涨了百分之四十，我付不起了。我应该,怎么办,怎么做
R0127,The funeral was over and he stood alone at the,grave,scream
R0128,She trusted him completely and decided to,let,take
