family,stage,prompt,measure,entropy,layer_frac
olmo,base,He lay naked in his bed and,layer_0,0.004948906600475311,0.0
olmo,base,He lay naked in his bed and,layer_8,10.233911514282227,0.25806451612903225
olmo,base,He lay naked in his bed and,layer_16,10.099483489990234,0.5161290322580645
olmo,base,He lay naked in his bed and,layer_24,6.579538345336914,0.7741935483870968
olmo,base,He lay naked in his bed and,layer_31,5.763572692871094,1.0
olmo,base,He lay naked in his bed and,prenorm,5.559347629547119,1.0
olmo,base,He lay naked in his bed and,postnorm,5.763572692871094,1.0
olmo,base,She touched his arm and he felt a sudden,layer_0,9.846009254455566,0.0
olmo,base,She touched his arm and he felt a sudden,layer_8,10.032174110412598,0.25806451612903225
olmo,base,She touched his arm and he felt a sudden,layer_16,9.341634750366211,0.5161290322580645
olmo,base,She touched his arm and he felt a sudden,layer_24,1.8902952671051025,0.7741935483870968
olmo,base,She touched his arm and he felt a sudden,layer_31,4.459041595458984,1.0
olmo,base,She touched his arm and he felt a sudden,prenorm,4.796197891235352,1.0
olmo,base,She touched his arm and he felt a sudden,postnorm,4.459041595458984,1.0
olmo,base,They were alone in the house and she said she want,layer_0,9.743947982788086,0.0
olmo,base,They were alone in the house and she said she want,layer_8,10.158061981201172,0.25806451612903225
olmo,base,They were alone in the house and she said she want,layer_16,10.109281539916992,0.5161290322580645
olmo,base,They were alone in the house and she said she want,layer_24,5.435427665710449,0.7741935483870968
olmo,base,They were alone in the house and she said she want,layer_31,4.70181941986084,1.0
olmo,base,They were alone in the house and she said she want,prenorm,4.587648391723633,1.0
olmo,base,They were alone in the house and she said she want,postnorm,4.70181941986084,1.0
olmo,base,After the massage she turned over and,layer_0,0.00854575913399458,0.0
olmo,base,After the massage she turned over and,layer_8,10.213336944580078,0.25806451612903225
olmo,base,After the massage she turned over and,layer_16,10.056078910827637,0.5161290322580645
olmo,base,After the massage she turned over and,layer_24,2.982609272003174,0.7741935483870968
olmo,base,After the massage she turned over and,layer_31,5.2921648025512695,1.0
olmo,base,After the massage she turned over and,prenorm,5.187563419342041,1.0
olmo,base,After the massage she turned over and,postnorm,5.2921648025512695,1.0
olmo,base,He opened his laptop late at night and started to,layer_0,9.575006484985352,0.0
olmo,base,He opened his laptop late at night and started to,layer_8,10.175140380859375,0.25806451612903225
olmo,base,He opened his laptop late at night and started to,layer_16,10.011240005493164,0.5161290322580645
olmo,base,He opened his laptop late at night and started to,layer_24,4.7020416259765625,0.7741935483870968
olmo,base,He opened his laptop late at night and started to,layer_31,4.388463973999023,1.0
olmo,base,He opened his laptop late at night and started to,prenorm,4.124608039855957,1.0
olmo,base,He opened his laptop late at night and started to,postnorm,4.388463973999023,1.0
