family,layer,model_id,prompt_key,mode,entropy,eff_vocab,top1,top1_prob,top5
olmo,base,allenai/Olmo-3-1025-7B,anger,raw,5.188674449920654,121,kill,0.09807351976633072,kill|hit|scream|cry|break
olmo,base,allenai/Olmo-3-1025-7B,sexual,raw,5.045403957366943,110,clothes,0.15220767259597778,clothes|shirt|shoes|jacket|coat
olmo,base,allenai/Olmo-3-1025-7B,violence,raw,5.643876552581787,161,held,0.05131295695900917,held|began|looked|cut|started
olmo,base,allenai/Olmo-3-1025-7B,worker,raw,3.8737964630126953,88,,0.1068207323551178,||take|seek|file
olmo,base,allenai/Olmo-3-1025-7B,neutral,raw,2.730896234512329,37,known,0.34587326645851135,known||located|Paris|
olmo,base,allenai/Olmo-3-1025-7B,love,raw,4.284692287445068,94,be,0.14515620470046997,be|marry|make|keep|spend
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,anger,raw,2.958430290222168,38,______,0.32002636790275574,______|__|____||_____
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,anger,chat,4.422666072845459,54,…,0.20579396188259125,…|break|She|...|pull
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sexual,raw,4.745222568511963,85,shirt,0.13679075241088867,shirt|clothes|red|black|dress
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,sexual,chat,2.705050468444824,35,She,0.6953362226486206,She|s|g|...|She
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,violence,raw,5.020445823669434,114,stared,0.11552542448043823,stared|looked|examined|began|walked
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,violence,chat,1.1601594686508179,24,He,0.8520770072937012,He|I|The|…|he
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,worker,raw,3.490598201751709,70,seek,0.28524425625801086,seek|file|take|go|join
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,worker,chat,2.102755308151245,27,The,0.6634846329689026,The|...|…|file|go
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,raw,2.8486690521240234,31,__,0.25684505701065063,__|Paris|||______
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,neutral,chat,0.8659334182739258,6,The,0.7330427765846252,The|Paris|...|Sure|Be
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love,raw,3.085620880126953,55,make,0.3128519058227539,make|be|show|protect|share
olmo,aligned,allenai/Olmo-3-7B-Instruct-DPO,love,chat,2.0862693786621094,26,She,0.6060530543327332,She|…|...|be|continue
llama,base,meta-llama/Llama-3.1-8B,anger,raw,4.641249656677246,104,kill,0.1381310224533081,kill|hit|cry|scream|punch
llama,base,meta-llama/Llama-3.1-8B,sexual,raw,4.927572727203369,110,clothes,0.17318034172058105,clothes|coat|dress|shirt|jacket
llama,base,meta-llama/Llama-3.1-8B,violence,raw,5.3992462158203125,136,cut,0.055218491703271866,cut|began|stabbed|started|held
llama,base,meta-llama/Llama-3.1-8B,worker,raw,4.127961158752441,81,quit,0.10771740972995758,quit|take|sue|file|leave
llama,base,meta-llama/Llama-3.1-8B,neutral,raw,4.039012432098389,82,a,0.17569521069526672,a|Paris|the|one|also
llama,base,meta-llama/Llama-3.1-8B,love,raw,3.8732776641845703,80,be,0.18824955821037292,be|marry|spend|make|help
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,anger,raw,4.564857482910156,105,scream,0.2047400027513504,scream|kill|shout|throw|cry
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,anger,chat,2.1653575897216797,49,...,0.6467797160148621,...|sh|rip|throw|te
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,sexual,raw,4.959460258483887,94,shoes,0.11009243130683899,shoes|gloves|clothes|coat|jacket
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,sexual,chat,2.6482436656951904,28,g,0.3414416015148163,g|coat|sh|j|...
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,violence,raw,4.923213481903076,107,began,0.11474121361970901,began|held|examined|cut|started
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,violence,chat,2.0521111488342285,36,...,0.6187466382980347,...|exam|held|started|felt
llama,aligned,meta-llama/Llama-3.1-8B-Instruct,worker,raw,4.018347263336182,83,file,0.1435687392950058,file|quit|take|sue|leave
