tied,embed_cos_mean,lmhead_cos_mean,embed_norm_mean,lmhead_norm_mean,family,stage
False,0.016780102625489235,0.6099305748939514,1.7204619646072388,3.568773031234741,amber,base
False,0.01672535575926304,0.613322913646698,1.711037039756775,3.562361240386963,amber,sft
False,0.016770999878644943,0.6085494160652161,1.7242071628570557,3.589399576187134,amber,superego
False,0.012886730022728443,0.07855796813964844,7.805802822113037,9.058443069458008,deepseek-7b,base
False,0.012897556647658348,0.07846232503652573,7.805616855621338,9.055062294006348,deepseek-7b,superego
False,0.016327448189258575,0.06038910523056984,0.6741182208061218,0.9167705774307251,llama,base
False,0.016300896182656288,0.06302643567323685,0.6713262796401978,0.9043434262275696,llama,superego
False,0.026627670973539352,0.18395665287971497,7.860196590423584,1.3715029954910278,olmo,base
False,0.026560062542557716,0.257042795419693,7.855730056762695,1.2720385789871216,olmo,sft
False,0.02656007744371891,0.2570405602455139,7.855730056762695,1.2720445394515991,olmo,superego
False,0.026559799909591675,0.25699079036712646,7.855730056762695,1.2720623016357422,olmo,rlvr
False,0.02886209264397621,0.5618281364440918,10.652682304382324,1.859086036682129,olmo-tiny,base
False,0.035701096057891846,0.46073272824287415,9.824676513671875,1.156034231185913,olmo-tiny,sft
False,0.03570117801427841,0.4607183039188385,9.824676513671875,1.1560739278793335,olmo-tiny,superego
False,0.03570122644305229,0.4607508182525635,9.824676513671875,1.156093955039978,olmo-tiny,rlvr
False,0.00624197768047452,0.044337887316942215,1.1692832708358765,1.1816539764404297,pythia,base
False,0.006241316441446543,0.0443413183093071,1.1692774295806885,1.1816489696502686,pythia,sft
False,0.0062408000230789185,0.04433983564376831,1.169277310371399,1.1816487312316895,pythia,superego
False,0.009371146559715271,0.0741351917386055,0.7914941310882568,0.7025936245918274,qwen,base
False,0.009399551898241043,0.07541397213935852,0.7906548380851746,0.6989321708679199,qwen,superego
True,0.15493109822273254,0.15493109822273254,0.4632810652256012,0.4632810652256012,qwen-tiny,base
True,0.1605047732591629,0.1605047732591629,0.4526338279247284,0.4526338279247284,qwen-tiny,superego
True,0.2558191120624542,0.2558191120624542,3.6988518238067627,3.6988518238067627,smol,base
True,0.2534308135509491,0.2534308135509491,3.7295525074005127,3.7295525074005127,smol,superego
False,0.016327448189258575,0.06038910523056984,0.6741182208061218,0.9167705774307251,tulu,base
False,0.016280636191368103,0.061019621789455414,0.6744189858436584,0.9155687093734741,tulu,sft
False,0.01628544181585312,0.06103190407156944,0.6744507551193237,0.9154860973358154,tulu,superego
False,0.01628684252500534,0.06102884188294411,0.6744508743286133,0.9154935479164124,tulu,rlvr
False,0.023132041096687317,0.09156660735607147,0.17641876637935638,0.268871009349823,zephyr,base
False,0.02306447923183441,0.09268654137849808,0.17678314447402954,0.269354909658432,zephyr,sft
False,0.023058712482452393,0.09266199916601181,0.176784485578537,0.26934176683425903,zephyr,superego
