family,stage,prompt,layer,h_attention,h_value_proj
llama,base,She was so angry she wanted to,0,0.8278207262863484,11.540058135986328
llama,base,She was so angry she wanted to,1,0.657418254064396,10.362871170043945
llama,base,She was so angry she wanted to,2,0.38039346649020445,9.68017578125
llama,base,She was so angry she wanted to,3,0.5139471327420324,9.283321380615234
llama,base,She was so angry she wanted to,4,0.5658486610045657,9.49355411529541
llama,base,She was so angry she wanted to,5,0.6539961043745279,9.215682983398438
llama,base,She was so angry she wanted to,6,0.7699712675530463,9.364274978637695
llama,base,She was so angry she wanted to,7,0.8987142097903416,9.33096694946289
llama,base,She was so angry she wanted to,8,0.9773272967431694,9.240842819213867
llama,base,She was so angry she wanted to,9,0.9483859573956579,9.228567123413086
llama,base,She was so angry she wanted to,10,0.8523321534739807,8.689115524291992
llama,base,She was so angry she wanted to,11,0.9106415179558098,9.061445236206055
llama,base,She was so angry she wanted to,12,1.079588694497943,9.201674461364746
llama,base,She was so angry she wanted to,13,0.8380137551575899,8.999211311340332
llama,base,She was so angry she wanted to,14,0.8133947502356023,9.210668563842773
llama,base,She was so angry she wanted to,15,0.9193728309473954,9.196685791015625
llama,base,She was so angry she wanted to,16,0.6633676451456267,9.331636428833008
llama,base,She was so angry she wanted to,17,0.6911346937413327,9.146903991699219
llama,base,She was so angry she wanted to,18,0.5441541334148496,9.01957893371582
llama,base,She was so angry she wanted to,19,0.4013647511601448,9.691632270812988
llama,base,She was so angry she wanted to,20,0.38530373852699995,3.744489908218384
llama,base,She was so angry she wanted to,21,0.6209186181658879,9.55614948272705
llama,base,She was so angry she wanted to,22,0.38882599235512316,10.19109058380127
llama,base,She was so angry she wanted to,23,0.39581491297576576,8.812215805053711
llama,base,She was so angry she wanted to,24,0.2617376320413314,9.101192474365234
llama,base,She was so angry she wanted to,25,0.3092814444680698,9.768338203430176
llama,base,She was so angry she wanted to,26,0.45008772623259574,9.652006149291992
llama,base,She was so angry she wanted to,27,0.35783155052922666,9.562402725219727
llama,base,She was so angry she wanted to,28,0.4930496799061075,9.360005378723145
llama,base,She was so angry she wanted to,29,0.35355521214660257,2.6142449378967285
llama,base,She was so angry she wanted to,30,0.614120050566271,0.8102822303771973
llama,base,She was so angry she wanted to,31,0.6856738837086596,0.752021074295044
llama,base,She kneeled and reached for his,0,0.8941775733781592,11.651844024658203
llama,base,She kneeled and reached for his,1,0.6560672856867313,10.398484230041504
llama,base,She kneeled and reached for his,2,0.3751441758231522,9.677559852600098
llama,base,She kneeled and reached for his,3,0.7004132883157581,9.295877456665039
llama,base,She kneeled and reached for his,4,0.7285602767951787,9.514786720275879
llama,base,She kneeled and reached for his,5,0.7095116199343465,9.280865669250488
llama,base,She kneeled and reached for his,6,0.9016277119517326,9.305768013000488
llama,base,She kneeled and reached for his,7,0.9674588474445045,9.3170166015625
llama,base,She kneeled and reached for his,8,0.8526059694122523,9.285409927368164
llama,base,She kneeled and reached for his,9,0.9978708396665752,8.899438858032227
llama,base,She kneeled and reached for his,10,0.7509822567226365,8.903902053833008
llama,base,She kneeled and reached for his,11,1.0193317481316626,9.086788177490234
llama,base,She kneeled and reached for his,12,1.0584342908114195,9.287354469299316
llama,base,She kneeled and reached for his,13,0.9351618974469602,8.987040519714355
llama,base,She kneeled and reached for his,14,0.8931984207592905,8.863834381103516
llama,base,She kneeled and reached for his,15,0.9926067330525257,9.122304916381836
llama,base,She kneeled and reached for his,16,0.6533039293717593,9.3483247756958
llama,base,She kneeled and reached for his,17,0.6552218382712454,9.106729507446289
llama,base,She kneeled and reached for his,18,0.6257019529002719,8.997238159179688
llama,base,She kneeled and reached for his,19,0.3443496109684929,9.27018928527832
llama,base,She kneeled and reached for his,20,0.4806437592487782,3.888819932937622
llama,base,She kneeled and reached for his,21,0.5685683522606269,9.516385078430176
llama,base,She kneeled and reached for his,22,0.426757987588644,10.168984413146973
llama,base,She kneeled and reached for his,23,0.44523513317108154,9.08956527709961
llama,base,She kneeled and reached for his,24,0.24273697409080341,9.07398796081543
llama,base,She kneeled and reached for his,25,0.2598044319311157,9.806156158447266
llama,base,She kneeled and reached for his,26,0.36241442582104355,9.323873519897461
llama,base,She kneeled and reached for his,27,0.28265911305788904,9.62961196899414
llama,base,She kneeled and reached for his,28,0.42769278469495475,9.153568267822266
llama,base,She kneeled and reached for his,29,0.30321953690145165,2.8019092082977295
llama,base,She kneeled and reached for his,30,0.5139547425787896,0.9462682604789734
llama,base,She kneeled and reached for his,31,0.598246179317357,1.2054048776626587
llama,base,The capital of France is,0,0.8366150879697498,11.682632446289062
llama,base,The capital of France is,1,0.6331393434666097,10.500102996826172
llama,base,The capital of France is,2,0.37018985654140124,9.67123031616211
llama,base,The capital of France is,3,0.6505948593840003,9.278644561767578
llama,base,The capital of France is,4,0.7279245625250041,9.493972778320312
llama,base,The capital of France is,5,0.5492692708503455,9.195161819458008
llama,base,The capital of France is,6,0.5645754812285304,9.371196746826172
llama,base,The capital of France is,7,0.6800258602015674,9.180346488952637
llama,base,The capital of France is,8,0.7091303914785385,9.473520278930664
llama,base,The capital of France is,9,0.799799770116806,9.240970611572266
llama,base,The capital of France is,10,0.6884181960485876,8.733492851257324
llama,base,The capital of France is,11,0.6501148766838014,9.230255126953125
llama,base,The capital of France is,12,0.9986931495368481,9.396916389465332
llama,base,The capital of France is,13,0.9318362791091204,9.181913375854492
llama,base,The capital of France is,14,0.8310145924333483,9.094230651855469
llama,base,The capital of France is,15,0.8035345883108675,9.340826034545898
llama,base,The capital of France is,16,0.8806681025016587,9.462594032287598
llama,base,The capital of France is,17,0.7142724763834849,9.197134017944336
llama,base,The capital of France is,18,0.46152026194613427,8.75369644165039
llama,base,The capital of France is,19,0.33682883135043085,9.671884536743164
llama,base,The capital of France is,20,0.4210475073195994,3.8160879611968994
llama,base,The capital of France is,21,0.47635136521421373,9.556503295898438
llama,base,The capital of France is,22,0.4006181418662891,10.252775192260742
llama,base,The capital of France is,23,0.3506723844911903,9.054198265075684
llama,base,The capital of France is,24,0.21385175531031564,9.088444709777832
llama,base,The capital of France is,25,0.23947709565982223,9.78534984588623
llama,base,The capital of France is,26,0.3565014782361686,9.867192268371582
llama,base,The capital of France is,27,0.3295390937710181,9.629007339477539
llama,base,The capital of France is,28,0.4168470981530845,9.052522659301758
llama,base,The capital of France is,29,0.3472143051913008,2.7822227478027344
llama,base,The capital of France is,30,0.5779106544796377,0.9741663336753845
llama,base,The capital of France is,31,0.5405719758418854,0.9239861965179443
llama,base,She loved him and hated him and wanted to,0,1.0466041969848865,11.561538696289062
llama,base,She loved him and hated him and wanted to,1,0.7172776605002582,10.438743591308594
llama,base,She loved him and hated him and wanted to,2,0.3430774546941393,9.6875
llama,base,She loved him and hated him and wanted to,3,0.5230851292144507,9.316435813903809
llama,base,She loved him and hated him and wanted to,4,0.6519084668252617,9.48890495300293
llama,base,She loved him and hated him and wanted to,5,0.8152548456564546,9.23132610321045
llama,base,She loved him and hated him and wanted to,6,0.9752356316894293,9.298971176147461
llama,base,She loved him and hated him and wanted to,7,1.1533359265886247,9.3251953125
llama,base,She loved him and hated him and wanted to,8,1.1322935468051583,9.25994873046875
llama,base,She loved him and hated him and wanted to,9,1.234680152963847,8.900630950927734
llama,base,She loved him and hated him and wanted to,10,1.1268107276409864,9.044476509094238
llama,base,She loved him and hated him and wanted to,11,1.379244776442647,9.022011756896973
llama,base,She loved him and hated him and wanted to,12,1.3614926524460316,9.292322158813477
llama,base,She loved him and hated him and wanted to,13,1.315473691560328,8.079269409179688
llama,base,She loved him and hated him and wanted to,14,1.1209040763787925,9.47252082824707
llama,base,She loved him and hated him and wanted to,15,1.1827135010389611,9.252992630004883
llama,base,She loved him and hated him and wanted to,16,0.9963179649785161,9.314188003540039
llama,base,She loved him and hated him and wanted to,17,0.8188471088651568,9.131747245788574
llama,base,She loved him and hated him and wanted to,18,0.8307295556587633,9.020830154418945
llama,base,She loved him and hated him and wanted to,19,0.6115421142894775,9.651323318481445
llama,base,She loved him and hated him and wanted to,20,0.5145181120024063,3.660078525543213
llama,base,She loved him and hated him and wanted to,21,0.7044155633193441,9.520724296569824
llama,base,She loved him and hated him and wanted to,22,0.5198166237678379,10.184938430786133
llama,base,She loved him and hated him and wanted to,23,0.4767928668297827,8.696839332580566
llama,base,She loved him and hated him and wanted to,24,0.3200936489738524,9.082168579101562
llama,base,She loved him and hated him and wanted to,25,0.3595393461873755,9.841621398925781
llama,base,She loved him and hated him and wanted to,26,0.5055867892224342,9.567525863647461
llama,base,She loved him and hated him and wanted to,27,0.43607889278791845,9.579069137573242
llama,base,She loved him and hated him and wanted to,28,0.5888508742209524,9.51880931854248
