family,layer,prompt,gen_idx,window,violence_proj,procedural_proj,sexual_proj
olmo,base,anger,0,5,0.24152823,0.021227293,-0.0045388974
olmo,base,anger,0,10,0.16043139,0.020404365,-0.03291896
olmo,base,anger,0,15,0.13289683,0.028900364,-0.023044534
olmo,base,anger,0,20,0.12044299,0.046243154,-0.056904048
olmo,base,anger,0,30,0.19474506,0.07021902,-0.03326689
olmo,base,anger,0,49,0.24205405,0.08261745,-0.012328458
olmo,base,anger,1,5,0.2683617,0.012869259,0.00888231
olmo,base,anger,1,10,0.21564147,0.033677712,0.029213535
olmo,base,anger,1,15,0.16001189,-0.005502176,0.022249121
olmo,base,anger,1,20,0.19083512,-0.001799982,0.03783199
olmo,base,anger,1,30,0.18531254,-0.0068880063,0.027797049
olmo,base,anger,1,49,0.18875702,0.02749649,0.02369966
olmo,base,anger,2,5,0.013986841,0.09638016,-0.02185813
olmo,base,anger,2,10,0.19068608,0.11347189,0.016382216
olmo,base,anger,2,15,0.2255432,0.07068444,0.0005812766
olmo,base,anger,2,20,0.20770171,0.072416596,0.0067427903
olmo,base,anger,2,30,0.19843623,0.07570876,0.016430413
olmo,base,anger,2,49,0.14252731,0.08582885,0.033436254
olmo,base,anger,3,5,0.18337199,0.019966863,-0.032104652
olmo,base,anger,3,10,0.15597463,0.08772039,-0.032496184
olmo,base,anger,3,15,0.116852395,0.11970701,-0.04950453
olmo,base,anger,3,20,0.14970027,0.13928896,-0.022075009
olmo,base,anger,3,30,0.16796078,0.12570849,0.013651477
olmo,base,anger,3,49,0.15572575,0.108081,0.026149537
olmo,base,anger,4,5,0.28359327,0.016183304,0.0065922476
olmo,base,anger,4,10,0.16706797,0.039491374,-0.03480904
olmo,base,anger,4,15,0.2654563,0.036490984,-0.04053519
olmo,base,anger,4,20,0.2600048,0.024317151,-0.0681674
olmo,base,anger,4,30,0.22289044,0.022114549,-0.002614745
olmo,base,anger,4,49,0.22025637,0.026439812,-0.024302822
olmo,base,anger,5,5,0.09202857,0.045455895,0.08339896
olmo,base,anger,5,10,0.08327227,0.08578851,0.043299995
olmo,base,anger,5,15,0.04021484,0.09179726,0.082435675
olmo,base,anger,5,20,-0.014856973,0.116091564,0.092450276
olmo,base,anger,5,30,-0.018421894,0.08172205,0.0700065
olmo,base,anger,5,49,-0.029101059,0.09273461,0.05646877
olmo,base,anger,6,5,0.17717251,-0.0023867004,-0.08541807
olmo,base,anger,6,10,0.18223932,0.05198174,-0.07861824
olmo,base,anger,6,15,0.2319139,0.02391944,-0.08478155
olmo,base,anger,6,20,0.2216508,0.06314074,-0.084883556
olmo,base,anger,6,30,0.24576955,0.056880657,-0.12044757
olmo,base,anger,6,49,0.23808613,0.05915557,-0.10065356
olmo,base,anger,7,5,0.008347599,0.01844562,-0.09003733
olmo,base,anger,7,10,0.00921209,0.028261628,-0.08855742
olmo,base,anger,7,15,0.011298904,0.014732549,-0.042570353
olmo,base,anger,7,20,0.0081869215,0.023436574,-0.062448837
olmo,base,anger,7,30,-0.069737956,0.058117826,-0.02887463
olmo,base,anger,7,49,-0.026747303,0.020676155,-0.040924028
olmo,base,anger,8,5,0.08243094,0.11531264,-0.035169527
olmo,base,anger,8,10,0.21091239,0.03639565,-0.038543668
olmo,base,anger,8,15,0.034722127,0.021534804,-0.013008863
olmo,base,anger,8,20,0.012524495,0.09341559,-0.08262278
olmo,base,anger,8,30,0.026263122,0.067812465,-0.081831895
olmo,base,anger,8,49,0.05764601,0.09437861,-0.016393624
