layer,word,probability,logit,source,model,model_id
0,lush,0.01443392,9.4141,top_k,base,meta-llama/Llama-3.1-8B
0,Ernest,0.00861888,8.8984,top_k,base,meta-llama/Llama-3.1-8B
0,ese,0.0082887,8.8594,top_k,base,meta-llama/Llama-3.1-8B
0,ither,0.00615964,8.5625,top_k,base,meta-llama/Llama-3.1-8B
0,%B,0.00506678,8.3672,top_k,base,meta-llama/Llama-3.1-8B
0,kill,4.2e-07,-1.0195,tracked,base,meta-llama/Llama-3.1-8B
0,fuck,1.26e-06,0.0688,tracked,base,meta-llama/Llama-3.1-8B
0,kiss,3e-08,-3.582,tracked,base,meta-llama/Llama-3.1-8B
0,said,2.32e-06,0.6802,tracked,base,meta-llama/Llama-3.1-8B
0,the,7.1e-07,-0.5039,tracked,base,meta-llama/Llama-3.1-8B
0,scream,2.9e-07,-1.3965,tracked,base,meta-llama/Llama-3.1-8B
1,Roberto,0.01459648,9.6406,top_k,base,meta-llama/Llama-3.1-8B
1,frag,0.0117286,9.4219,top_k,base,meta-llama/Llama-3.1-8B
1,ither,0.00957261,9.2188,top_k,base,meta-llama/Llama-3.1-8B
1,poil,0.00935086,9.1953,top_k,base,meta-llama/Llama-3.1-8B
1,.truth,0.00728245,8.9453,top_k,base,meta-llama/Llama-3.1-8B
1,kill,2.2e-07,-1.4512,tracked,base,meta-llama/Llama-3.1-8B
1,fuck,4.1e-07,-0.8452,tracked,base,meta-llama/Llama-3.1-8B
1,kiss,7e-08,-2.666,tracked,base,meta-llama/Llama-3.1-8B
1,said,1.2e-07,-2.043,tracked,base,meta-llama/Llama-3.1-8B
1,the,2.9e-07,-1.1816,tracked,base,meta-llama/Llama-3.1-8B
1,scream,1.26e-06,0.2842,tracked,base,meta-llama/Llama-3.1-8B
2,ylie,0.01526585,10.6094,top_k,base,meta-llama/Llama-3.1-8B
2,alsy,0.01347207,10.4844,top_k,base,meta-llama/Llama-3.1-8B
2,�回,0.01032939,10.2188,top_k,base,meta-llama/Llama-3.1-8B
2,annonces,0.0082999,10.0,top_k,base,meta-llama/Llama-3.1-8B
2,tdown,0.00798194,9.9609,top_k,base,meta-llama/Llama-3.1-8B
2,kill,3e-08,-2.6582,tracked,base,meta-llama/Llama-3.1-8B
2,fuck,5.1e-07,0.2971,tracked,base,meta-llama/Llama-3.1-8B
2,kiss,1e-08,-3.2578,tracked,base,meta-llama/Llama-3.1-8B
2,said,1e-08,-4.1094,tracked,base,meta-llama/Llama-3.1-8B
2,the,1e-08,-3.5137,tracked,base,meta-llama/Llama-3.1-8B
2,scream,8.4e-07,0.8037,tracked,base,meta-llama/Llama-3.1-8B
3,tdown,0.06401408,12.0938,top_k,base,meta-llama/Llama-3.1-8B
3,eger,0.01877527,10.8672,top_k,base,meta-llama/Llama-3.1-8B
3,�回,0.00807514,10.0234,top_k,base,meta-llama/Llama-3.1-8B
3,tě,0.00623999,9.7656,top_k,base,meta-llama/Llama-3.1-8B
3,/loose,0.00533734,9.6094,top_k,base,meta-llama/Llama-3.1-8B
3,kill,4.4e-07,0.201,tracked,base,meta-llama/Llama-3.1-8B
3,fuck,5.9e-07,0.5005,tracked,base,meta-llama/Llama-3.1-8B
3,kiss,4e-08,-2.1074,tracked,base,meta-llama/Llama-3.1-8B
3,said,1e-08,-4.0,tracked,base,meta-llama/Llama-3.1-8B
3,the,2.4e-07,-0.4141,tracked,base,meta-llama/Llama-3.1-8B
3,scream,4e-08,-2.1406,tracked,base,meta-llama/Llama-3.1-8B
4,tdown,0.00968827,9.7812,top_k,base,meta-llama/Llama-3.1-8B
4,Ctrls,0.0078458,9.5703,top_k,base,meta-llama/Llama-3.1-8B
4,eyi,0.00676351,9.4219,top_k,base,meta-llama/Llama-3.1-8B
4,bé,0.00547725,9.2109,top_k,base,meta-llama/Llama-3.1-8B
4,kill,3.3e-07,-0.5186,tracked,base,meta-llama/Llama-3.1-8B
4,fuck,5e-07,-0.0954,tracked,base,meta-llama/Llama-3.1-8B
4,kiss,1e-08,-4.625,tracked,base,meta-llama/Llama-3.1-8B
4,said,5e-08,-2.4082,tracked,base,meta-llama/Llama-3.1-8B
4,the,7e-08,-2.127,tracked,base,meta-llama/Llama-3.1-8B
4,scream,9e-08,-1.8516,tracked,base,meta-llama/Llama-3.1-8B
5,-toggler,0.00846078,9.3047,top_k,base,meta-llama/Llama-3.1-8B
5,ène,0.00776405,9.2188,top_k,base,meta-llama/Llama-3.1-8B
5,airo,0.00690549,9.1016,top_k,base,meta-llama/Llama-3.1-8B
5,tdown,0.00664095,9.0625,top_k,base,meta-llama/Llama-3.1-8B
5,kill,8.8e-07,0.1378,tracked,base,meta-llama/Llama-3.1-8B
5,fuck,8e-08,-2.2812,tracked,base,meta-llama/Llama-3.1-8B
5,kiss,5e-08,-2.7168,tracked,base,meta-llama/Llama-3.1-8B
5,said,2.1e-07,-1.2832,tracked,base,meta-llama/Llama-3.1-8B
5,the,1.53e-06,0.6885,tracked,base,meta-llama/Llama-3.1-8B
5,scream,2.6e-07,-1.0781,tracked,base,meta-llama/Llama-3.1-8B
6,�回,0.03236886,10.5,top_k,base,meta-llama/Llama-3.1-8B
6,Trev,0.009059,9.2266,top_k,base,meta-llama/Llama-3.1-8B
6,sand,0.00793233,9.0938,top_k,base,meta-llama/Llama-3.1-8B
6,&C,0.0054518,8.7188,top_k,base,meta-llama/Llama-3.1-8B
6,kill,6.6e-07,-0.2957,tracked,base,meta-llama/Llama-3.1-8B
6,fuck,4e-08,-3.1328,tracked,base,meta-llama/Llama-3.1-8B
6,kiss,7e-08,-2.498,tracked,base,meta-llama/Llama-3.1-8B
6,said,2.9e-07,-1.127,tracked,base,meta-llama/Llama-3.1-8B
6,the,1.87e-06,0.7432,tracked,base,meta-llama/Llama-3.1-8B
6,scream,2.6e-07,-1.2266,tracked,base,meta-llama/Llama-3.1-8B
7,sand,0.03155831,10.625,top_k,base,meta-llama/Llama-3.1-8B
7,�回,0.01134072,9.6016,top_k,base,meta-llama/Llama-3.1-8B
7,\Context,0.01048845,9.5234,top_k,base,meta-llama/Llama-3.1-8B
7,�数,0.00677185,9.0859,top_k,base,meta-llama/Llama-3.1-8B
7,kill,2e-07,-1.3213,tracked,base,meta-llama/Llama-3.1-8B
7,fuck,1.7e-07,-1.5361,tracked,base,meta-llama/Llama-3.1-8B
7,kiss,1.2e-07,-1.8613,tracked,base,meta-llama/Llama-3.1-8B
7,said,5e-08,-2.7207,tracked,base,meta-llama/Llama-3.1-8B
7,the,2.2e-07,-1.2549,tracked,base,meta-llama/Llama-3.1-8B
7,scream,1.17e-06,0.4189,tracked,base,meta-llama/Llama-3.1-8B
8,�数,0.01480887,9.8516,top_k,base,meta-llama/Llama-3.1-8B
8,iano,0.01435325,9.8203,top_k,base,meta-llama/Llama-3.1-8B
8,barr,0.01380338,9.7812,top_k,base,meta-llama/Llama-3.1-8B
8,tdown,0.0108344,9.5391,top_k,base,meta-llama/Llama-3.1-8B
8,sand,0.00528026,8.8203,top_k,base,meta-llama/Llama-3.1-8B
8,kill,1.9e-07,-1.4355,tracked,base,meta-llama/Llama-3.1-8B
8,fuck,2.9e-07,-0.9844,tracked,base,meta-llama/Llama-3.1-8B
8,kiss,1.8e-07,-1.4453,tracked,base,meta-llama/Llama-3.1-8B
8,said,2e-08,-3.5938,tracked,base,meta-llama/Llama-3.1-8B
8,the,1.6e-07,-1.5869,tracked,base,meta-llama/Llama-3.1-8B
8,scream,1.67e-06,0.7607,tracked,base,meta-llama/Llama-3.1-8B
9,ahren,0.00949106,8.8906,top_k,base,meta-llama/Llama-3.1-8B
9,�数,0.0087778,8.8125,top_k,base,meta-llama/Llama-3.1-8B
9,-release,0.00799228,8.7188,top_k,base,meta-llama/Llama-3.1-8B
9,lane,0.00622439,8.4688,top_k,base,meta-llama/Llama-3.1-8B
9,adolescente,0.00580177,8.3984,top_k,base,meta-llama/Llama-3.1-8B
9,kill,1.18e-06,-0.1052,tracked,base,meta-llama/Llama-3.1-8B
9,fuck,2.2e-07,-1.7773,tracked,base,meta-llama/Llama-3.1-8B
9,kiss,1.51e-06,0.1436,tracked,base,meta-llama/Llama-3.1-8B
9,said,5e-08,-3.3672,tracked,base,meta-llama/Llama-3.1-8B
9,the,1.48e-06,0.1212,tracked,base,meta-llama/Llama-3.1-8B
9,scream,1.16e-06,-0.1155,tracked,base,meta-llama/Llama-3.1-8B
10,hous,0.01581346,9.3047,top_k,base,meta-llama/Llama-3.1-8B
10,.sax,0.01290657,9.1016,top_k,base,meta-llama/Llama-3.1-8B
10,cav,0.00696257,8.4844,top_k,base,meta-llama/Llama-3.1-8B
10,pedest,0.00638922,8.3984,top_k,base,meta-llama/Llama-3.1-8B
10,ики,0.00517415,8.1875,top_k,base,meta-llama/Llama-3.1-8B
10,kill,4.1e-07,-1.249,tracked,base,meta-llama/Llama-3.1-8B
10,fuck,6e-08,-3.2363,tracked,base,meta-llama/Llama-3.1-8B
10,kiss,1.22e-06,-0.1685,tracked,base,meta-llama/Llama-3.1-8B
