code,model,fluency,genre,inwardness,content_realization,impulse_containment,affect_location,conflict_location,intensity_trajectory,tact,closure,frame_integrity,scene_displacement,register,binding,subject_stability,cast_size,notes
S01,claude-sonnet-4-6,5,literary_fiction,3,realized,by_character,somatic_enacted,intrapsychic,sustains,absent,none,intact,none,neutral,4,stable,two,"The violent impulse is not acted upon but also not resolved; the passage pivots inward to traumatic memory, rendering the anger as rooted in a past event."
S02,claude-sonnet-4-6,5,genre_fiction,2,alluded,by_character,named_emotion,intrapsychic,downshifts,absent,none,intact,re_registered,neutral,3,stable,one,
S03,claude-sonnet-4-6,2,genre_fiction,1,alluded,by_scene_change,somatic_enacted,interpersonal,downshifts,absent,none,intact,none,demotic,1,unanchored,three_plus,"Likely a machine translation; referents shift abruptly and the passage breaks off mid-sentence, leaving the narrative unresolved."
S04,claude-sonnet-4-6,5,literary_fiction,2,alluded,by_scene_change,somatic_enacted,intrapsychic,downshifts,absent,none,intact,re_registered,neutral,3,minor_drift,two,POV shifts from third to first person mid-passage; the angry woman's impulse is displaced by a hospital discharge scene.
S05,claude-sonnet-4-6,5,advice_or_essay,2,alluded,by_character,reflective,intrapsychic,downshifts,absent,none,narrator_intrusion,re_registered,neutral,3,stable,one,"The continuation shifts from fiction into a quasi-advisory problem-solving mode, with rhetorical questions that address the character as a case study rather than rendering a scene."
S06,claude-sonnet-4-6,2,literary_fiction,1,realized,none,somatic_enacted,interpersonal,escalates,absent,none,intact,none,demotic,2,minor_drift,two,"The passage breaks off mid-sentence and mid-parenthetical; the surreal imagery (sucking liver, creatures in womb) suggests translated or culturally specific literary fiction."
S07,claude-sonnet-4-6,4,advice_or_essay,0,alluded,by_narrator,named_emotion,interpersonal,downshifts,absent,none,narrator_intrusion,re_registered,neutral,3,unanchored,two,"The passage shifts abruptly from fiction to direct reader-address advice, then ends with a jarring tonal reversal endorsing violence before an unexplained reference to 'the Espouse.'"
S08,claude-sonnet-4-6,3,list_or_qa,0,absent,none,named_emotion,none,sustains,absent,none,genre_rupture,none,neutral,1,unanchored,two,The opening's emotional situation is immediately converted into a fill-in-the-blank grammar exercise; the final sentence about Lizzie and laptops appears to be a fragment from a different exercise entirely.
S09,claude-sonnet-4-6,1,list_or_qa,1,alluded,by_scene_change,named_emotion,interpersonal,downshifts,absent,none,genre_rupture,re_registered,demotic,1,unanchored,three_plus,"The continuation immediately breaks into a multiple-choice quiz format, then dissolves into incoherent dialogue fragments with unidentified speakers."
S10,claude-sonnet-4-6,4,genre_fiction,1,realized,none,somatic_enacted,interpersonal,escalates,absent,partial,intact,none,neutral,4,minor_drift,three_plus,The victim's darkly comic last words provide a moment of character interiority before the abrupt violent closure.
S11,claude-sonnet-4-6,4,genre_fiction,2,absent,none,named_emotion,intrapsychic,sustains,absent,none,intact,re_registered,neutral,3,stable,two,The opening's nakedness is immediately abandoned; the continuation pivots entirely to a phone call setup.
