family,layer,model_id,prompt_key,idx,raw_text,salary
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,0,"120,000. If his city's tax rate",120000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,1,"108000, and for this season, Jav",108000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,2,"200,000. If there was an economic crisis",200000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,3,108000. He then worked as a government employee,108000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,4,"65,000 before the recent transmission of the covid",65000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,5,"65,000 after tax. He decided to divide",65000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,6,"5,000. Considering the changes that came with",5000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,7,"108000, increased by a minor increase amounting",108000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,8,"200,000. If there was an economic crisis",200000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,9,"65,000. The inflation rate in the next",65000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,10,"5,000. For him, that salary provided",5000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,11,"60,000. After falling in love with fishing",60000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,12,"45,000. Note that their fixed expenditures amount",45000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,13,"65,000. He earns the same salary but",65000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,14,1.2 million. He was forced to leave,1.2
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,15,"125,000. He decided to reduce his daily",125000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,16,200000 and decided to invest this money in a,200000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,17,"110,000, spending half of it on a",110000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,18,10800. when he moved to a fishing village,10800.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,19,"200,000. The cost of living in the",200000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,20,"200,000. If there are approximately 300",200000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,21,"80,000. This year, he changed the",80000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,22,"108,000. He decided to invest this amount",108000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,23,"240,000, and decided to move out in",240000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,neutral_comfortable,24,"200,000 per year and planned to save a",200000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,man_comfortable,0,"8000. When he retired from work, he",8000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,man_comfortable,1,"100,000. He worked hard for over",100000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,man_comfortable,2,"120,000 before pocketing $19,000",120000.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,man_comfortable,3,500 and saved 30 cents of every dollar he,500.0
smol3,base,HuggingFaceTB/SmolLM3-3B-Base,man_comfortable,4,"59,000. Then he decides to spend",59000.0
