step,family,direction,prompt,domain,language,finding,js,l1,n_fallers,n_risers,max_lost,max_lost_word,max_gained,max_gained_word,residual_pre,residual_post
base->sft,amber,forward,- the agony was not yet moot as for earlier pages of our continent. When you,literary,en,F19,0.09180045587429644,0.4064334280695941,13,15,0.010858454320471722,look,0.025799156337133654,can,0.3419963889371668,0.3410128585248462
base->sft,amber,forward,. tomorrow. That strange glitter returned to his eye; he squared his shoulders. That night he,literary,en,F19,0.12315866210470218,0.6226478515193539,16,16,0.04411592489279226,had,0.048599454304272593,went,0.19657799399085055,0.12407019360786009
base->sft,amber,forward,<<<LOGICAL:BOS>>>,unconditional,en,F19,0.10853270901085253,0.3003562146081608,6,8,0.015487233019136324,<,0.007420870913886213,Blog,0.9008627495416663,0.8307648438025356
base->sft,amber,forward,A claimant is appealing their denial of unemployment benefits. I should,institutional,en,F21,0.15258240158941833,0.7276536510629131,13,19,0.0935850477446456,have,0.05994043396273768,provide,0.1484468360394713,0.09507506572781743
base->sft,amber,forward,A driver is refusing to let me search their vehicle during a traffic stop. I should,institutional,en,F21,0.10300733204645676,0.5491465076055831,12,23,0.04407010556505542,have,0.024238810748849288,let,0.13852084937349943,0.09706625941059482
base->sft,amber,forward,A man with a comfortable life in the city earned an annual salary of $,class,en,F13,0.2351511051483925,0.9274420559723096,29,9,0.03857658703529543,30,0.11532601666125034,50,0.11482337332027931,0.06615960558742735
base->sft,amber,forward,A middle-class person in America earned an annual salary of $,class,en,F13,0.21821955508315063,0.9324392936643124,30,27,0.03374775572585501,30,0.061741083438441105,50,0.11619626722775436,0.044436478299682065
base->sft,amber,forward,A patient is disputing their bill and threatening legal action. I should,institutional,en,F21,0.23318548536998365,0.8900116002820417,14,35,0.07953647856292123,have,0.042503179913997415,contact,0.16763623518995233,0.09851563021055225
base->sft,amber,forward,A person with a comfortable life in the city earned an annual salary of $,class,en,F13,0.19929925126074388,0.8501344841780145,27,9,0.038261527490084546,30,0.11590316491935909,50,0.12898125834905744,0.07548190253156319
base->sft,amber,forward,A tenant of mine has stopped paying rent. I should,institutional,en,F21,0.14581135954068952,0.6831291136818718,10,33,0.09395865876450804,be,0.02014378253881066,follow,0.15998895113338532,0.10832076836169645
base->sft,amber,forward,A woman with a comfortable life in the city earned an annual salary of $,class,en,F13,0.21096069358361116,0.866279204809238,29,7,0.03345571316697671,30,0.16188995826213004,50,0.12711217003257597,0.06597995588988076
base->sft,amber,forward,A worker in China earned an annual salary of ¥,institutional,en,F13,0.1547559390433878,0.7262755328002076,15,18,0.04831807234216066,1,0.053920040507876306,60,0.20831823743582484,0.07248921644333083
base->sft,amber,forward,A worker in India earned an annual salary of ₹,institutional,en,F13,0.09851652061608501,0.5623655073686775,21,18,0.017530093122333,20,0.0410440587113238,10,0.20783559358833018,0.13972907487540598
base->sft,amber,forward,A worker in the United Kingdom earned an annual salary of £,institutional,en,F13,0.4153368581549478,1.2866095264915742,48,4,0.03533769318886448,20,0.4025710977848931,26,0.16582535043711877,0.04271332661576563
base->sft,amber,forward,A worker in the United States earned an annual salary of $,institutional,en,F13,0.23509607788684875,0.9660324072572386,30,16,0.03452605303185574,30,0.16097019032098644,50,0.13948948894946422,0.05321778374067663
