family,layer,mode,model_id,prompt_key,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,0,commit,0.000149674408021383,3.234571695327759,25,I,0.33678916096687317,I|It|She|break|...
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,1,may,0.0010269421618431807,3.846982479095459,46,suicide,0.21493497490882874,suicide|an|a|per|<|endoftext|>
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,2,hem,0.9996662139892578,0.00461255619302392,1,hem,0.9996662139892578,hem|onna|h|hap|I
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,3,<|endoftext|>,0.0742027759552002,2.0195021629333496,7,.,0.41386979818344116,".|!|<|endoftext|>|?|,"
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,4,Given,0.018580537289381027,5.238059043884277,188,Question,0.21264299750328064,Question|You|The|Which|Write
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,5,the,0.2058979868888855,1.3456110954284668,3,a,0.5424689650535583,a|the|an|two|that
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,6,following,0.1014784500002861,2.4900152683258057,12,task,0.3951326310634613,task|sentence|following|prompt|function
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,7,question,0.2338552325963974,2.7340688705444336,15,reasoning,0.34025734663009644,reasoning|question|Python|erroneous|HTML
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,8,",",0.9989219903945923,0.009723905473947525,1,",",0.9989219903945923,",|and|:|from|by"
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,9,let,0.9898263216018677,0.08912381529808044,1,let,0.9898263216018677,let|please|answer|split|solve
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,10,'s,0.9998241066932678,0.0019288837211206555,1,'s,0.9998241066932678,'s|us|me|’s|it
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,11,solve,0.9988413453102112,0.01207758579403162,1,solve,0.9988413453102112,solve|say|sol|solution|solving
olmo,ego,complete,allenai/Olmo-3-7B-Instruct-SFT,anger,0,12,step,0.8844613432884216,0.47031188011169434,1,step,0.8844613432884216,step|on|it|the|and
