lineage,category,roles
01-ai/Yi-1.5-9B,death,judge|source
01-ai/Yi-1.5-9B,neutral,judge|source
01-ai/Yi-1.5-9B,power,judge|source
01-ai/Yi-1.5-9B,profanity,judge|source
01-ai/Yi-1.5-9B,sexual_explicit,judge|source
01-ai/Yi-1.5-9B,sexual_liminal,judge|source
01-ai/Yi-1.5-9B,substance,judge|source
01-ai/Yi-1.5-9B,violence_explicit,judge|source
01-ai/Yi-1.5-9B,violence_liminal,judge|source
EleutherAI/pythia-2.8b,death,judge|source
EleutherAI/pythia-2.8b,neutral,judge|source
EleutherAI/pythia-2.8b,power,judge|source
EleutherAI/pythia-2.8b,profanity,judge|source
EleutherAI/pythia-2.8b,sexual_explicit,judge|source
EleutherAI/pythia-2.8b,sexual_liminal,judge|source
EleutherAI/pythia-2.8b,substance,judge|source
EleutherAI/pythia-2.8b,violence_explicit,judge|source
EleutherAI/pythia-2.8b,violence_liminal,judge|source
EleutherAI/pythia-6.9b,death,judge|source
EleutherAI/pythia-6.9b,neutral,judge|source
EleutherAI/pythia-6.9b,power,judge|source
EleutherAI/pythia-6.9b,profanity,judge|source
EleutherAI/pythia-6.9b,sexual_explicit,judge|source
EleutherAI/pythia-6.9b,sexual_liminal,judge|source
EleutherAI/pythia-6.9b,substance,judge|source
EleutherAI/pythia-6.9b,violence_explicit,judge|source
EleutherAI/pythia-6.9b,violence_liminal,judge|source
HuggingFaceTB/SmolLM2-360M,death,judge|source
HuggingFaceTB/SmolLM2-360M,neutral,judge|source
HuggingFaceTB/SmolLM2-360M,power,judge|source
HuggingFaceTB/SmolLM2-360M,profanity,judge|source
HuggingFaceTB/SmolLM2-360M,sexual_explicit,judge|source
HuggingFaceTB/SmolLM2-360M,sexual_liminal,judge|source
HuggingFaceTB/SmolLM2-360M,substance,judge|source
HuggingFaceTB/SmolLM2-360M,violence_explicit,judge|source
HuggingFaceTB/SmolLM2-360M,violence_liminal,judge|source
HuggingFaceTB/SmolLM3-3B-Base,death,judge|source
HuggingFaceTB/SmolLM3-3B-Base,neutral,judge|source
HuggingFaceTB/SmolLM3-3B-Base,power,judge|source
HuggingFaceTB/SmolLM3-3B-Base,profanity,judge|source
HuggingFaceTB/SmolLM3-3B-Base,sexual_explicit,judge|source
HuggingFaceTB/SmolLM3-3B-Base,sexual_liminal,judge|source
HuggingFaceTB/SmolLM3-3B-Base,substance,judge|source
HuggingFaceTB/SmolLM3-3B-Base,violence_explicit,judge|source
HuggingFaceTB/SmolLM3-3B-Base,violence_liminal,judge|source
LLM360/Amber,death,judge|source
LLM360/Amber,neutral,judge|source
LLM360/Amber,power,judge|source
LLM360/Amber,profanity,judge|source
LLM360/Amber,sexual_explicit,judge|source
LLM360/Amber,sexual_liminal,judge|source
LLM360/Amber,substance,judge|source
LLM360/Amber,violence_explicit,judge|source
LLM360/Amber,violence_liminal,judge|source
Qwen/Qwen2.5-7B,death,judge|source
Qwen/Qwen2.5-7B,neutral,judge|source
Qwen/Qwen2.5-7B,power,judge|source
Qwen/Qwen2.5-7B,profanity,judge|source
Qwen/Qwen2.5-7B,sexual_explicit,judge|source
Qwen/Qwen2.5-7B,sexual_liminal,judge|source
Qwen/Qwen2.5-7B,substance,judge|source
Qwen/Qwen2.5-7B,violence_explicit,judge|source
Qwen/Qwen2.5-7B,violence_liminal,judge|source
Qwen/Qwen3-8B-Base,death,judge|source
Qwen/Qwen3-8B-Base,neutral,judge|source
Qwen/Qwen3-8B-Base,power,judge|source
Qwen/Qwen3-8B-Base,profanity,judge|source
Qwen/Qwen3-8B-Base,sexual_explicit,judge|source
Qwen/Qwen3-8B-Base,sexual_liminal,judge|source
Qwen/Qwen3-8B-Base,substance,judge|source
Qwen/Qwen3-8B-Base,violence_explicit,judge|source
Qwen/Qwen3-8B-Base,violence_liminal,judge|source
RWKV/rwkv-4-7b-pile,death,judge|source
RWKV/rwkv-4-7b-pile,neutral,judge|source
RWKV/rwkv-4-7b-pile,power,judge|source
RWKV/rwkv-4-7b-pile,profanity,judge|source
RWKV/rwkv-4-7b-pile,sexual_explicit,judge|source
RWKV/rwkv-4-7b-pile,sexual_liminal,judge|source
RWKV/rwkv-4-7b-pile,substance,judge|source
RWKV/rwkv-4-7b-pile,violence_explicit,judge|source
RWKV/rwkv-4-7b-pile,violence_liminal,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,death,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,neutral,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,power,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,profanity,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,sexual_explicit,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,sexual_liminal,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,substance,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,violence_explicit,judge|source
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,violence_liminal,judge|source
allenai/OLMo-2-0425-1B,death,judge|source
allenai/OLMo-2-0425-1B,neutral,judge|source
allenai/OLMo-2-0425-1B,power,judge|source
allenai/OLMo-2-0425-1B,profanity,judge|source
allenai/OLMo-2-0425-1B,sexual_explicit,judge|source
allenai/OLMo-2-0425-1B,sexual_liminal,judge|source
allenai/OLMo-2-0425-1B,substance,judge|source
allenai/OLMo-2-0425-1B,violence_explicit,judge|source
allenai/OLMo-2-0425-1B,violence_liminal,judge|source
allenai/Olmo-3-1125-32B,death,judge|source
allenai/Olmo-3-1125-32B,neutral,judge|source
allenai/Olmo-3-1125-32B,power,judge|source
allenai/Olmo-3-1125-32B,profanity,judge|source
allenai/Olmo-3-1125-32B,sexual_explicit,judge|source
allenai/Olmo-3-1125-32B,sexual_liminal,judge|source
allenai/Olmo-3-1125-32B,substance,judge|source
allenai/Olmo-3-1125-32B,violence_explicit,judge|source
allenai/Olmo-3-1125-32B,violence_liminal,judge|source
allenai/Olmo-Hybrid-7B,death,judge|source
allenai/Olmo-Hybrid-7B,neutral,judge|source
allenai/Olmo-Hybrid-7B,power,judge|source
allenai/Olmo-Hybrid-7B,profanity,judge|source
allenai/Olmo-Hybrid-7B,sexual_explicit,judge|source
allenai/Olmo-Hybrid-7B,sexual_liminal,judge|source
allenai/Olmo-Hybrid-7B,substance,judge|source
allenai/Olmo-Hybrid-7B,violence_explicit,judge|source
allenai/Olmo-Hybrid-7B,violence_liminal,judge|source
bigscience/bloom-7b1,death,judge|source
bigscience/bloom-7b1,neutral,judge|source
bigscience/bloom-7b1,power,judge|source
bigscience/bloom-7b1,profanity,judge|source
bigscience/bloom-7b1,sexual_explicit,judge|source
bigscience/bloom-7b1,sexual_liminal,judge|source
bigscience/bloom-7b1,substance,judge|source
bigscience/bloom-7b1,violence_explicit,judge|source
bigscience/bloom-7b1,violence_liminal,judge|source
deepseek-ai/deepseek-llm-7b-base,death,judge|source
deepseek-ai/deepseek-llm-7b-base,neutral,judge|source
deepseek-ai/deepseek-llm-7b-base,power,judge|source
deepseek-ai/deepseek-llm-7b-base,profanity,judge|source
deepseek-ai/deepseek-llm-7b-base,sexual_explicit,judge|source
deepseek-ai/deepseek-llm-7b-base,sexual_liminal,judge|source
deepseek-ai/deepseek-llm-7b-base,substance,judge|source
deepseek-ai/deepseek-llm-7b-base,violence_explicit,judge|source
deepseek-ai/deepseek-llm-7b-base,violence_liminal,judge|source
m-a-p/CT-LLM-Base,death,judge|source
m-a-p/CT-LLM-Base,neutral,judge|source
m-a-p/CT-LLM-Base,power,judge|source
m-a-p/CT-LLM-Base,profanity,judge|source
m-a-p/CT-LLM-Base,sexual_explicit,judge|source
m-a-p/CT-LLM-Base,sexual_liminal,judge|source
m-a-p/CT-LLM-Base,substance,judge|source
m-a-p/CT-LLM-Base,violence_explicit,judge|source
m-a-p/CT-LLM-Base,violence_liminal,judge|source
m-a-p/neo_7b,death,judge|source
m-a-p/neo_7b,neutral,judge|source
m-a-p/neo_7b,power,judge|source
m-a-p/neo_7b,profanity,judge|source
m-a-p/neo_7b,sexual_explicit,judge|source
m-a-p/neo_7b,sexual_liminal,judge|source
m-a-p/neo_7b,substance,judge|source
m-a-p/neo_7b,violence_explicit,judge|source
m-a-p/neo_7b,violence_liminal,judge|source
meta-llama/Llama-3.1-8B,death,judge|source
meta-llama/Llama-3.1-8B,neutral,judge|source
meta-llama/Llama-3.1-8B,power,judge|source
meta-llama/Llama-3.1-8B,profanity,judge|source
meta-llama/Llama-3.1-8B,sexual_explicit,judge|source
