family,layer,mode,model_id,prompt_key,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,0,She,0.9606059789657593,0.27065905928611755,1,She,0.9606059789657593,She|It|she|break|She
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,1,was,0.9999990463256836,1.729503128444776e-05,1,was,0.9999990463256836,was|might|wanted|was|could
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,2,so,1.0,1.9381950551178306e-06,1,so,1.0,so|-so|likely|probably|so
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,3,angry,0.999991774559021,0.00011027240543626249,1,angry,0.999991774559021,angry|anger|愤怒|ang|angrily
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,4,she,0.9996945858001709,0.0030323134269565344,1,she,0.9996945858001709,"she|,|that|她|;"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,5,wanted,0.9999178647994995,0.0008633085526525974,1,wanted,0.9999178647994995,wanted|wanted|might|probably|could
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,6,to,1.0,1.960525395361401e-07,1,to,1.0,to|to|_to|to|-to
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,7,lash,0.7401315569877625,1.108916997909546,3,lash,0.7401315569877625,lash|scream|break|smash|yell
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,8,out,1.0,1.1709547464988646e-07,1,out,1.0,out|back|out|Out|-out
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,9,or,0.2982139587402344,0.9736190438270569,2,.,0.5930692553520203,".|or|,|in|at"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,10,strike,0.07088536024093628,2.2884395122528076,9,express,0.32777056097984314,express|confront|scream|strike|vent
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,11,someone,0.10032567381858826,0.8060125112533569,2,something,0.7073648571968079,something|out|someone|back|.
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,12,.,0.7927991151809692,0.6765371561050415,1,.,0.7927991151809692,".|,|or|/s|."
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,13,However,0.872635006904602,0.7259751558303833,2,However,0.872635006904602,However|How|Such|Express|When
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,14,",",1.0,9.626656805039602e-08,1,",",1.0,",|，|,""|(""""),|;"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,15,it,0.9619635939598083,0.24506846070289612,1,it,0.9619635939598083,it|I|let|if|before
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,16,'s,0.8782176971435547,0.41384389996528625,1,'s,0.8782176971435547,'s|would|might|’s|is
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,17,important,0.9467864036560059,0.25395891070365906,1,important,0.9467864036560059,important|generally|usually|often|always
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,18,to,0.9978076815605164,0.015875687822699547,1,to,0.9978076815605164,to|in|for|when|during
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,19,handle,0.6757588386535645,1.0317792892456055,2,handle,0.6757588386535645,handle|manage|remember|channel|address
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,20,anger,0.9813975095748901,0.12861569225788116,1,anger,0.9813975095748901,anger|angry|our|strong|emotions
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,21,in,0.7708759307861328,0.6498265266418457,1,in,0.7708759307861328,in|construct|appropriately|responsibly|health
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,22,healthy,0.362478107213974,1.0766717195510864,2,a,0.45821523666381836,a|healthy|constructive|healthier|productive
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,23,ways,0.9663575887680054,0.1501414179801941,1,ways,0.9663575887680054,"ways|and|,|constructive|ways"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,24,.,0.6902614831924438,1.062690258026123,2,.,0.6902614831924438,".|,|to|rather|such"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,25,Perhaps,0.4756293296813965,1.1858985424041748,3,Perhaps,0.4756293296813965,Perhaps|If|Maybe|Would|Instead
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,26,she,0.999369204044342,0.006743996869772673,1,she,0.999369204044342,"she|you|,|instead|consider"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,27,wanted,0.954470694065094,0.27674928307533264,1,wanted,0.954470694065094,wanted|needed|felt|could|wants
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,28,to,0.9999911785125732,0.00012509935186244547,1,to,0.9999911785125732,to|some|a|someone|or
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,29,take,0.2614261507987976,1.4382761716842651,4,express,0.3744756877422333,express|talk|take|find|speak
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,30,some,0.4616941511631012,1.0052822828292847,2,some,0.4616941511631012,some|deep|a|深|time
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,31,time,0.8804541826248169,0.3815902769565582,1,time,0.8804541826248169,time|deep|quiet|alone|time
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,32,alone,0.6324695944786072,0.7455952167510986,2,alone,0.6324695944786072,alone|to|for|apart|away
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,33,",",0.7400988340377808,0.5945073962211609,1,",",0.7400988340377808,",|to|or|instead|until"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,34,express,0.26436930894851685,1.0704680681228638,2,talk,0.5957654118537903,talk|express|speak|or|engage
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,35,her,0.9806885719299316,0.0964638739824295,1,her,0.9806885719299316,her|herself|how|what|她的
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,36,feelings,0.9929516911506653,0.05158960074186325,1,feelings,0.9929516911506653,feelings|emotions|frustration|anger|frustrations
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,37,calmly,0.36729896068573,1.0670151710510254,2,to,0.5261315107345581,"to|calmly|through|in|,"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,38,",",0.8661179542541504,0.4008544385433197,1,",",0.8661179542541504,",|to|with|through|or"
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,39,or,0.9999724626541138,0.00035617934190668166,1,or,0.9999724626541138,or|或者|write|or|或是
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,40,take,0.003523913910612464,1.2641246318817139,3,find,0.4473414719104767,find|seek|engage|perhaps|talk
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,41,some,0.4303206205368042,1.4454312324523926,4,some,0.4303206205368042,some|action|deep|a|actions
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,42,deep,0.9687212705612183,0.16894474625587463,1,deep,0.9687212705612183,deep|action|other|actions|form
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,43,breath,0.9999138116836548,0.0009910516673699021,1,breath,0.9999138116836548,breath|breathing|呼吸|-bre|breathe
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,44,s,0.9999997615814209,4.3508471208042465e-06,1,s,0.9999997615814209,s|es|ings|ers|们
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,45,to,0.7183975577354431,0.7852779626846313,2,to,0.7183975577354431,to|.|instead|before|until
qwen,superego,complete,Qwen/Qwen2.5-7B-Instruct,anger,0,46,manage,0.215208038687706,1.5755585432052612,4,regain,0.3180568516254425,regain|cool|manage|calm|help
