family,layer,model_id,prompt_key,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
qwen,base,Qwen/Qwen2.5-7B,anger,0,0,quit,0.0060189636424183846,4.622629165649414,101,______,0.14469130337238312,______|____|do|____|__
qwen,base,Qwen/Qwen2.5-7B,anger,0,1,",",0.04953453317284584,2.341991901397705,45,her,0.589475154876709,"her|,|the|and|."
qwen,base,Qwen/Qwen2.5-7B,anger,0,2,but,0.7364766001701355,1.7661564350128174,37,but,0.7364766001701355,but|and|she|so|what
qwen,base,Qwen/Qwen2.5-7B,anger,0,3,she,0.31838348507881165,3.4775259494781494,68,she,0.31838348507881165,she|her|I|then|the
qwen,base,Qwen/Qwen2.5-7B,anger,0,4,put,0.0016837302828207612,4.291643142700195,95,didn,0.1009637713432312,didn|decided|knew|was|______
qwen,base,Qwen/Qwen2.5-7B,anger,0,5,her,0.4036039113998413,2.4020209312438965,29,her,0.4036039113998413,her|on|herself|in|up
qwen,base,Qwen/Qwen2.5-7B,anger,0,6,anger,0.028013618662953377,3.4422225952148438,53,pride,0.22733865678310394,pride|______|____|feelings|foot
qwen,base,Qwen/Qwen2.5-7B,anger,0,7,aside,0.3277330994606018,2.6266775131225586,32,aside,0.3277330994606018,aside|into|on|to|in
qwen,base,Qwen/Qwen2.5-7B,anger,0,8,.,0.012500624172389507,1.6946643590927124,25,and,0.6512565016746521,"and|to|for|,|."
qwen,base,Qwen/Qwen2.5-7B,anger,0,9,Does,0.4528861939907074,3.3672122955322266,64,Does,0.4528861939907074,Does|What|How|Make|Assistant
qwen,base,Qwen/Qwen2.5-7B,anger,0,10,it,0.9939424395561218,0.0557323582470417,3,it,0.9939424395561218,it|this|the|put|quit
qwen,base,Qwen/Qwen2.5-7B,anger,0,11,follow,0.9999679327011108,0.0004401484038680792,1,follow,0.9999679327011108,follow|follows|logically|mean|imply
qwen,base,Qwen/Qwen2.5-7B,anger,0,12,that,0.9999996423721313,8.577250810049009e-06,1,that,0.9999996423721313,"that|,|from|""|if"
qwen,base,Qwen/Qwen2.5-7B,anger,0,13,"""",0.9991382360458374,0.00832319539040327,1,"""",0.9991382360458374,"""|""""|she|""(|the"
qwen,base,Qwen/Qwen2.5-7B,anger,0,14,She,0.8831836581230164,0.7716949582099915,18,She,0.8831836581230164,She|The|Her|Ang|she
qwen,base,Qwen/Qwen2.5-7B,anger,0,15,put,0.0709553137421608,3.6744256019592285,74,was,0.2719995081424713,was|wanted|put|had|didn
qwen,base,Qwen/Qwen2.5-7B,anger,0,16,aside,0.29567426443099976,1.0924960374832153,13,her,0.6259424686431885,her|aside|away|the|all
qwen,base,Qwen/Qwen2.5-7B,anger,0,17,her,0.9187564253807068,0.472709059715271,9,her,0.9187564253807068,her|the|all|anger|any
qwen,base,Qwen/Qwen2.5-7B,anger,0,18,anger,0.9293076992034912,0.5868527293205261,14,anger,0.9293076992034912,anger|emotions|feelings|rage|angry
qwen,base,Qwen/Qwen2.5-7B,anger,0,19,and,0.3570529520511627,2.436321258544922,31,and,0.3570529520511627,"and|.""|to|because|,"
qwen,base,Qwen/Qwen2.5-7B,anger,0,20,proceeded,0.004555010702461004,3.8673579692840576,81,continued,0.23916780948638916,continued|kept|went|stayed|finished
qwen,base,Qwen/Qwen2.5-7B,anger,0,21,to,0.2869762182235718,1.8645799160003662,21,".""",0.3627719283103943,".""|to|with|.|as"
qwen,base,Qwen/Qwen2.5-7B,anger,0,22,confront,0.005384216085076332,4.195706367492676,93,work,0.1314707249403,work|finish|continue|quit|do
qwen,base,Qwen/Qwen2.5-7B,anger,0,23,the,0.5036993622779846,1.5970349311828613,19,the,0.5036993622779846,the|her|him|them|whoever
qwen,base,Qwen/Qwen2.5-7B,anger,0,24,perpetrator,0.005808158311992884,3.204517364501953,47,person,0.2798527479171753,person|issue|problem|situation|other
qwen,base,Qwen/Qwen2.5-7B,anger,0,25,".""",0.7348862886428833,1.0867222547531128,18,".""",0.7348862886428833,".""|.|of|,|with"
qwen,base,Qwen/Qwen2.5-7B,anger,0,26,?,0.9525229930877686,0.2126602828502655,3,?,0.9525229930877686,?|?|?|?|?
qwen,base,Qwen/Qwen2.5-7B,anger,0,27,Available,0.12667278945446014,2.3911967277526855,18,Choose,0.14809550344944,Choose|Select|Pick|Available|Options
qwen,base,Qwen/Qwen2.5-7B,anger,0,28,options,0.5070800185203552,0.7123899459838867,2,options,0.5070800185203552,options|choices|choice|selections|alternatives
qwen,base,Qwen/Qwen2.5-7B,anger,0,29,:,0.4032885432243347,0.6821588277816772,2,:,0.596021831035614,:|:|are|:|:
qwen,base,Qwen/Qwen2.5-7B,anger,0,30,[,0.08786730468273163,2.237792491912842,12,(,0.27924174070358276,(|A||a|[
qwen,base,Qwen/Qwen2.5-7B,anger,0,31,I,0.31184571981430054,1.1272647380828857,3,+],0.358932226896286,+]|i|I|1|a
qwen,base,Qwen/Qwen2.5-7B,anger,0,32,],0.9999794960021973,0.00024496170226484537,1,],0.9999794960021973,]|].|}|.]|](
