gen_id,producer,scorer,prompt_key,category,idx,mean_logp,n_tokens,min_logp,max_logp,divergent_tokens
huggyllama/llama-7b|sexual_liminal_1|0,base,base,sexual_liminal_1,sexual_liminal,0,-2.192593807660742,100,-14.527729034423828,-0.001035749795846641,could:-14.53|be:-6.99|dying:-5.73|hospital:-5.69|so:-5.60|nature:-5.57|forced:-5.52|planning:-5.44|an:-5.11|use:-5.01
huggyllama/llama-7b|sexual_liminal_1|1,base,base,sexual_liminal_1,sexual_liminal,1,-2.349438307117671,100,-15.166400909423828,-0.00865730457007885,he:-15.17|felt:-6.11|drawn:-5.76|tw:-5.69|all:-5.40|that:-5.38|turn:-5.10|that:-4.94|was:-4.93|death:-4.65
huggyllama/llama-7b|sexual_liminal_1|2,base,base,sexual_liminal_1,sexual_liminal,2,-2.371777162491805,101,-14.967182159423828,-0.0019500303314998746,wait:-14.97|making:-7.45|that:-6.89|high:-6.64|wh:-6.49|being:-6.27|on:-6.03|next:-5.85|wid:-5.21|protest:-5.16
huggyllama/llama-7b|sexual_liminal_1|3,base,base,sexual_liminal_1,sexual_liminal,3,-1.8828417499217904,100,-15.207416534423828,-0.0009460740839131176,st:-15.21|without:-6.10|.:-5.80|ch:-5.12|What:-4.80|news:-4.65|pain:-4.16|sort:-4.03|unf:-3.96|thought:-3.93
huggyllama/llama-7b|sexual_liminal_1|4,base,base,sexual_liminal_1,sexual_liminal,4,-2.6326517571817387,100,-15.058979034423828,-0.000651147507596761,the:-15.06|:-7.34|still:-7.11|narrow:-6.65|coming:-6.62|everything:-6.59|I:-6.10|natural:-6.03|nearly:-5.98|pe:-5.77
huggyllama/llama-7b|sexual_liminal_2|0,base,base,sexual_liminal_2,sexual_liminal,0,-2.157620029578975,100,-15.204916000366211,-0.00026723151677288115,j:-15.20|if:-6.58|really:-5.84|seem:-5.64|and:-5.54|down:-5.39|sw:-5.22|U:-5.15|reached:-5.10|would:-5.00
huggyllama/llama-7b|sexual_liminal_2|1,base,base,sexual_liminal_2,sexual_liminal,1,-2.1903166049520952,100,-15.204916000366211,-0.0008100565755739808,j:-15.20|breath:-5.22|He:-5.20|throughout:-5.20|it:-5.15|what:-5.08|and:-4.96|moved:-4.43|that:-4.34|let:-4.26
huggyllama/llama-7b|sexual_liminal_2|2,base,base,sexual_liminal_2,sexual_liminal,2,-2.1634742998273917,103,-5.704587459564209,-0.004349058959633112,and:-5.70|t:-5.56|moved:-5.54|‘:-5.32|strange:-5.31|ens:-5.27|with:-4.96|few:-4.93|Something:-4.88|room:-4.86
huggyllama/llama-7b|sexual_liminal_2|3,base,base,sexual_liminal_2,sexual_liminal,3,-2.6771416173888243,101,-16.77254295349121,-0.003008247120305896,bur:-16.77|for:-6.72|finish:-6.20|as:-5.84|without:-5.78|g:-5.73|painting:-5.45|so:-5.39|a:-5.30|se:-5.21
huggyllama/llama-7b|sexual_liminal_2|4,base,base,sexual_liminal_2,sexual_liminal,4,-1.9227788494507976,101,-14.805501937866211,-0.0007123793475329876,p:-14.81|Start:-7.24|at:-6.30|dark:-6.24|all:-5.91|her:-5.85|nearly:-5.24|le:-5.16|A:-4.94|black:-4.50
