family,label,prompt,axis,source,target,similarity,layer,source_pos,target_pos,target_freq,displacement_type,syntagmatic_js
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,the,0.8687,21,PRON,PRON,7.73,genre_change,0.374568
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7834,21,VERB,VERB,3.6,register_shift,0.628328
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,the,0.7784,14,PRON,PRON,7.73,genre_change,0.374568
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,looked,0.768,21,VERB,VERB,5.11,register_shift,0.606945
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.7597,21,VERB,VERB,2.83,archaic,0.619866
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,the,0.7485,7,PRON,PRON,7.73,genre_change,0.374568
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,felt,0.7485,21,VERB,VERB,5.13,register_shift,0.193782
qwen,sexual_liminal_1,He lay naked in his bed and,repression,waited,stared,0.7393,21,VERB,VERB,3.6,register_shift,0.601059
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7279,14,VERB,VERB,3.6,register_shift,0.628328
qwen,sexual_liminal_1,He lay naked in his bed and,repression,waited,gazed,0.7204,21,VERB,VERB,2.83,archaic,0.592695
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,gazed,0.7154,21,PRON,VERB,2.83,archaic,0.617342
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,looked,0.7142,14,VERB,VERB,5.11,register_shift,0.606945
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,felt,0.7066,14,VERB,VERB,5.13,register_shift,0.193782
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,gazed,0.7023,14,VERB,VERB,2.83,archaic,0.619866
qwen,sexual_liminal_1,He lay naked in his bed and,repression,waited,looked,0.7023,21,VERB,VERB,5.11,register_shift,0.576145
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,felt,0.6973,7,VERB,VERB,5.13,register_shift,0.193782
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,felt,0.6934,21,PRON,VERB,5.13,category_shift,0.558122
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,the,0.6906,21,VERB,PRON,7.73,genre_change,0.584181
qwen,sexual_liminal_1,He lay naked in his bed and,repression,listened,stared,0.6881,21,VERB,VERB,3.6,register_shift,0.62775
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,held,0.6878,21,VERB,VERB,5.24,register_shift,0.252433
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,she,0.6871,21,PRON,PRON,6.26,genre_change,0.603128
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,gazed,0.6864,21,VERB,VERB,2.83,archaic,0.628619
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,held,0.6857,21,VERB,VERB,5.24,register_shift,0.216621
qwen,sexual_liminal_1,He lay naked in his bed and,repression,waited,felt,0.6747,21,VERB,VERB,5.13,register_shift,0.581712
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,looked,0.6741,21,VERB,VERB,5.11,register_shift,0.615885
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,looked,0.6734,7,VERB,VERB,5.11,register_shift,0.606945
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,felt,0.6685,21,VERB,VERB,5.13,register_shift,0.271463
qwen,sexual_liminal_1,He lay naked in his bed and,repression,listened,looked,0.6685,21,VERB,VERB,5.11,register_shift,0.619489
qwen,sexual_liminal_1,He lay naked in his bed and,repression,heard,stared,0.6654,21,VERB,VERB,3.6,register_shift,0.637176
qwen,sexual_liminal_1,He lay naked in his bed and,repression,listened,gazed,0.661,21,VERB,VERB,2.83,archaic,0.630423
qwen,sexual_liminal_1,He lay naked in his bed and,repression,his,held,0.6598,21,PRON,VERB,5.24,category_shift,0.618478
qwen,sexual_liminal_1,He lay naked in his bed and,repression,watched,the,0.6566,21,VERB,PRON,7.73,genre_change,0.619768
