family,layer,mode,model_id,prompt_key,gen_idx,step,chosen_token,chosen_prob,entropy,eff_vocab,top1,top1_prob,top5_words
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,0,...,0.3676516115665436,2.965883255004883,19,...,0.3676516115665436,...|It|destroy|throw|cut
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,1,rip,0.2659739851951599,3.619966506958008,37,rip,0.2659739851951599,rip|throw|sh|pull|s
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,2,her,0.921185314655304,0.4654983878135681,1,her,0.921185314655304,her|the|out|his|everything
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,3,hair,0.9603556990623474,0.2842974066734314,1,hair,0.9603556990623474,hair|clothes|shirt|head|enemies
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,4,out,0.9931348562240601,0.05024426057934761,1,out,0.9931348562240601,"out|off|from|,|right"
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,5,",",0.3983635902404785,1.5478137731552124,4,",",0.3983635902404785,",|.|or|in|by"
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,6,scream,0.4471155107021332,2.3282036781311035,10,scream,0.4471155107021332,scream|slam|smash|but|pull
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,7,at,0.8827988505363464,0.6248829364776611,1,at,0.8827988505363464,"at|from|the|,|her"
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,8,the,0.9994303584098816,0.005422432906925678,1,the,0.9994303584098816,the|someone|everyone|a|her
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,9,top,0.997601330280304,0.01964910328388214,1,top,0.997601330280304,top|sky|world|ceiling|heavens
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,10,of,0.999984622001648,0.00018900141003541648,1,of,0.999984622001648,of|her|lungs||lung
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,11,her,0.9999722242355347,0.0003636681940406561,1,her,0.9999722242355347,her|lungs|the|their|my
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,12,lungs,0.9998148083686829,0.001805233652703464,1,lungs,0.9998148083686829,lungs|voice|lung|head|
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,13,",",0.999321699142456,0.006637341808527708,1,",",0.999321699142456,",|until|or|and|."
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,14,or,0.8410566449165344,0.6886905431747437,1,or,0.8410566449165344,or|and|st|throw|slam
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,15,maybe,0.05303492024540901,2.9913763999938965,19,throw,0.23218001425266266,throw|smash|st|slam|maybe
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,16,even,0.7382595539093018,0.9519931077957153,2,even,0.7382595539093018,even|just|smash|throw|break
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,17,smash,0.1843426674604416,2.98993182182312,19,throw,0.25196656584739685,throw|smash|break|st|slam
llama,superego,complete,meta-llama/Llama-3.1-8B-Instruct,anger,0,18,something,0.881902277469635,0.5629798769950867,1,something,0.881902277469635,something|a|things|her|everything
