stage,prompt,prompt_key,prompt_type,side,layer,h_attention,h_value_proj,mean_value_norm,std_value_norm
base,She was so angry she wanted to,,key,,0,1.1689228639006615,10.003347396850586,0.5751182744279504,0.4599791849755463
base,She was so angry she wanted to,,key,,1,0.8209582147210313,10.024312973022461,0.5061845742166042,0.5220969686572922
base,She was so angry she wanted to,,key,,2,0.7910927987541072,10.029215812683105,0.6213884502649307,0.4305507123188658
base,She was so angry she wanted to,,key,,3,1.289502383209765,9.757074356079102,0.7412916393950582,0.35386285807093426
base,She was so angry she wanted to,,key,,4,1.150643583969213,9.940597534179688,0.8591587850823998,0.5732140494470999
base,She was so angry she wanted to,,key,,5,1.0881537701934576,9.907562255859375,0.8930892692878842,0.49161835411397187
base,She was so angry she wanted to,,key,,6,0.9344008648768067,9.949153900146484,1.042152320034802,0.5487067145617821
base,She was so angry she wanted to,,key,,7,1.1594846667721868,9.874374389648438,1.589558370411396,0.8316924281893463
base,She was so angry she wanted to,,key,,8,0.9272426967509091,10.117683410644531,1.5845967251807451,0.8954866986020824
base,She was so angry she wanted to,,key,,9,0.9483975233742967,10.0208740234375,1.5967408707365394,0.8371017067370777
base,She was so angry she wanted to,,key,,10,0.7492917336057872,9.90371322631836,1.4363440852612257,0.8232871573107576
base,She was so angry she wanted to,,key,,11,1.0965460436418653,10.212013244628906,1.7987210657447577,0.8848248969983414
base,She was so angry she wanted to,,key,,12,0.7707906999858096,10.096109390258789,1.697741400450468,0.753916824801999
base,She was so angry she wanted to,,key,,13,0.6349366576760076,10.081805229187012,1.5889527760446072,0.9129587172588004
base,She was so angry she wanted to,,key,,14,0.6122920785564929,9.990403175354004,1.2338041979819536,0.9290187223880357
base,She was so angry she wanted to,,key,,15,0.9065189100801945,9.997889518737793,1.6904884604737163,1.1799362962351765
base,She was so angry she wanted to,,key,,16,0.5845744356629439,10.09325885772705,1.6364124789834023,1.1994237099291707
base,She was so angry she wanted to,,key,,17,0.6143794000672642,9.742140769958496,1.877692086622119,1.6197713270424476
base,She was so angry she wanted to,,key,,18,0.569073236110853,7.492767333984375,1.7733208630234003,1.649786043783093
base,She was so angry she wanted to,,key,,19,0.6558467815630138,9.91621208190918,1.6072378866374493,1.3272926527060926
base,She was so angry she wanted to,,key,,20,0.37351077946368605,9.146859169006348,1.9346528463065624,1.1754097379208623
base,She was so angry she wanted to,,key,,21,0.45104716871719575,9.775840759277344,2.1524230036884546,1.3280842755845048
base,She was so angry she wanted to,,key,,22,0.40908628757460974,9.806873321533203,2.577201409265399,2.1812311228271835
base,She was so angry she wanted to,,key,,23,0.5374719914980233,9.440408706665039,2.331307053565979,2.3240754217650115
base,She was so angry she wanted to,,key,,24,0.22803472595114727,9.933086395263672,2.68770045414567,2.625983936383862
base,She was so angry she wanted to,,key,,25,0.3358836765110027,9.899764060974121,3.097850587219,2.4065776054280756
base,She was so angry she wanted to,,key,,26,0.17643215754651465,9.71989631652832,2.3306611329317093,2.5640662617347068
base,She was so angry she wanted to,,key,,27,0.5659786423202604,9.986954689025879,3.3802667781710625,2.54279577389542
base,She was so angry she wanted to,,key,,28,0.26868184671911877,9.816413879394531,3.1570564098656178,1.8884208327903378
base,She was so angry she wanted to,,key,,29,0.3496845687768655,9.224658966064453,3.078771937638521,2.0078117803454143
base,She was so angry she wanted to,,key,,30,0.1948494042699167,8.267145156860352,3.9276896938681602,3.49042682090518
base,She was so angry she wanted to,,key,,31,0.5464713419787586,7.738275051116943,4.9898251965641975,3.908992679647016
base,She kneeled and reached for his,,key,,0,1.3663076627999544,10.040898323059082,0.5745210167951882,0.4203235150986322
base,She kneeled and reached for his,,key,,1,1.100091258995235,10.063591003417969,0.5488283005543053,0.40261653607360254
base,She kneeled and reached for his,,key,,2,0.9882366498932242,10.020865440368652,0.47873940132558346,0.3187509790554394
base,She kneeled and reached for his,,key,,3,1.1569350557401776,9.921516418457031,0.5699124690145254,0.24817837763622877
base,She kneeled and reached for his,,key,,4,1.0685630817897618,9.956144332885742,0.718919632025063,0.42969710931453325
base,She kneeled and reached for his,,key,,5,1.055692434310913,9.933061599731445,0.7517847018316388,0.47482064710573657
base,She kneeled and reached for his,,key,,6,1.0370722123188898,9.928318977355957,0.8761183861643076,0.35662406251716544
base,She kneeled and reached for his,,key,,7,1.2619298547506332,9.717012405395508,1.520114328712225,0.6021902400379214
base,She kneeled and reached for his,,key,,8,0.865972479172342,10.044700622558594,1.3640298824757338,0.5948230558799789
base,She kneeled and reached for his,,key,,9,0.931957476423122,10.15353775024414,1.3891536630690098,0.6528133851562795
base,She kneeled and reached for his,,key,,10,0.6067136219353415,9.845691680908203,1.2274989560246468,0.7067517024579975
base,She kneeled and reached for his,,key,,11,1.159617580473423,10.088512420654297,1.7260159142315388,0.7490849334503482
base,She kneeled and reached for his,,key,,12,0.8511949360836297,10.133550643920898,1.7113701682537794,0.7811809599747849
base,She kneeled and reached for his,,key,,13,0.7679144147550687,10.111364364624023,1.5985027309507132,0.8217227954470648
base,She kneeled and reached for his,,key,,14,0.5777711620903574,9.985560417175293,1.277764344587922,1.0248704749326605
base,She kneeled and reached for his,,key,,15,0.885970912524499,9.999770164489746,1.3988863602280617,0.9918339786015888
base,She kneeled and reached for his,,key,,16,0.5529853177722543,10.086374282836914,1.29109893925488,0.7740582061198206
