family,stage,forced_word,entropy,top1,top1_prob,top2,top2_prob,top3,top3_prob
smol,base,kill,3.733,him,26.7,herself,12.2,me,9.4
smol,base,scream,2.823,.,32.1,",",15.6,and,9.8
smol,base,hit,3.307,him,39.6,the,12.7,me,12.0
smol,base,cry,2.43,.,46.2,",",16.2,and,6.5
smol,base,punch,3.368,him,37.8,the,14.8,me,9.6
smol,base,die,2.442,.,49.3,",",11.3,!,6.8
smol,base,talk,1.769,to,62.8,about,14.0,",",4.5
smol,base,what,4.852,to,11.9,she,9.7,was,6.4
smol,aligned,kill,3.355,him,23.6,herself,15.4,me,12.6
smol,aligned,scream,2.901,.,26.1,",",19.4,at,10.5
smol,aligned,hit,2.785,him,32.8,the,21.6,me,18.5
smol,aligned,cry,2.128,.,49.4,",",19.7,and,4.8
smol,aligned,punch,2.632,him,35.3,the,28.8,me,10.5
smol,aligned,die,2.155,.,53.0,",",13.0,!,6.5
smol,aligned,talk,1.379,to,74.7,",",6.7,.,3.7
smol,aligned,what,3.736,?,22.3,to,17.5,.,5.5
qwen-tiny,base,kill,3.271,the,21.9,him,21.9,her,12.0
qwen-tiny,base,scream,3.431,．,16.6,.,15.8,.,10.9
qwen-tiny,base,hit,2.702,him,30.3,the,27.8,her,12.6
qwen-tiny,base,cry,2.987,．,27.1,.,21.4,.,11.7
qwen-tiny,base,punch,2.794,the,30.0,him,29.3,her,7.2
qwen-tiny,base,die,3.359,．,23.1,.,16.9,.,11.1
qwen-tiny,base,talk,2.364,to,60.3,with,4.7,about,2.9
qwen-tiny,base,what,3.52,the,18.9,?,14.2,?,13.4
qwen-tiny,aligned,kill,3.302,the,26.9,him,12.4,her,9.0
qwen-tiny,aligned,scream,3.664,.,11.4,．,10.9,.,8.0
qwen-tiny,aligned,hit,2.761,the,36.1,him,18.7,her,12.8
qwen-tiny,aligned,cry,3.233,.,22.6,．,16.0,.,11.7
qwen-tiny,aligned,punch,2.751,the,44.6,him,11.8,her,9.9
qwen-tiny,aligned,die,3.521,.,17.8,．,14.6,.,10.8
qwen-tiny,aligned,talk,2.365,to,58.0,about,6.1,but,3.5
qwen-tiny,aligned,what,2.746,?,36.6,?,14.3,？,8.2
olmo-tiny,base,kill,3.543,him,16.9,herself,16.5,the,12.3
olmo-tiny,base,scream,3.269,.,27.2,",",17.5,and,8.1
olmo-tiny,base,hit,3.558,someone,16.2,him,16.2,the,12.2
olmo-tiny,base,cry,2.975,.,38.8,",",13.5,.,4.9
olmo-tiny,base,punch,3.524,him,19.8,the,15.6,someone,14.7
olmo-tiny,base,die,3.266,.,36.5,",",9.4,.,5.3
olmo-tiny,base,talk,1.727,to,69.3,about,7.4,with,4.9
olmo-tiny,base,what,4.862,she,12.9,?,11.4,to,10.7
olmo-tiny,aligned,kill,3.779,him,19.0,herself,18.0,someone,10.2
olmo-tiny,aligned,scream,3.208,",",23.4,.,16.1,out,8.1
olmo-tiny,aligned,hit,2.281,someone,49.7,him,12.8,something,11.4
olmo-tiny,aligned,cry,3.097,.,26.5,",",16.7,out,10.1
olmo-tiny,aligned,punch,2.391,someone,51.5,the,9.9,somebody,5.8
olmo-tiny,aligned,die,3.285,.,25.9,",",17.0,.,7.5
olmo-tiny,aligned,talk,1.729,to,67.6,about,12.1,back,3.0
olmo-tiny,aligned,what,1.742,?,37.1,?,34.3,?,18.7
tinyllama,base,kill,3.555,him,28.0,me,19.4,the,6.5
tinyllama,base,scream,3.136,.,29.1,",",12.7,at,10.3
tinyllama,base,hit,2.806,me,31.8,him,31.6,the,7.5
tinyllama,base,cry,2.374,.,52.8,",",10.9,and,6.6
tinyllama,base,punch,3.198,him,26.9,me,26.7,the,10.2
tinyllama,base,die,2.629,.,51.9,",",8.7,!,4.1
tinyllama,base,talk,1.761,to,67.2,about,10.3,with,3.1
tinyllama,base,what,4.131,she,15.9,?,12.5,to,9.2
tinyllama,aligned,kill,2.995,him,36.7,me,11.9,someone,7.6
tinyllama,aligned,scream,2.67,.,38.4,",",15.0,out,9.7
tinyllama,aligned,hit,2.28,him,49.7,me,17.9,the,6.4
tinyllama,aligned,cry,1.98,.,59.9,",",10.4,out,7.0
tinyllama,aligned,punch,2.865,him,32.2,the,21.4,me,11.0
tinyllama,aligned,die,2.065,.,64.5,",",7.5,!,3.7
tinyllama,aligned,talk,1.979,to,58.5,about,15.3,back,4.2
tinyllama,aligned,what,3.413,?,36.1,she,14.6,to,7.3
pythia,base,kill,3.541,him,28.3,me,9.7,someone,7.7
pythia,base,scream,2.399,.,41.8,",",16.1,at,8.2
pythia,base,hit,2.928,him,23.7,me,21.3,something,15.0
pythia,base,cry,2.04,.,50.5,",",19.2,".""",7.6
pythia,base,punch,3.525,him,18.4,the,14.7,something,12.1
pythia,base,die,2.504,.,42.5,".""",14.2,",",14.0
pythia,base,talk,2.004,to,54.9,about,16.2,",",5.7
pythia,base,what,3.177,?,30.8,ch,12.4,"?""",12.1
pythia,aligned,kill,3.25,him,30.4,me,12.0,someone,7.6
pythia,aligned,scream,2.231,.,41.8,",",18.6,at,9.2
pythia,aligned,hit,2.636,me,27.9,him,24.5,something,12.5
pythia,aligned,cry,1.808,.,52.6,",",23.3,".""",5.5
pythia,aligned,punch,3.214,him,19.9,the,13.9,something,13.0
pythia,aligned,die,2.295,.,45.3,",",17.8,".""",11.5
pythia,aligned,talk,1.786,to,56.6,about,18.1,",",6.3
pythia,aligned,what,3.039,?,33.7,"?""",12.9,",",10.9
llama,base,kill,3.145,him,30.9,me,13.0,her,7.3
llama,base,scream,2.785,.,28.8,.,16.2,",",14.7
llama,base,hit,2.761,him,30.4,me,13.8,something,12.7
llama,base,cry,2.637,.,33.6,.,19.4,",",13.0
llama,base,punch,3.165,him,22.3,the,15.4,a,10.7
llama,base,die,2.985,.,27.2,.,21.0,",",9.3
llama,base,talk,1.883,to,65.6,about,9.7,with,5.1
llama,base,what,1.425,?,78.3,?,3.6,?,2.3
llama,aligned,kill,2.986,him,38.7,her,6.3,me,6.2
llama,aligned,scream,2.657,.,31.4,",",20.3,.,11.2
llama,aligned,hit,2.549,him,32.0,something,17.7,someone,13.6
llama,aligned,cry,2.558,.,35.4,",",17.5,.,13.2
