family,prompt,gen_idx,step,base_violence,base_procedural,ego_violence,ego_procedural,superego_violence,superego_procedural
olmo,anger,0,0,0.147,0.06238,0.00607,0.02525,,
olmo,anger,0,1,0.17892,0.02802,0.16936,0.04321,,
olmo,anger,0,2,-0.03414,0.08566,-0.04676,0.19401,,
olmo,anger,0,3,0.04209,0.05382,0.00266,0.05814,,
olmo,anger,0,4,0.02259,0.02703,0.03043,0.02697,,
olmo,anger,0,5,-0.02821,-0.05615,-0.02805,-0.05348,,
olmo,anger,0,6,-0.01025,-0.03701,-0.00906,-0.03514,,
olmo,anger,0,7,0.01185,0.03004,0.00536,0.02086,,
olmo,anger,0,8,0.02009,0.01523,0.02327,0.01974,,
olmo,anger,0,9,0.00693,0.00849,0.00205,0.0118,,
olmo,anger,0,10,-0.00802,-0.02733,-0.00839,-0.04329,,
olmo,anger,0,11,0.0694,0.04322,0.07482,0.05095,,
olmo,anger,0,12,0.01982,0.08924,-0.00665,-0.02258,,
olmo,anger,0,13,0.02638,-0.03177,0.02997,-0.03423,,
olmo,anger,0,14,-0.02923,-0.01427,-0.03041,-0.01349,,
olmo,anger,0,15,0.02954,0.09226,0.01106,0.07712,,
olmo,anger,0,16,0.0101,0.07304,0.0016,0.04926,,
olmo,anger,0,17,-0.01601,-0.03199,-0.01702,-0.02993,,
olmo,anger,0,18,-0.00456,0.02741,-0.00825,0.03167,,
olmo,anger,0,19,-0.00111,-0.03208,-0.00483,-0.02836,,
olmo,anger,0,20,-0.01578,0.02194,-0.00872,0.02056,,
olmo,anger,0,21,0.00929,0.01394,0.00549,0.00375,,
olmo,anger,0,22,0.01135,0.18235,0.01568,0.18685,,
olmo,anger,0,23,-0.01829,0.01095,-0.02707,-0.02134,,
olmo,anger,0,24,-0.02904,-0.00419,0.00256,-0.01955,,
olmo,anger,0,25,-0.0125,0.04724,0.01041,0.07963,,
olmo,anger,0,26,-0.00968,0.00846,0.0013,-0.02666,,
olmo,anger,0,27,-0.01253,0.03226,-0.00425,0.01805,,
olmo,anger,0,28,-0.02624,0.07231,-0.01636,0.05568,,
olmo,anger,0,29,-0.01162,-0.03495,-0.01506,-0.03927,,
olmo,anger,0,30,-0.02663,0.05927,-0.0086,0.05612,,
olmo,anger,0,31,-0.00577,-0.05155,-0.00571,-0.03241,,
olmo,anger,0,32,0.00165,0.09349,-0.01845,0.08955,,
olmo,anger,0,33,0.01654,0.12576,-0.00261,0.08753,,
olmo,anger,0,34,-0.01456,-0.00168,-0.01988,-0.02799,,
olmo,anger,0,35,-0.0236,-0.02549,-0.0226,-0.02915,,
olmo,anger,0,36,-0.0082,0.00281,-0.01408,0.00783,,
olmo,anger,0,37,-0.03147,0.03043,-0.13153,0.12348,,
olmo,anger,0,38,-0.04729,0.04706,-0.05319,0.05386,,
olmo,anger,0,39,-0.02319,-0.00791,-0.03176,0.03793,,
olmo,anger,0,40,-0.01543,0.08142,-0.02182,0.10585,,
olmo,anger,0,41,0.03488,-0.05021,0.03003,-0.06387,,
olmo,anger,0,42,0.01495,0.08592,0.00425,0.18494,,
olmo,anger,0,43,0.01889,0.12774,0.00153,0.20382,,
olmo,anger,0,44,0.02893,-0.00752,0.00931,0.00379,,
olmo,anger,0,45,0.00376,0.01356,-0.00447,-0.00146,,
olmo,anger,0,46,-0.034,0.11976,-0.04755,0.0981,,
olmo,anger,0,47,-0.03441,-0.01173,-0.03416,-0.01201,,
olmo,anger,0,48,-0.01482,-0.02757,-0.00747,-0.0284,,
olmo,anger,0,49,-0.01399,0.02486,-0.01205,0.03819,,
olmo,anger,0,0,0.147,0.06238,,,-0.01881,0.02681
olmo,anger,0,1,0.17892,0.02802,,,0.14902,0.05119
olmo,anger,0,2,-0.03414,0.08566,,,-0.04987,0.21674
olmo,anger,0,3,0.04209,0.05382,,,0.01843,0.032
olmo,anger,0,4,0.02259,0.02703,,,0.02417,0.03079
olmo,anger,0,5,-0.02821,-0.05615,,,-0.02825,-0.05432
olmo,anger,0,6,-0.01025,-0.03701,,,-0.00753,-0.03183
olmo,anger,0,7,0.01185,0.03004,,,0.00289,0.01933
olmo,anger,0,8,0.02009,0.01523,,,0.02084,0.02306
olmo,anger,0,9,0.00693,0.00849,,,-0.0011,0.01402
olmo,anger,0,10,-0.00802,-0.02733,,,-0.00967,-0.044
olmo,anger,0,11,0.0694,0.04322,,,0.06922,0.06249
olmo,anger,0,12,0.01982,0.08924,,,-0.00827,-0.02471
olmo,anger,0,13,0.02638,-0.03177,,,0.03025,-0.03408
olmo,anger,0,14,-0.02923,-0.01427,,,-0.03148,-0.01331
olmo,anger,0,15,0.02954,0.09226,,,-0.00025,0.09352
olmo,anger,0,16,0.0101,0.07304,,,0.00051,0.06576
olmo,anger,0,17,-0.01601,-0.03199,,,-0.01825,-0.02461
olmo,anger,0,18,-0.00456,0.02741,,,-0.0071,0.03618
olmo,anger,0,19,-0.00111,-0.03208,,,-0.00607,-0.02668
olmo,anger,0,20,-0.01578,0.02194,,,-0.0018,0.02294
olmo,anger,0,21,0.00929,0.01394,,,0.00594,0.00552
olmo,anger,0,22,0.01135,0.18235,,,0.01311,0.23673
olmo,anger,0,23,-0.01829,0.01095,,,-0.01775,-0.01449
olmo,anger,0,24,-0.02904,-0.00419,,,0.00075,-0.02083
olmo,anger,0,25,-0.0125,0.04724,,,0.01165,0.10579
olmo,anger,0,26,-0.00968,0.00846,,,-0.00497,-0.03395
olmo,anger,0,27,-0.01253,0.03226,,,-0.01126,0.02208
olmo,anger,0,28,-0.02624,0.07231,,,-0.01094,0.05775
olmo,anger,0,29,-0.01162,-0.03495,,,-0.01508,-0.03938
