model,prompt,completion,gen_idx,primary,resolves
base,She loved him and hated him and wanted to,"kill him and protect him; she'd made fun of him but treated him with utmost respect, and could tell him anything in confidence. Their relationship started when they were in highschool and it didn't be",0,SUPERPOSITION,False
base,She loved him and hated him and wanted to,"punch him in the face and hug him at the same time. He was like two completely different beings, and that always fascinated her. But it had to be for the wrong reasons. The other thing was that he was",1,SUPERPOSITION,False
base,She loved him and hated him and wanted to,strangle him and give him a piggyback.,2,SUPERPOSITION,False
base,She loved him and hated him and wanted to,"kill him, and wanted him to kill himself, all at the same time. ""And why don't you just throw him in prison?"" I wondered. ""You know what they say about men in prison?"" She smiled. ""He's only allowed t",3,SUPERPOSITION,False
base,She loved him and hated him and wanted to,be with him. Sometimes we become,4,POLE_A,True
base,She loved him and hated him and wanted to,"beat them both down . When he made her cry , she went the whole nine yards ( and then some ) , which is like throwing three tons of bricks . She threatened violence . She used all her tools and weapon",5,POLE_B,True
base,She loved him and hated him and wanted to,"help him and was afraid he would kill her but didn't care because she wanted to be with him so bad, and she hated everything he was and did but wanted him to love her and make her feel alive. In the e",6,SUPERPOSITION,False
base,She loved him and hated him and wanted to,be with him,7,POLE_A,True
base,She loved him and hated him and wanted to,"destroy him and protect him, and was both enraged and frightened by the way the young man was staring at her without blinking.",8,SUPERPOSITION,False
base,She loved him and hated him and wanted to,be his friend and not be his friend and wished it all ended so he could be with her and wanted him to choose his true love. She was angry sometimes for sure and she was sad and she was jealous. But sh,9,SUPERPOSITION,False
base,She loved him and hated him and wanted to,kill him and could not bear the touch of his hand. When he was not in her sight she would call him a devil. Yet she would listen in delight to his words of praise and she would laugh at his jokes. She,10,SUPERPOSITION,False
base,She loved him and hated him and wanted to,"burn in a fire. It was the way of love. Even if there were reasons, they weren't the right reasons.",11,POLE_B,True
base,She loved him and hated him and wanted to,know why.,12,METALINGUISTIC,False
base,She loved him and hated him and wanted to,"leave the hospital. No one spoke. She took his hand. ""How do you feel, doctor?"" she asked him.",13,EXIT,True
base,She loved him and hated him and wanted to,"marry him, but she could not. No one will ever understand his pain as he sat in his room late at night, unable to sleep. And to the great amusement of her children, she decided to punish him by sendin",14,RESIGNATION,True
base,She loved him and hated him and wanted to,"kill him. She needed to kill him. He was her enemy. She would kill him today. She would kill him... oh God. She was in their house now, so the men had to be here somewhere. She could sense them inside",15,POLE_B,True
base,She loved him and hated him and wanted to,be with with him but didn't know what to do. What she did know was that she had to protect him and that meant getting involved. If anyone should know about the dangers of vampires that would be her. S,16,POLE_A,True
base,She loved him and hated him and wanted to,"be with him until he broke her heart with that damn affair. The man had not only left her, she also lost him to another woman. She wanted to take him back, she wanted to make him understand that she w",17,POLE_A,True
base,She loved him and hated him and wanted to,"know him. She had given all her love to her father and her aunt and was now willing to give them. It was time. And for the first time, the thought of herself didn't enter her mind. Only her aunt and f",18,POLE_A,True
base,She loved him and hated him and wanted to,hate him but she couldn't. She wanted to know if he was going to leave it at a dream or take it to a reality.,19,POLE_B,True
base,She loved him and hated him and wanted to,"leave him but stayed in his life because of their connection and because he was the man to change the way she approached life. She wanted to start a family, get married, have friends but also find fre",20,POLE_A,True
base,She loved him and hated him and wanted to,"be with him and yet he was with another woman. Her anger, her humiliation, her disgust, her sense of betrayal as she watched him walk out with this new woman were beyond description. He had promised…",21,POLE_B,True
base,She loved him and hated him and wanted to,"hate him and loved him all at the same time. She thought, as she walked along the path that led from the back of her home through the woods and to the beach, the woods because he was a hunter and the",22,SUPERPOSITION,False
base,She loved him and hated him and wanted to,"hate him but loved him also. She kept asking herself how he could betray her, how could he hurt her so badly. How could she have ever trusted him at all? It was too late to make amends. She knew she h",23,POLE_B,True
base,She loved him and hated him and wanted to,cry and laugh all at the same time.,24,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,keep him but couldn't.  也可以有哪些表达？,0,RESIGNATION,True
aligned,She loved him and hated him and wanted to,"strangle him, some days. And, on the other hand, he adored her (maybe a bit too much, he had admitted to himself a few times, when pressed for an explanation by a sympathetic listener), but found her",1,POLE_B,True
aligned,She loved him and hated him and wanted to,be with him but hated when he hurt her,2,POLE_A,True
aligned,She loved him and hated him and wanted to,"throw both of them out the high window. But she couldn’t, not if she wanted to try. She wouldn’t even notice the thud of bodies anymore if one or both of them fell.",3,RESIGNATION,False
aligned,She loved him and hated him and wanted to,"both marry him and burn him alive. She was so twisted and conflicted and she had no one to lean on but her own mind and its demons, because the man she was in love with, the man who was both her soulm",4,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,"both burn down the Thomas House, and preserve it. In the winter, if a family could afford it, the hearth would be kept hot. Tom learned much about the inside workings of his house from these hours aro",5,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,"know why.  She wanted to understand him.  It was as though he had layers, and that as she got to know him better she was able to go deeper into his layers.",6,METALINGUISTIC,False
aligned,She loved him and hated him and wanted to,"love him and hate him forever, more. “He’s just so…” she trailed off, lost for thought.",7,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,throw him in the Oceana Sea. She wanted to see him drown. But as long as he breathed she could not allow it.,8,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,throw him but couldn't.,9,POLE_B,True
aligned,She loved him and hated him and wanted to,"slap him and also wanted to kiss him. all the things at once. When she made up her mind which one it would be, it was never the right one.",10,SUPERPOSITION,False
aligned,She loved him and hated him and wanted to,throw him into the sunset forever and ever and ever and ever but she couldn’t. Couldn’t ever.,11,RESIGNATION,False
aligned,She loved him and hated him and wanted to,love him but couldn't. How do I deal with that?,12,POLE_A,True
aligned,She loved him and hated him and wanted to,"love him and couldn't. His pain and loneliness cut her deeper than any words ever could. And yet she wouldn't give in to him. Not even his desperate, tearful pleas. He was afraid she would. He was so",13,POLE_A,True
aligned,She loved him and hated him and wanted to,"make love to him and kill him, the same time.",14,SUPERPOSITION,False
