family,label,prompt,axis,source,target,similarity,layer,source_pos,target_pos,target_freq,displacement_type,syntagmatic_js
tulu,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8402,16,VERB,VERB,3.6,register_shift,0.081148
tulu,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.8164,24,VERB,VERB,3.6,register_shift,0.081148
tulu,sexual_liminal_1,He lay naked in his bed and,repression,looked,stared,0.7925,8,VERB,VERB,3.6,register_shift,0.081148
tulu,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7624,16,VERB,VERB,3.6,register_shift,0.644602
tulu,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.7503,8,VERB,VERB,3.6,register_shift,0.644602
tulu,sexual_liminal_1,He lay naked in his bed and,repression,thought,contemplated,0.7503,16,VERB,VERB,3.25,register_shift,0.558073
tulu,sexual_liminal_1,He lay naked in his bed and,repression,thought,contemplated,0.7278,8,VERB,VERB,3.25,register_shift,0.558073
tulu,sexual_liminal_1,He lay naked in his bed and,repression,thought,contemplated,0.6802,24,VERB,VERB,3.25,register_shift,0.558073
tulu,sexual_liminal_1,He lay naked in his bed and,repression,watched,contemplated,0.6571,16,VERB,VERB,3.25,register_shift,0.202347
tulu,sexual_liminal_1,He lay naked in his bed and,repression,looked,contemplated,0.6414,16,VERB,VERB,3.25,register_shift,0.654356
tulu,sexual_liminal_1,He lay naked in his bed and,repression,looked,contemplated,0.6412,8,VERB,VERB,3.25,register_shift,0.654356
tulu,sexual_liminal_1,He lay naked in his bed and,repression,watched,contemplated,0.6264,8,VERB,VERB,3.25,register_shift,0.202347
tulu,sexual_liminal_1,He lay naked in his bed and,repression,tried,contemplated,0.6238,16,VERB,VERB,3.25,register_shift,0.640816
tulu,sexual_liminal_1,He lay naked in his bed and,repression,thought,stared,0.6226,8,VERB,VERB,3.6,register_shift,0.644581
tulu,sexual_liminal_1,He lay naked in his bed and,repression,felt,contemplated,0.607,16,VERB,VERB,3.25,register_shift,0.224867
tulu,sexual_liminal_1,He lay naked in his bed and,repression,tried,stared,0.5936,8,VERB,VERB,3.6,register_shift,0.67144
tulu,sexual_liminal_1,He lay naked in his bed and,repression,thought,stared,0.5911,16,VERB,VERB,3.6,register_shift,0.644581
tulu,sexual_liminal_1,He lay naked in his bed and,repression,watched,contemplated,0.5883,24,VERB,VERB,3.25,register_shift,0.202347
tulu,sexual_liminal_1,He lay naked in his bed and,repression,watched,stared,0.5868,24,VERB,VERB,3.6,register_shift,0.644602
tulu,sexual_liminal_1,He lay naked in his bed and,repression,tried,stared,0.5856,16,VERB,VERB,3.6,register_shift,0.67144
tulu,sexual_liminal_1,He lay naked in his bed and,repression,tried,contemplated,0.5706,8,VERB,VERB,3.25,register_shift,0.640816
tulu,sexual_liminal_1,He lay naked in his bed and,repression,felt,stared,0.5536,8,VERB,VERB,3.6,register_shift,0.64779
tulu,sexual_liminal_1,He lay naked in his bed and,repression,felt,contemplated,0.549,24,VERB,VERB,3.25,register_shift,0.224867
tulu,sexual_liminal_1,He lay naked in his bed and,repression,felt,contemplated,0.5456,8,VERB,VERB,3.25,register_shift,0.224867
tulu,sexual_liminal_1,He lay naked in his bed and,repression,could,contemplated,0.5456,16,AUX,VERB,3.25,category_shift,0.677821
tulu,sexual_liminal_1,He lay naked in his bed and,repression,felt,stared,0.5441,16,VERB,VERB,3.6,register_shift,0.64779
tulu,sexual_liminal_1,He lay naked in his bed and,repression,was,contemplated,0.5413,16,AUX,VERB,3.25,category_shift,0.604995
tulu,sexual_liminal_1,He lay naked in his bed and,repression,was,stared,0.5371,16,AUX,VERB,3.6,category_shift,0.638772
tulu,sexual_liminal_1,He lay naked in his bed and,repression,could,stared,0.5285,16,AUX,VERB,3.6,category_shift,0.685474
tulu,sexual_liminal_1,He lay naked in his bed and,repression,the,contemplated,0.5214,24,PRON,VERB,3.25,category_shift,0.636401
tulu,sexual_liminal_1,He lay naked in his bed and,repression,looked,contemplated,0.5213,24,VERB,VERB,3.25,register_shift,0.654356
tulu,sexual_liminal_1,He lay naked in his bed and,repression,was,contemplated,0.5199,24,AUX,VERB,3.25,category_shift,0.604995
tulu,sexual_liminal_1,He lay naked in his bed and,repression,the,contemplated,0.5154,16,PRON,VERB,3.25,category_shift,0.636401
tulu,sexual_liminal_1,He lay naked in his bed and,repression,his,contemplated,0.502,24,PRON,VERB,3.25,category_shift,0.646074
tulu,sexual_liminal_1,He lay naked in his bed and,repression,his,contemplated,0.4979,16,PRON,VERB,3.25,category_shift,0.646074
tulu,sexual_liminal_1,He lay naked in his bed and,repression,the,stared,0.4978,16,PRON,VERB,3.6,category_shift,0.666605
tulu,sexual_liminal_1,He lay naked in his bed and,repression,he,contemplated,0.497,24,PRON,VERB,3.25,category_shift,0.666709
tulu,sexual_liminal_1,He lay naked in his bed and,repression,he,contemplated,0.4966,16,PRON,VERB,3.25,category_shift,0.666709
tulu,sexual_liminal_1,He lay naked in his bed and,repression,thought,stared,0.4944,24,VERB,VERB,3.6,register_shift,0.644581
tulu,sexual_liminal_1,He lay naked in his bed and,repression,could,stared,0.484,8,AUX,VERB,3.6,category_shift,0.685474
tulu,sexual_liminal_1,He lay naked in his bed and,repression,his,stared,0.4828,16,PRON,VERB,3.6,category_shift,0.670999
tulu,sexual_liminal_1,He lay naked in his bed and,repression,tried,contemplated,0.4696,24,VERB,VERB,3.25,register_shift,0.640816
tulu,sexual_liminal_1,He lay naked in his bed and,repression,could,contemplated,0.4669,8,AUX,VERB,3.25,category_shift,0.677821
tulu,sexual_liminal_1,He lay naked in his bed and,repression,he,stared,0.4646,16,PRON,VERB,3.6,category_shift,0.675586
tulu,sexual_liminal_1,He lay naked in his bed and,repression,I,contemplated,0.4634,24,PRON,VERB,3.25,category_shift,0.658743
tulu,sexual_liminal_1,He lay naked in his bed and,repression,could,contemplated,0.4431,24,AUX,VERB,3.25,category_shift,0.677821
tulu,sexual_liminal_1,He lay naked in his bed and,repression,I,contemplated,0.4335,16,PRON,VERB,3.25,category_shift,0.658743
tulu,sexual_liminal_1,He lay naked in his bed and,repression,was,stared,0.4296,8,AUX,VERB,3.6,category_shift,0.638772
tulu,sexual_liminal_1,He lay naked in his bed and,repression,felt,stared,0.4155,24,VERB,VERB,3.6,register_shift,0.64779
tulu,sexual_liminal_1,He lay naked in his bed and,repression,was,stared,0.4133,24,AUX,VERB,3.6,category_shift,0.638772
tulu,sexual_liminal_1,He lay naked in his bed and,repression,the,stared,0.408,8,PRON,VERB,3.6,category_shift,0.666605
tulu,sexual_liminal_1,He lay naked in his bed and,repression,the,stared,0.4066,24,PRON,VERB,3.6,category_shift,0.666605
tulu,sexual_liminal_1,He lay naked in his bed and,repression,I,stared,0.3981,16,PRON,VERB,3.6,category_shift,0.667381
tulu,sexual_liminal_1,He lay naked in his bed and,repression,he,stared,0.3953,24,PRON,VERB,3.6,category_shift,0.675586
tulu,sexual_liminal_1,He lay naked in his bed and,repression,was,contemplated,0.3891,8,AUX,VERB,3.25,category_shift,0.604995
tulu,sexual_liminal_1,He lay naked in his bed and,repression,his,stared,0.388,8,PRON,VERB,3.6,category_shift,0.670999
tulu,sexual_liminal_1,He lay naked in his bed and,repression,his,stared,0.3822,24,PRON,VERB,3.6,category_shift,0.670999
tulu,sexual_liminal_1,He lay naked in his bed and,repression,tried,stared,0.3674,24,VERB,VERB,3.6,register_shift,0.67144
tulu,sexual_liminal_1,He lay naked in his bed and,repression,he,stared,0.3639,8,PRON,VERB,3.6,category_shift,0.675586
tulu,sexual_liminal_1,He lay naked in his bed and,repression,the,contemplated,0.3577,8,PRON,VERB,3.25,category_shift,0.636401
tulu,sexual_liminal_1,He lay naked in his bed and,repression,could,stared,0.3573,24,AUX,VERB,3.6,category_shift,0.685474
tulu,sexual_liminal_1,He lay naked in his bed and,repression,I,stared,0.354,24,PRON,VERB,3.6,category_shift,0.667381
tulu,sexual_liminal_1,He lay naked in his bed and,repression,I,stared,0.3254,8,PRON,VERB,3.6,category_shift,0.667381
tulu,sexual_liminal_1,He lay naked in his bed and,repression,his,contemplated,0.3249,8,PRON,VERB,3.25,category_shift,0.646074
tulu,sexual_liminal_1,He lay naked in his bed and,repression,he,contemplated,0.322,8,PRON,VERB,3.25,category_shift,0.666709
tulu,sexual_liminal_1,He lay naked in his bed and,repression,I,contemplated,0.3028,8,PRON,VERB,3.25,category_shift,0.658743
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,watched,stared,0.7624,16,VERB,VERB,3.6,register_shift,0.644602
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,watched,stared,0.7503,8,VERB,VERB,3.6,register_shift,0.644602
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,wondered,contemplated,0.7415,16,VERB,VERB,3.25,register_shift,0.500411
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,watched,gazed,0.708,16,VERB,VERB,2.83,archaic,0.635345
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,wondered,contemplated,0.7061,8,VERB,VERB,3.25,register_shift,0.500411
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,watched,gazed,0.7028,8,VERB,VERB,2.83,archaic,0.635345
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,listened,stared,0.696,8,VERB,VERB,3.6,register_shift,0.642868
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,cried,sighed,0.6837,24,VERB,VERB,3.13,register_shift,0.130208
tulu,sexual_liminal_1,He lay naked in his bed and,sublimation,was,felt,0.6754,16,AUX,VERB,5.13,category_shift,0.500633
