index,singular_value,var_pct,cumvar_pct
0,148.97755,51.015812,51.015812
1,53.908546,6.680029,57.695835
2,39.22501,3.5366268,61.232464
3,32.013233,2.3557117,63.588177
4,29.363466,1.9818816,65.57005
5,27.961338,1.797128,67.36719
6,26.281555,1.5876882,68.95487
7,24.28971,1.35615,70.31103
8,23.40131,1.2587615,71.569786
9,21.73879,1.0862601,72.656044
10,21.664476,1.0788461,73.73489
11,21.212719,1.034322,74.76921
12,20.69161,0.9841282,75.75334
13,20.005491,0.9199442,76.67329
14,19.214834,0.8486651,77.52195
15,18.77368,0.81014335,78.33209
16,18.507946,0.7873712,79.11946
17,18.349003,0.7739057,79.89337
18,17.879948,0.7348447,80.62821
19,17.68823,0.7191705,81.34739
20,17.556974,0.70853686,82.05592
21,17.085783,0.671016,82.72694
22,16.830286,0.65109754,83.37804
23,16.579084,0.63180655,84.00984
24,16.352995,0.61469215,84.62454
25,16.154892,0.5998894,85.224434
26,15.7756195,0.5720526,85.796486
27,15.46651,0.54985446,86.346344
28,15.138072,0.5267496,86.87309
29,15.034619,0.51957464,87.39266
30,14.720964,0.4981219,87.890785
31,14.499872,0.48327175,88.37406
32,14.377124,0.47512418,88.84919
33,14.115246,0.4579731,89.30715
34,13.820467,0.4390445,89.74619
35,13.793219,0.43731496,90.18352
36,13.464386,0.4167122,90.60022
37,13.122097,0.3957943,90.99602
38,12.987025,0.3876881,91.383705
39,12.927766,0.38415816,91.76787
40,12.761237,0.37432483,92.14219
41,12.717643,0.3717717,92.51396
42,12.390627,0.35289836,92.86686
43,12.351081,0.35064933,93.21751
44,12.285026,0.34690875,93.56442
45,12.082016,0.33553815,93.899956
46,12.056832,0.3341408,94.2341
47,11.874149,0.32409185,94.55819
48,11.621095,0.3104253,94.86862
49,11.479339,0.3028983,95.17152
50,11.2455635,0.29068696,95.4622
51,11.102853,0.2833559,95.74556
52,10.989056,0.27757722,96.02313
53,10.8545475,0.27082363,96.29395
54,10.814054,0.26880673,96.56276
55,10.691571,0.26275206,96.82551
56,10.459592,0.2514737,97.07698
57,10.336439,0.24558678,97.32257
58,10.285034,0.24315016,97.56572
59,10.192984,0.23881727,97.80454
60,10.109035,0.2348997,98.03944
61,9.971621,0.22855704,98.268
62,9.909293,0.22570877,98.493706
63,9.81446,0.22140932,98.71512
64,9.60182,0.21191914,98.92704
65,9.515551,0.2081282,99.13517
66,9.399949,0.20310195,99.33827
67,8.949721,0.18411201,99.522385
68,8.578521,0.1691562,99.69154
69,8.285991,0.15781634,99.84935
70,8.095896,0.15065823,100.000015
